step,run_0,run_1,run_2,run_3,run_4
10000,-72.12387843525897,-85.93560392238098,-93.06535847737264,-128.6870697802561,-61.43339621499925
20000,-71.99758680554825,-94.8520457576611,-95.93241200657936,-219.6235690890796,-258.06312231726866
30000,-174.84098489042444,-65.67767122857182,-66.16147515403465,-89.93637164861775,-85.33484983175578
40000,-36.79120524119949,-59.94511084878205,-58.85208879117296,-60.88594313567181,-63.890377977939444
50000,-57.36204220065494,-59.40891960942467,-58.896824411551776,-61.209954121481886,-35.78985650027221
60000,-57.16299382394838,-38.66711593938044,-35.86342698224588,-61.86104673713941,-36.245980159682865
70000,-53.101878832389794,-51.95051332440421,-35.35099987069438,-59.02136649974096,-49.072586291448744
80000,-40.29777058782172,-45.58986182418279,-35.38598321604209,-43.64534205197982,-13.014750038473116
90000,-50.44223622565025,-15.87132426392081,-44.13333542255951,-34.55803781893524,-13.920893535999392
100000,-49.01762053970274,-34.12966641297636,-49.12933025031541,-58.6420136635511,-31.06273155881086
110000,-45.28083582327467,-48.56478553868333,-11.642314597699364,-35.19316498578373,-36.642515863421266
120000,-34.49449681242666,-45.347348812245535,-48.903455202683006,-33.23161542731485,-36.156040100655055
130000,-46.56978139010295,-10.5528745661993,-45.30524107532037,-43.60782537310644,-35.994134334097204
140000,-36.47041376683814,-10.917817114509658,-10.496901535850132,-42.412486571354,-31.524170320652054
150000,-41.356365227679845,-34.841578463955855,-45.93995716721284,-50.48575230801759,-46.853291776873064
160000,-48.14504981386163,-58.23176840749281,-42.94495305816267,-53.15061246449,-32.42057269609266
170000,-29.827510521795265,-31.102854853853472,-9.98716065452911,-36.00369449257684,-32.20709799403811
180000,-10.013993330925553,-12.390156065283303,-42.194027556034456,-49.66173704285959,-11.952307203338783
190000,-29.584985815859863,-58.305645950601,-37.56572148239077,-49.2213739576801,-12.252873692606544
200000,-9.941557121210035,-46.28883586642546,-35.273079171483104,-47.225558206282486,-32.629960646918505
210000,-28.322967562000105,-11.206614446645489,-29.384027529289074,-32.754135979291654,-41.918444878894675
220000,-33.18141065012712,-41.01215627923926,-11.517729654981045,-58.63660656208476,-11.217487168802943
230000,-48.08196381279568,-27.310005094338138,-28.923658564952348,-10.942175200532,-28.51181387906501
240000,-29.293263819293763,-31.215562201790263,-29.95271967776532,-48.82043302973864,-58.2059445723988
250000,-20.51765069608053,-32.38294785501935,-10.5712367635208,-41.30919668928891,-29.528975789956252
260000,-49.093214198263766,-27.36142362680734,-10.070953629035396,-46.18990238339934,-48.174217538891924
270000,-44.09374617374745,-10.831924636079703,-10.031344757802264,-45.908158879046816,-10.419702548673184
280000,-46.50958128352296,-58.2108656159287,-44.488594758789176,-40.99869903857716,-23.700579943779537
290000,-9.321443416476486,-11.066812389129431,-26.345826061603542,-32.29389463904624,-33.73397362403732
300000,-28.070807840057864,-58.20983788570221,-39.68598609463592,-58.63664104612416,-41.604807962368454
310000,-47.9674121914012,-44.01350198896547,-27.23066445316307,-30.67788944999838,-58.21085375041483
320000,-10.349402635211051,-46.74202570156865,-25.502004138430657,-32.10830261663938,-37.53027422195264
330000,-45.46639313928793,-44.1485948174321,-42.683917235412935,-42.26693859663182,-23.485026565923018
340000,-28.451185009103792,-10.78763427779896,-26.429577112529643,-45.48298953959226,-26.138001977301062
