step,run_0,run_1,run_2,run_3
10000,-77.88392206574491,-80.60047575227568,-91.41129885795462,-235.94093097133933
20000,-240.28864792364263,-67.60285235485107,-66.72296149642861,-178.0162051913649
30000,-106.5309515597863,-159.55610902289266,-59.32637272461462,-237.0726090358415
40000,-51.775066479634006,-47.831536614733466,-44.56759990504575,-57.267173907578695
50000,-45.99375149438403,-46.805663462662665,-44.318713940769605,-46.487873137664764
60000,-46.84088669247066,-40.393751176411655,-41.92006155999563,-51.58947880521316
70000,-43.43203260922226,-54.181130837921216,-42.91501896505852,-57.54439771839628
80000,-45.18692785737843,-52.84129339327055,-43.78805032853612,-48.67518260437628
90000,-39.98386184436315,-47.67245588408269,-46.426300152627526,-123.89341130143133
100000,-31.180051651415067,-41.76726340382464,-41.78605946649701,-50.553289307814666
110000,-32.80619003379407,-45.0333640108869,-36.77364714556749,-54.33113628325227
120000,-33.41224979502891,-45.16799718399932,-46.3993916383945,-115.51321352542813
130000,-47.19027649842828,-46.60030494014201,-35.285523378323724,-45.44286639972739
140000,-41.69570147386823,-41.17755722100743,-48.55406990832829,-116.51098099628085
150000,-52.76332616939437,-41.35771604110501,-54.51547040046944,-71.35016448675552
160000,-39.93499292647816,-42.45204728297318,-41.50049683167112,-104.66807099379504
170000,-41.46831067157554,-49.85393556671404,-31.252741259855608,-50.264379368519144
180000,-121.5935813044855,-49.61377858855092,-51.68029586283018,-115.53290529164148
190000,-52.68185503840685,-43.507278907719375,-33.746778064654066,-42.64477783088176
200000,-51.072310465607096,-52.3061461192202,-41.37684174690823,-46.12259890110927
210000,-42.11748462503312,-48.80393281277408,-35.05045869775426,-107.06520949339964
220000,-104.35938497210198,-44.540392731644346,-46.31730562902801,-54.28366965576599
230000,-95.98459605649894,-41.35799697782521,-51.59027136931721,-52.976415503672
240000,-24.5824983262674,-33.45286344405286,-47.71585890381141,-53.62447530543429
250000,-134.27881913986616,-33.445127077680155,-50.57216212716778,-93.3743126249159
260000,-36.90599166905511,-41.96970438211271,-50.89968556768283,-45.6810875269918
270000,-34.03029659807381,-32.90357531905564,-51.061819940434106,-56.6572602448952
280000,-37.05352433363103,-41.19622729826263,-50.9684929809868,-103.58173185531966
290000,-32.17288511116412,-52.95339359406963,-41.94444458247997,-57.645245888422735
300000,-40.452115979286894,-42.29003037658222,-42.36315138282888,-94.78127122115788
310000,-32.080922713734324,-41.03916449264118,-40.97421241288892,-42.40920643582712
320000,-99.88516909158592,-42.065128343612,-49.5358457061898,-120.61585843548188
330000,-33.97627180170356,-40.71908299216042,-35.25275912941097,-41.74818768039049
340000,-50.23051667090479,-42.887170469199255,-33.260018476803566,-50.254687828348004
350000,-49.64186019019719,-41.250486064918434,-33.25481911104409,-55.36510076816302
360000,-115.74301163640688,-41.02959356103106,-34.32675184137309,-98.2078492196677
370000,-33.9464705307145,-42.10615583783126,-42.86766842321278,-114.32248923188668
380000,-46.280293740644005,-35.091227971256416,-34.94029084185672,-86.17937187303761
390000,-116.68581096653088,-52.88648956810533,-42.59857368027669,-48.18746778525765
400000,-51.02973660041295,-50.126180295600754,-37.97918565519059,-45.59629725092549
410000,-49.11244653175572,-41.48666949852999,-40.9532346222456,-120.56933213327873
420000,-46.01153605418976,-32.77370620950288,-34.967444088911364,-54.09405493723213
430000,-105.8436135391664,-40.69960385602898,-33.19568077549843,-42.89103469621719
440000,-40.10294715830752,-34.48469631498236,-44.32313097732391,-53.00078570492086
450000,-45.59450864940844,-34.64134036412731,-39.44951746518143,-128.94947356418245
460000,-42.29829924078438,-33.14449874520706,-33.10501479366794,-102.65866414667394
470000,-113.5887608150722,-43.95149139912844,-40.54599798503038,-43.808809646529284
480000,-48.21386542716088,-49.78130764862699,-43.31577503391232,-49.41715983767429
490000,-36.42709556965984,-42.408759742425545,-41.27919283473519,-41.924122478372205
500000,-54.53237609614894,-41.96658359028711,-32.84964611187486,-51.51634166503266
510000,-49.969889354643584,-32.673569841596176,-34.862737362673734,-51.43890094355033
520000,-190.93317275668247,-32.503317612414435,-40.343785750252806,-119.29038866964089
530000,-48.98460892081864,-39.92620944827631,-32.92786313027893,-103.23018674191923
540000,-49.87388727525668,-42.16039735946046,-44.10575460178703,-49.863421031378316
550000,-39.73388582761441,-50.29187661986101,-47.62306097746077,-41.79399984548611
560000,-35.325815262472275,-42.40402426918716,-49.450569094064136,-41.49409945913762
570000,-97.40779082388362,-50.14791093589136,-49.063109372290526,-39.7944978541661
580000,-49.036686052731646,-32.425956269542255,-43.76247571330236,-112.7222847049139
590000,-148.10093042501285,-33.19273653689259,-32.559886558006426,-48.580902386912996
