step,run_0,run_1,run_2,run_3,run_4
10000,True,True,True,True,True
20000,False,True,True,True,True
30000,True,True,True,True,True
40000,True,True,True,True,True
50000,True,True,True,True,True
60000,True,True,True,True,True
70000,True,True,True,True,True
80000,True,False,True,True,True
90000,True,True,True,True,True
100000,True,True,True,True,True
110000,True,True,True,True,True
120000,True,True,True,True,True
130000,True,True,True,True,True
140000,True,True,True,True,True
150000,True,True,True,True,True
160000,True,True,False,True,True
170000,True,True,True,False,True
180000,True,True,True,True,True
190000,True,True,True,True,True
200000,True,True,True,True,True
210000,True,True,True,True,True
220000,True,True,True,True,True
230000,True,True,True,True,True
240000,True,True,True,True,True
250000,False,True,True,True,True
260000,True,True,True,True,True
270000,False,True,True,True,True
280000,True,True,True,True,True
290000,True,True,False,True,True
300000,True,True,True,True,True
310000,False,True,True,False,True
320000,True,True,True,True,True
330000,True,True,True,True,True
340000,True,True,True,True,True
350000,True,True,False,False,True
360000,True,True,True,True,True
370000,True,True,False,True,True
380000,False,True,True,False,True
390000,True,True,True,True,True
400000,True,True,True,False,True
410000,True,True,True,False,True
420000,True,True,True,True,True
430000,True,True,True,True,True
440000,True,True,True,True,True
450000,True,True,True,True,True
460000,True,True,False,False,True
470000,True,True,True,True,True
480000,True,True,True,True,True
490000,True,True,True,True,True
500000,True,True,True,True,True
510000,True,True,True,False,True
520000,True,True,True,True,True
530000,True,True,True,True,True
540000,True,True,True,False,True
550000,True,True,True,True,True
560000,True,True,True,True,True
570000,True,True,True,True,True
580000,False,True,True,False,True
590000,False,True,False,True,False
600000,False,True,True,True,True
610000,False,True,True,True,True
620000,False,True,True,True,True
630000,False,True,False,True,True
640000,False,False,True,True,True
650000,False,True,True,True,True
660000,False,True,True,True,True
670000,False,True,True,False,True
680000,False,True,True,True,True
690000,False,False,True,True,True
700000,True,False,True,True,True
710000,False,True,True,True,True
720000,False,True,True,True,True
730000,False,True,True,False,True
740000,False,True,False,True,True
750000,False,True,True,True,True
760000,False,False,True,False,True
770000,False,True,False,False,True
780000,False,True,True,False,True
790000,False,True,True,False,True
800000,False,True,True,False,True
810000,False,True,True,False,True
820000,False,True,True,False,True
830000,False,True,True,False,True
840000,False,True,True,False,True
850000,False,True,True,False,True
860000,False,True,True,True,True
870000,False,True,True,True,True
880000,False,True,False,True,True
890000,False,True,True,True,True
900000,False,True,False,True,True
910000,False,False,True,True,True
920000,False,True,False,False,True
930000,False,True,True,False,True
940000,False,True,True,True,True
950000,False,False,True,False,True
960000,False,True,True,True,True
970000,False,True,True,True,True
980000,False,True,True,True,True
990000,False,True,True,False,True
1000000,False,True,True,True,True
1010000,False,True,True,True,True
1020000,False,False,True,True,True
1030000,False,False,True,True,True
1040000,False,True,True,True,True
1050000,False,False,True,True,True
1060000,True,True,True,False,True
1070000,True,False,True,True,True
1080000,False,False,True,True,True
1090000,True,True,True,True,False
1100000,False,True,True,True,True
1110000,True,True,True,True,True
1120000,True,True,True,False,True
1130000,False,True,True,False,True
1140000,True,True,True,True,True
1150000,True,True,True,True,True
1160000,True,False,True,False,True
1170000,True,True,False,True,True
1180000,True,False,True,True,True
1190000,True,True,True,True,True
1200000,True,True,True,True,True
1210000,False,True,True,True,True
1220000,True,True,True,True,True
1230000,True,True,True,True,True
1240000,False,True,True,True,True
1250000,True,True,True,True,True
1260000,True,True,True,False,False
1270000,True,True,True,False,True
1280000,True,False,True,False,True
1290000,True,True,True,False,True
1300000,True,True,True,True,True
1310000,True,True,True,True,True
1320000,True,True,True,True,True
1330000,True,True,True,True,True
1340000,False,True,True,False,True
1350000,True,True,True,False,True
1360000,True,True,True,True,True
1370000,True,True,True,False,True
1380000,True,True,True,False,True
1390000,True,True,True,False,True
1400000,False,False,True,True,True
1410000,True,False,True,True,True
1420000,False,True,False,False,True
1430000,False,True,True,False,False
1440000,False,True,True,False,True
1450000,True,True,True,True,True
1460000,True,True,True,False,True
1470000,True,True,True,False,True
1480000,True,True,True,True,True
1490000,False,True,True,True,True
1500000,True,True,True,False,True
1510000,True,True,True,True,True
1520000,True,True,True,False,True
1530000,True,True,True,True,True
1540000,False,True,True,False,False
1550000,True,True,True,True,True
1560000,True,True,True,True,True
1570000,True,True,True,False,True
1580000,False,True,True,True,True
1590000,True,True,True,False,False
1600000,True,True,True,True,True
1610000,True,False,True,True,True
1620000,True,False,True,False,False
1630000,False,True,True,True,True
1640000,True,True,True,True,True
1650000,True,False,True,True,True
1660000,True,True,True,False,True
1670000,True,False,True,True,True
1680000,True,True,True,True,False
1690000,True,True,True,True,True
1700000,True,True,True,True,True
1710000,True,False,True,False,True
1720000,False,True,True,True,True
1730000,True,True,True,True,False
1740000,True,True,True,True,True
1750000,True,True,True,True,True
1760000,True,False,True,True,True
1770000,True,False,True,True,True
1780000,True,True,True,True,True
1790000,False,True,True,True,False
1800000,False,True,True,True,True
1810000,True,True,True,True,True
1820000,False,True,True,True,True
1830000,False,True,True,True,True
1840000,True,True,True,False,True
1850000,True,True,True,False,True
1860000,True,True,True,True,True
1870000,True,True,True,True,True
1880000,True,True,True,False,True
1890000,True,True,True,False,True
1900000,True,True,True,False,True
1910000,True,False,True,False,True
1920000,True,True,True,False,True
1930000,True,True,True,True,True
1940000,True,False,True,True,True
1950000,True,False,True,False,True
1960000,True,True,True,False,True
1970000,True,True,True,False,True
1980000,True,False,True,True,True
1990000,True,True,True,True,True
