step,run_0,run_1,run_2,run_3
10000,-105.2148984327576,-89.00307482911641,-96.04702668295582,-81.48939310080729
20000,-255.7421692307256,-304.975831746029,-178.65005283458513,-87.3758305334679
30000,-235.2414073911557,-69.57814459778818,-79.7786263888067,-80.56043529024967
40000,-38.39895190620972,-63.198904493937775,-76.02535121185673,-67.99610760341065
50000,-62.53774270286415,-50.549897948257374,-56.94278170786593,-59.67026773272582
60000,-102.20310879349223,-45.30907795092661,-101.59425635211176,-67.04296919070065
70000,-60.95786981727545,-63.058661405375126,-47.52983715431012,-56.62929013450178
80000,-38.92864077137921,-59.55432981824429,-193.3498490490531,-43.56867509379839
90000,-93.51883863265118,-34.4479620295408,-58.0263294933671,-34.51976221466598
100000,-58.67376251427356,-33.46677949088836,-55.89912612111279,-21.762038754389536
110000,-67.17215167464414,-45.85848631335777,-68.9747490851579,-32.69799803805464
120000,-250.61973880008364,-65.68841813511348,-57.29278874085382,-33.22362632321298
130000,-57.69445057366853,-44.00140180674261,-59.36034737930011,-40.75521759239768
140000,-35.84719063005454,-47.48612128289512,-33.28602548853681,-42.99491614543556
150000,-65.53109629426102,-37.189201033659984,-57.78037879988226,-56.52692522560881
160000,-107.81560974635433,-59.90332230547635,-67.99786329685898,-56.33262699223042
170000,-31.778064889465995,-31.357079068082804,-33.29820995381338,-31.51504656508409
180000,-33.2042959906949,-46.6437576025418,-64.67277580451922,-48.76801121814971
190000,-65.13351291229442,-61.89033548731671,-42.19762361851835,-48.89313629140655
200000,-33.37163543567413,-60.87004635966771,-42.17569720589128,-53.644732017366096
210000,-240.1767150389294,-47.56325816022598,-54.00113036593385,-44.15991557218678
220000,-219.56330763796868,-54.42433860056207,-35.111314898213536,-44.95623200550189
230000,-244.9814542698581,-32.587969360248685,-53.391306204584055,-32.01333165048342
240000,-51.68702343174234,-44.03475602698671,-42.167026533614674,-46.67248854158926
250000,-62.259706582128175,-38.51507294435105,-34.09677499617892,-45.89412463151583
260000,-251.3800332966733,-31.809279529770023,-33.56630486768477,-54.59384686070271
270000,-73.61306736125675,-45.6542628083384,-33.477160955701535,-49.94337596767612
280000,-60.99471341818618,-62.039255618530255,-53.141503681928654,-50.089608922144976
290000,-47.529898332308974,-46.575434221448575,-52.35508835603767,-32.03848661524391
300000,-204.3625797904688,-66.77080023371606,-62.36246297298759,-46.94736099652518
310000,-239.68058972608225,-61.60542803783429,-49.370570960937705,-33.16915792641872
320000,-38.39055553172611,-56.1480680426493,-56.48200091259716,-38.3239028082646
330000,-86.1683636024897,-55.23324420417998,-57.97093580989209,-56.17676752652032
340000,-194.4181053539113,-48.67649253806791,-46.211821395317465,-48.17093679438478
350000,-41.44860203036373,-46.2983549964501,-42.21732121290416,-55.4782502611916
360000,-44.63410551995608,-33.78977529991393,-60.26231707199936,-32.333570878199204
