step,run_0,run_1,run_2,run_3,run_4
2048,-2.846770454198122,-2.8360092118382454,-2.84162810780108,-2.8433574553579093,-2.8354615665972234
4096,-2.853349013626576,-2.837775580957532,-2.8459182389080526,-2.8497788392007357,-2.833375624939799
6144,-2.8570232450962068,-2.8389423586428166,-2.8497107833623887,-2.8519459702074528,-2.8285310816019775
8192,-2.860963566228748,-2.8453126277774574,-2.8525948990136385,-2.848827278241515,-2.824904467537999
10240,-2.8614521734416485,-2.8445234164595603,-2.8469523161649706,-2.838802095875144,-2.817450515553355
12288,-2.862096203863621,-2.838399926200509,-2.8355601113289595,-2.8321545243263246,-2.8131298515945673
14336,-2.871649035811424,-2.8209983978420494,-2.826890680193901,-2.839779364317656,-2.8059797566384077
16384,-2.8707803681492807,-2.8166998270899057,-2.8241165831685064,-2.845049281418324,-2.8080506060272454
18432,-2.875845144689083,-2.812375617027283,-2.830703196302056,-2.8407690562307835,-2.8153971187770366
20480,-2.890901418402791,-2.797736179828644,-2.8320942509919407,-2.8372187711298467,-2.8138250187039375
22528,-2.902200809493661,-2.79716553427279,-2.8352619729936124,-2.839731538668275,-2.808778643235564
24576,-2.903519584983587,-2.7998242780566214,-2.851245146617293,-2.8432580906897784,-2.8064903423190115
26624,-2.9155542127788068,-2.797092817723751,-2.867036971822381,-2.8407321117818354,-2.804730674624443
28672,-2.9240969866514206,-2.787354423105717,-2.8787475444376467,-2.832137377187609,-2.8024516355246307
30720,-2.9275264319032432,-2.7796210028231143,-2.882484781742096,-2.815865022689104,-2.799783666431904
32768,-2.932670185342431,-2.7779667768627405,-2.886197456717491,-2.805836686119437,-2.8071587409824135
34816,-2.939565834403038,-2.7685272436589003,-2.888542467355728,-2.79657861366868,-2.805730688199401
36864,-2.941929089277983,-2.7513635233044624,-2.8882175642997026,-2.788044885918498,-2.802955013886094
38912,-2.9457076944410803,-2.7457068249583245,-2.885843405127525,-2.7921995524317027,-2.796760569512844
40960,-2.9486675430089235,-2.749605154618621,-2.875251378118992,-2.791371224075556,-2.7991454653441905
43008,-2.952046836167574,-2.748493114113808,-2.857067072018981,-2.787938058003783,-2.802799677476287
45056,-2.957677128538489,-2.7468048121780155,-2.841174020990729,-2.7843010149896146,-2.8010308496654033
47104,-2.951254776120186,-2.744014468789101,-2.826313291117549,-2.769896148145199,-2.8001641325652598
49152,-2.944457132741809,-2.735641672462225,-2.8113125815987585,-2.758051896095276,-2.800573267787695
51200,-2.9370433941483496,-2.7347502771764995,-2.8007692638784647,-2.752128134667873,-2.7988138113170864
53248,-2.9277912247926,-2.736360212042928,-2.7988954413682223,-2.7391679894179104,-2.7979600477963684
55296,-2.932183944433928,-2.72785634547472,-2.798318882286549,-2.743642983213067,-2.7861659966409205
57344,-2.9351708006113766,-2.722495137527585,-2.799711141362786,-2.7523677315562964,-2.7684887174516914
59392,-2.936611862108111,-2.70988674685359,-2.797283473983407,-2.7528499025851487,-2.7587808694690468
61440,-2.939733013883233,-2.69680143520236,-2.8020273424685,-2.74128074683249,-2.751656599715352
63488,-2.950977310910821,-2.689001041650772,-2.8126212865114213,-2.739395906031132,-2.744514089077711
65536,-2.959476391971111,-2.6803770888596774,-2.809718650206924,-2.7417220786213874,-2.740121128037572
67584,-2.949001059308648,-2.676420248299837,-2.809681844711304,-2.736379999667406,-2.734943315014243
69632,-2.93752774707973,-2.671580269932747,-2.814724788069725,-2.733387293294072,-2.726288701221347
71680,-2.925821407884359,-2.6682788763195275,-2.8132705211639406,-2.7234035197645428,-2.7242666877806188
73728,-2.9307379372417928,-2.6710276316851376,-2.801459012553096,-2.7067895542830227,-2.7285355679690837
75776,-2.92621478959918,-2.675564735382795,-2.789622521027922,-2.696079911291599,-2.7357820376753805
77824,-2.9110606972128155,-2.682759002223611,-2.7892042364925147,-2.688226892799139,-2.7509612925350666
79872,-2.8996743194758894,-2.689704604819417,-2.7917063545435665,-2.6823907278478147,-2.753753426671028
81920,-2.8860775392502545,-2.6900072168558835,-2.794444592297077,-2.6704956598579885,-2.758115640282631
83968,-2.873049782589078,-2.6775448724627493,-2.799271624535322,-2.663326034322381,-2.767818583920598
86016,-2.863943123072386,-2.664848980680108,-2.796123373508453,-2.6634073309600352,-2.7747733507305385
88064,-2.8756413225084545,-2.6536295507103205,-2.7762039795517923,-2.65539388731122,-2.7770656652748587
90112,-2.8929631512612106,-2.6503249127417803,-2.7525175254791976,-2.6573930460959674,-2.7720732875168324
92160,-2.896403620019555,-2.6493265833705664,-2.7512906808406115,-2.6591673605144024,-2.775717744976282
94208,-2.8996491968631743,-2.650717632472515,-2.7534983549267054,-2.645345955342054,-2.785639748722315
96256,-2.8998551435768603,-2.657533084973693,-2.758596944063902,-2.6329197488725185,-2.792785119637847
98304,-2.9012539573013783,-2.652140675857664,-2.763705123960972,-2.615158836171031,-2.7937826555222274
100352,-2.894377652183175,-2.640303480252624,-2.764399178698659,-2.5959832169115544,-2.7882441751658917
102400,-2.8860026985406875,-2.638486046344042,-2.7664252940565346,-2.580495568737388,-2.7969940412789582
104448,-2.8671975314617155,-2.6402549114078284,-2.768274700641632,-2.5707247730344536,-2.799645670130849
106496,-2.848776203766465,-2.6465997714549303,-2.769841868057847,-2.564451688155532,-2.790311210229993
108544,-2.835990285128355,-2.655267771705985,-2.7667012620717286,-2.546999758854509,-2.787516451999545
110592,-2.820116076245904,-2.655477369949222,-2.7664554942399264,-2.532702282816172,-2.793730473890901
112640,-2.816866847127676,-2.6473218582570555,-2.76971805691719,-2.5336361534893515,-2.792207604646683
114688,-2.8102876849472525,-2.659794955328107,-2.773957727849484,-2.5418714795261623,-2.7774790901690722
116736,-2.802644295990467,-2.66921331435442,-2.773734775930643,-2.5426455054432155,-2.7630341101437805
118784,-2.7991995118558406,-2.6691727746278047,-2.774449044838548,-2.543661114573479,-2.751383386924863
120832,-2.798556703329086,-2.675023234635592,-2.776448942348361,-2.550684937089682,-2.7533273033797743
122880,-2.7988499090075494,-2.6732093200087546,-2.777768915146589,-2.563606044277549,-2.7581082612276075
124928,-2.802424152940512,-2.6708101250231264,-2.777149038389325,-2.5655354995280506,-2.7500207919627426
126976,-2.812614989653229,-2.666594081372023,-2.7728776913136244,-2.547876738011837,-2.731778543815017
