step,run_0,run_1,run_2,run_3,run_4
10000,True,False,True,True,False
20000,True,False,False,False,False
30000,False,True,True,True,False
40000,True,True,True,True,False
50000,False,True,True,True,True
60000,False,True,True,False,True
70000,True,True,True,True,True
80000,True,False,True,True,True
90000,True,True,True,True,True
100000,True,True,True,False,False
110000,True,True,True,True,True
120000,True,False,True,True,True
130000,True,True,False,True,True
140000,True,True,False,True,True
150000,False,False,False,True,True
160000,False,True,True,True,True
170000,True,False,False,True,True
180000,False,True,True,True,True
190000,False,True,True,False,False
200000,False,True,False,True,True
210000,True,False,False,False,False
220000,False,True,True,False,True
230000,False,False,False,True,False
240000,False,False,False,True,True
250000,False,False,True,True,False
260000,False,True,True,True,False
270000,False,False,False,True,False
280000,False,False,True,False,False
290000,False,False,True,False,False
300000,False,False,False,False,False
310000,False,False,False,False,False
320000,True,False,True,False,False
330000,False,False,False,True,False
340000,False,False,True,False,True
350000,False,True,True,True,False
360000,False,False,True,False,False
370000,True,False,False,False,False
380000,True,False,True,False,False
390000,False,False,False,True,False
400000,False,False,True,False,False
410000,False,False,False,True,False
420000,False,False,True,False,True
430000,False,False,False,False,False
440000,True,False,False,False,False
450000,False,False,False,False,False
460000,False,False,False,False,False
470000,False,False,True,False,False
480000,False,False,True,False,False
490000,False,False,False,False,False
