step,run_0,run_1,run_2,run_3,run_4
10000,-87.75461514769731,-86.47200758937993,-250.8565143683228,-86.85873225489901,-71.26965038323087
20000,-68.71513683415661,-67.12426014622145,-256.9035875912816,-77.09483244487996,-242.61014514874822
30000,-159.99060156478373,-164.72198334541127,-240.4237080638708,-61.157225336546446,-55.32723433535562
40000,-31.93464552259715,-40.03267373776551,-77.1477190533984,-30.754899477343308,-59.56898336797002
50000,-56.48701773448197,-231.9060808237505,-36.92372676320705,-47.70225467755101,-52.48889978394729
60000,-57.31678756144724,-54.363705426714056,-12.607255361598892,-33.19605608657267,-33.896459432531856
70000,-53.425484070661255,-57.9897184242672,-57.3773761776522,-54.66974893888442,-34.74843141442868
80000,-35.826860554956475,-116.96653952349784,-67.4097337462756,-34.09665266894027,-50.80645137224293
90000,-29.755775145401937,-52.0875303024986,-50.98343759253935,-24.74870820582517,-46.85571973732852
100000,-47.146856947238746,-173.70334772796394,-12.094560124229584,-24.021021155946908,-12.27454423889775
110000,-44.35131746560805,-55.070321563118455,-28.00131709497505,-31.94078892804448,-13.063857084047992
120000,-31.56431335048116,-52.80930488231863,-48.01445897825496,-23.915000940416345,-31.739779261720365
130000,-24.71303976891793,-13.76412433771806,-29.48102858536398,-38.69119001624152,-45.56805020266427
140000,-31.5056686130269,-32.567691835307926,-11.368934654051282,-10.38383813178766,-30.805122383714224
150000,-21.01700257564172,-50.8413401390937,-47.41806353257495,-24.374715251217047,-10.422838336809786
160000,-43.5648911220138,-53.668507259267805,-46.23161593811815,-42.06288451451931,-115.34018877425436
170000,-10.533476019118057,-28.055729392325272,-45.7188119140229,-30.158698742896103,-25.210466113756354
180000,-10.947114994756008,-33.0699897836288,-35.80970377604119,-29.869182165839668,-10.302595091932027
190000,-30.48764854096601,-50.2648464022521,-25.68313202707501,-46.5602113108707,-23.37057762273741
200000,-10.886697832362431,-28.9261228858824,-34.90892255703314,-23.81152490385861,-11.629586186422483
210000,-27.7909493167398,-47.07576277319821,-25.156948271714576,-10.746030760335351,-11.678850051907446
220000,-10.126628257784567,-15.177010564878364,-45.90798306959529,-26.58161443602552,-11.784335434150512
230000,-103.32905931859656,-11.115630627204256,-27.385061938681183,-28.69293669522986,-14.172616352083027
240000,-11.000481743363771,-50.84358738542036,-27.467323846060253,-13.71491207153582,-10.304720708308931
250000,-23.328233080759745,-11.94138036811267,-31.213880167452256,-9.951673414575383,-99.593665466301
260000,-30.456718353622108,-27.55045906386913,-9.798928938983252,-9.797993250579164,-9.994193721819025
270000,-50.7684480921998,-57.22310027517963,-23.989884305158,-10.193243228980236,-28.43819223310844
280000,-24.980059825457463,-10.158305658991098,-24.68823666388868,-29.53091288297796,-26.997335221162807
290000,-9.38522193362184,-26.77769883036432,-25.808029125133533,-12.676795021541558,-24.9334805559025
300000,-29.356917361545044,-14.800409742430384,-10.64158228747137,-26.681799525081107,-27.59177548606348
310000,-27.60774239132381,-10.302017198583108,-14.951155014187336,-9.737955907515811,-9.597971757531674
320000,-9.530243386817167,-25.904253909135186,-14.079607263823847,-10.47598441381512,-10.389654882821866
330000,-42.2071038060551,-97.2541522526437,-38.23345163743412,-11.927786414165196,-15.339606903369443
340000,-26.59583561472072,-52.26184804970924,-9.919396589690924,-28.406960127981968,-29.22092156413576
350000,-9.48606418774424,-26.5677266581342,-43.71811737253324,-25.220135356485244,-23.931765462284652
360000,-23.21025888045364,-25.70569375731546,-25.504861874937355,-25.037521232017365,-28.780610143990117
370000,-9.432360758766936,-28.133203540017305,-11.442895493555616,-9.86704308563975,-9.971775209060462
380000,-10.044274176214913,-26.09069940188247,-9.78450956684668,-11.582626560932386,-12.978241732590487
390000,-12.07442004616861,-13.14797560494045,-9.606152097346248,-25.06652399322222,-9.486445329770724
400000,-23.468785113637857,-13.47234903813966,-24.029318905758927,-13.006694373259824,-12.595390653156311
410000,-43.525448589754525,-28.57975424371316,-29.021493724814743,-9.799090933850584,-12.696995553124857
420000,-9.918745239047768,-10.76877893151052,-27.54961024940608,-11.62930428545572,-12.637833516986426
430000,-9.71240434044416,-12.71103272585426,-9.859551104408403,-26.89294967688924,-9.307630879468089
440000,-24.112009775220823,-9.693525738421528,-12.149678941721158,-9.730168955122435,-11.006388536014594
450000,-9.635667600573903,-9.84300202905491,-10.166307241148685,-9.728884222195257,-87.77719952414073
460000,-24.107395344264955,-101.72546657459296,-12.188403671062238,-27.067058712018063,-24.52662929127407
470000,-23.4711423618126,-12.147842346728494,-9.864604967521098,-9.50820889431969,-24.577178363925523
480000,-11.111381613130012,-23.78833299568997,-12.572498643150904,-26.490016339715755,-13.939451159205786
490000,-9.229713229244886,-33.3417510543972,-10.180149174473144,-22.66161794807428,-9.247780515404159
