step,run_0,run_1
10000,-64.3470096572595,-45.537424546283745
20000,-60.44599673692888,-63.7636049507812
30000,-59.65062520506168,-62.24257401552348
40000,-48.67929424890429,-48.36651070332986
50000,-48.119331310210434,-43.06731060321568
60000,-53.82121968909215,-54.04898124815105
70000,-47.64686017132399,-57.2979724415419
80000,-53.3914353056826,-53.964898172560495
90000,-42.794283575001245,-47.52828676791118
100000,-43.75375608963592,-47.44781929033748
110000,-44.134118581484856,-47.45078387771183
120000,-43.72788762918762,-43.606187130834186
130000,-47.60501523123466,-57.415692800923054
140000,-47.4546905320175,-43.87240008490096
150000,-57.36999283963975,-54.104132412396496
160000,-47.4553200131083,-57.305832917988845
170000,-47.59707536314041,-57.24418084348619
180000,-53.56783031306287,-47.72089478402814
190000,-57.616307226127866,-43.63359109953144
200000,-57.36650977538283,-57.3255880530312
210000,-44.106933933746845,-43.534555273688184
220000,-53.5023306808927,-47.741665115043375
230000,-53.54528338491812,-57.43581010433263
240000,-53.423354391281485,-53.98910630327734
250000,-53.785670771045694,-57.47613759315494
260000,-48.21586136377012,-57.52262279554487
270000,-48.19646392346418,-43.09689315992629
280000,-48.19562831100632,-57.420761480648025
290000,-43.83565025257772,-47.33993285560738
300000,-42.93928082275062,-47.56946113099038
310000,-42.91868726371321,-42.85027759849978
320000,-53.98223460448358,-47.53939874143045
330000,-48.21423113651119,-42.9021155238044
340000,-57.7652051809889,-57.33867963133865
350000,-57.769048746701394,-47.374650470212416
360000,-54.11673444408926,-47.457370499727254
370000,-42.58348917897362,-47.691262163983126
380000,-57.91248885790297,-42.88656552949497
390000,-53.67786194202127,-42.83414888386924
400000,-57.773931918337865,-57.54243253130816
410000,-57.82919230835498,-53.70533317300322
420000,-48.84438019806272,-43.115848171953374
430000,-54.38920119483946,-42.98404576394745
440000,-48.94112719255727,-42.93384832756844
450000,-57.80905725816046,-47.61325614413951
460000,-42.62255371627683,-43.046730916482474
470000,-54.18772773461355,-47.742162011193194
480000,-57.80133756299378,-57.6597413538491
490000,-48.8655082850989,-47.47210564701293
