episode,run_0,run_1,run_2,run_3
0,-141.48948975291245,-78.20392051649375,-65.06862072358467,-70.72404291382914
1,-62.15392983129236,-95.05637991076836,-70.99873946769499,-51.491380884354214
2,-96.13536955561804,-106.67315775353856,-74.05448581659788,-91.88650674361875
3,-56.3826569269045,-193.3779921905337,-126.18051452894484,-114.26425563801511
4,-63.70658378449114,-107.87136246738233,-47.06236038148651,-111.05690904729579
5,-62.6870111980973,-67.4587157213879,-67.80035406778416,-75.82590299376825
6,-239.11521203864515,-77.71599425338448,-86.35025997780369,-83.5307459142343
7,-48.07223544452476,-44.09432126716015,-137.03697505536178,-106.59961276268106
8,-108.49042230128713,-231.90391766171305,-63.33856495205542,-54.94279609350271
9,-121.99573276368268,-71.69177250743134,-148.56971702493945,-108.78286390863212
10,-162.2796361310593,-261.77432041323374,-69.84319819604723,-111.62733998275684
11,-110.05422293698692,-129.36905339845055,-47.12760413036271,-190.1217997947101
12,-87.35689057311059,-344.26312692249326,-96.16289809554848,-68.44000647683424
13,-92.1176347141736,-63.08966248712193,-71.2799098203711,-87.73282426832918
14,-70.92912885168414,-138.5402966203339,-89.99854566027857,-74.2189065053112
15,-86.55760939892576,-204.61566467239632,-196.08470686384956,-53.12390295420208
16,-176.5692208717159,-86.84951347276954,-111.62406925203996,-114.95498862710772
17,-59.773058011844014,-87.36854838531994,-67.69800140587022,-72.16613208061065
18,-63.07174017856126,-216.03279948977223,-66.74095681060376,-52.96954589824034
19,-62.61501716586266,-84.40726672546681,-85.07258415056108,-79.55964130559133
20,-165.47651248219154,-77.10359353945142,-67.94567622932144,-70.83502666308868
21,-55.64463315467399,-53.39652587638553,-57.92814970370435,-85.31998739621892
22,-173.6103771830685,-195.13981803431508,-72.17882181046775,-95.74041239229692
23,-132.6252123136606,-80.674315443239,-48.551430456757984,-62.07290262366749
24,-170.02155025970805,-94.9634129915686,-67.2923954278045,-47.99136426853407
25,-128.65744160461168,-158.58107459509563,-150.86911202423158,-99.28094947913154
26,-122.57213330996308,-146.30976581202248,-92.31785551967322,-48.43784451480586
27,-68.02472159735537,-52.17442558209972,-49.76433962771687,-95.83591829527987
28,-205.25273757367648,-92.56469717940725,-82.5038145107532,-157.86824885286376
29,-107.89752786512808,-48.18445281928426,-62.18811647725007,-69.70581909630198
30,-91.71768611017748,-47.678702909537314,-74.46052105394989,-121.08626809797352
31,-63.89437094634843,-78.90037475451314,-84.45654265890995,-63.04214091615792
32,-86.66575834409444,-50.198389987383855,-81.85036581072669,-49.322669393456295
33,-62.45850104837442,-105.52901682670552,-70.14926069407306,-102.57257462451912
34,-121.13104079011332,-117.3495354581205,-138.45298398869744,-53.61762304470275
35,-124.43644894168654,-95.87160713653986,-281.92936660091124,-114.84204301153449
36,-47.8911468020397,-75.33054117145603,-161.10264710869598,-69.69717752821833
37,-49.89570093285596,-109.37959289626646,-169.5430323038227,-105.67253669960058
38,-77.877554647311,-54.06437524362735,-80.48844977762256,-71.11417564755173
39,-158.09482052711405,-107.72047701014336,-107.75704625266656,-47.255767932673855
40,-104.53135521006848,-96.496888704833,-126.29072874340602,-61.519904511461604
41,-69.06332733789154,-74.66048392624737,-51.60582546681947,-209.4674482034
42,-171.82341817327176,-65.37963747038864,-91.55656831855951,-52.87749249442374
43,-140.09611796578997,-118.54923181685038,-75.65802162643116,-117.07049497747238
44,-102.09637952085836,-75.80136234092484,-96.65021825990914,-134.58635446403116
45,-85.79778867365121,-79.3571625199376,-73.30838386183613,-60.02955070914713
46,-166.69900560933212,-221.05331341065408,-144.35000724740505,-114.46529892116214
47,-110.39913432716328,-106.08283809170403,-97.42729624689672,-109.11138281923525
48,-47.25522717256602,-65.82901556333094,-59.79579526151024,-85.23851501167553
49,-125.71097866313004,-106.7187306750016,-73.7987260817933,-77.97618715419964
