step,run_0,run_1,run_2,run_3,run_4
10000,-84.96447545105698,-83.28708201546218,-167.46466317444128,-210.0902362180308,-80.50700594004626
20000,-74.32349927993825,-46.010146427776974,-63.31593670559917,-65.55089235383144,-99.37329901081995
30000,-54.16034582041558,-78.23058857533584,-271.8332558389741,-63.71528202443904,-45.9287458239079
40000,-169.65906735082484,-57.03161059153845,-51.96135318390834,-39.16585547247917,-44.25435746345688
50000,-37.337955536803335,-62.31163838796508,-73.5359358237787,-61.09872069814596,-102.04853111544347
60000,-36.60733035548097,-260.4890657573778,-42.41065235167507,-36.395246660643885,-60.41727727278505
70000,-39.00162912220812,-74.38893316402947,-59.550851231656665,-68.46459395256173,-59.70963173208051
80000,-62.98328982032062,-44.291001557056646,-74.96717076840545,-65.86237959237201,-58.54129595897779
90000,-64.7238645642155,-51.14816421348928,-55.86937168295334,-39.35499770309436,-41.02353127920658
100000,-61.40935049576128,-51.84449927210834,-50.31472843641082,-42.72688237594381,-40.97320129013694
110000,-69.91549899584379,-73.07812740127383,-66.90813077770649,-60.60230510185332,-51.81451164153482
120000,-61.073865980861314,-43.31301364489688,-262.4191260319958,-44.80078142484312,-59.27945551150351
130000,-38.6676332335332,-65.73088158650826,-41.57107890841697,-60.5604616539949,-39.89135443626241
140000,-60.64743610337507,-114.0478904133825,-59.33249052783769,-102.91514180466812,-87.94224842368222
150000,-38.41702173908592,-43.672694199536366,-60.51999590939745,-107.51062455779586,-39.74915401923578
160000,-44.69321873739411,-60.37280146611113,-64.17094610293918,-65.97655300249731,-86.50949446716001
170000,-61.47251433304014,-42.98948536498296,-64.73951016594252,-65.03469413330622,-39.683571524002396
180000,-61.47284859223338,-266.8407209367,-50.90984328647959,-43.70400567767602,-39.811802675297315
190000,-46.833208159970816,-86.30446588156377,-48.89948598063294,-72.5691280820996,-58.543033501356874
200000,-45.79311481168194,-60.01980631285579,-59.59149693013941,-44.18476963310642,-287.80732648820754
210000,-60.491467166238834,-59.8759432438868,-46.67574519654902,-42.66872684634372,-50.83006195052325
220000,-39.02783862131098,-68.10595791509357,-63.88930208753108,-59.55356489086832,-58.98671472361804
230000,-60.62687766523948,-43.39630331175838,-273.92232841278906,-74.03916733305886,-58.9850744418391
240000,-61.47284908340107,-42.96220938940105,-59.24815714043285,-43.98222003286063,-283.28481492898186
250000,-44.49094771676042,-61.46307938449976,-66.00394828826467,-64.87882042064543,-39.80506458732858
260000,-60.61049382782823,-68.03172222157033,-65.68645029140163,-43.81944171696853,-50.263107128043046
270000,-73.18168051560617,-60.57071608246,-60.52622674993744,-43.73021919423494,-58.33594191858325
280000,-38.75177287230775,-279.32979290034376,-63.07528234523042,-43.01902952372679,-56.952636432246095
290000,-37.120234938683126,-43.53752664082948,-67.69733905917005,-38.79339344879519,-286.7588069211745
300000,-53.2339753814539,-60.124466723197145,-45.23331986075347,-38.27423548318774,-65.3039426988142
310000,-44.30475738441498,-68.60441440301604,-60.61242304186474,-62.49040902001493,-52.419043098138296
320000,-75.19868026009307,-75.50481979166068,-70.75449272115793,-88.40265319803976,-58.9850744418391
330000,-47.86457408975852,-282.6831012122775,-41.20642259575877,-61.47267431884335,-72.94379073566002
340000,-60.65072676741648,-64.10651032116101,-44.15482291922865,-65.35772100047666,-60.94973154349745
350000,-36.16137417594732,-53.04448896456168,-88.37985788761537,-61.47275075907135,-39.75042394312875
360000,-35.82959995494196,-63.95101961619786,-61.752401287199966,-64.31318559526379,-60.7477535819927
370000,-430.3164929818077,-43.709800956580544,-42.24641892198682,-59.206246970192986,-39.796416764067395
380000,-44.46453098415194,-61.47284908340107,-111.01459503164308,-43.07984539943847,-290.66459632309153
390000,-76.98576334701599,-60.33117703569376,-44.33999627915214,-83.48946398296947,-39.75042394312875
400000,-61.49083582893097,-61.47284908340107,-66.26804482861768,-60.25123276405714,-58.9850744418391
410000,-46.295826729916335,-62.317188219230985,-273.4154129857352,-60.62105408180479,-59.01092765837048
420000,-35.33151893809071,-273.7168033391925,-37.56295825070193,-62.64394891495076,-60.40063631995437
430000,-61.4733581644298,-63.84340952974122,-66.00387951232858,-40.32595926568844,-58.28728023036303
440000,-70.23712235662816,-273.6482209405218,-42.54389250198871,-59.911550932913,-39.86510674552278
450000,-61.47284908340107,-273.4879130093112,-63.12769417079585,-42.67398456805213,-377.2066447279652
460000,-33.421221560469114,-238.6642304565001,-63.52982282571271,-60.086036197367925,-61.091892707785746
470000,-44.63917954297166,-61.47284908340107,-63.88859442743088,-60.86283397967362,-373.1727400106058
480000,-44.218865338719056,-273.49721748335,-61.73199724746393,-61.23853310899308,-58.39053552258012
490000,-44.19382358663794,-43.68300194029635,-59.4390902424923,-40.60233727148156,-393.8820080083813
