step,run_0,run_1,run_2
10000,True,False,False
20000,False,False,False
30000,False,True,False
40000,False,False,False
50000,False,False,False
60000,True,False,False
70000,False,False,False
80000,False,True,False
90000,True,True,False
100000,False,False,False
110000,False,True,False
120000,False,False,False
130000,False,False,True
140000,False,True,False
150000,False,False,True
160000,False,True,False
170000,False,True,False
180000,False,True,False
190000,False,False,False
200000,False,True,False
210000,False,False,False
220000,False,False,True
230000,False,True,False
240000,False,False,False
250000,False,False,False
260000,False,True,True
270000,False,True,False
280000,False,False,True
290000,False,True,False
300000,False,True,False
310000,False,False,False
320000,False,True,False
330000,False,False,False
340000,False,True,False
350000,False,False,False
360000,False,False,False
370000,False,False,False
380000,False,False,False
390000,False,False,False
400000,False,False,False
410000,False,False,False
420000,False,False,False
430000,False,True,False
440000,False,False,False
450000,False,False,False
460000,False,False,False
470000,False,False,True
480000,False,False,False
490000,False,False,True
