episode,run_0,run_1,run_2
0,True,True,True
1,True,True,True
2,True,True,True
3,True,True,True
4,True,True,True
5,True,True,True
6,True,True,True
7,True,True,True
8,True,True,True
9,True,True,True
10,True,True,True
11,True,True,True
12,True,True,True
13,True,True,True
14,True,True,True
15,True,True,True
16,True,True,True
17,True,True,True
18,True,True,True
19,True,True,True
20,True,True,True
21,True,True,True
22,True,True,True
23,True,True,True
24,True,True,True
25,True,True,True
26,True,True,True
27,True,True,True
28,True,True,True
29,True,True,True
30,True,True,True
31,True,True,True
32,True,True,True
33,True,True,True
34,True,True,True
35,True,True,True
36,True,True,True
37,True,True,True
38,True,True,True
39,True,True,True
40,True,True,True
41,True,True,True
42,True,True,True
43,True,True,True
44,True,True,True
45,True,True,True
46,True,True,True
47,True,True,True
48,True,True,True
49,True,True,True
50,True,True,True
51,True,True,True
52,True,True,True
53,True,True,True
54,True,True,True
55,True,True,True
56,True,True,True
57,True,True,True
58,True,True,True
59,True,True,True
60,True,True,True
61,True,True,True
62,True,True,True
63,True,True,True
64,True,True,True
65,True,True,True
66,True,True,True
67,True,True,True
68,True,True,True
69,True,True,True
70,True,True,True
71,True,True,True
72,True,True,False
73,True,True,True
74,True,True,True
75,True,True,True
76,True,True,True
77,True,True,True
78,True,True,True
79,True,True,True
80,True,True,True
81,True,True,True
82,True,True,True
83,True,True,True
84,True,True,False
85,True,True,True
86,True,True,True
87,True,True,True
88,True,True,True
89,True,True,True
90,True,True,False
91,True,True,True
92,True,True,True
93,False,True,True
94,False,True,False
95,False,True,True
96,True,True,False
97,False,True,True
98,False,True,True
99,True,False,True
100,False,True,True
101,True,True,True
102,True,True,True
103,False,True,True
104,True,True,True
105,False,True,True
106,True,True,False
107,True,True,False
108,False,False,True
109,False,True,True
110,False,False,True
111,False,True,True
112,True,False,True
113,True,True,False
114,False,False,False
115,False,False,False
116,False,True,False
117,False,True,True
118,True,True,False
119,True,True,False
120,True,True,True
121,False,False,False
122,True,True,False
123,False,False,False
124,False,False,True
125,False,False,True
126,False,False,True
127,False,True,True
128,False,True,True
129,False,False,False
130,False,True,False
131,False,True,False
132,False,True,True
133,False,True,False
134,True,False,True
135,True,True,False
136,True,True,True
137,True,False,False
138,True,True,False
139,False,True,True
140,True,True,False
141,True,False,True
142,False,True,False
143,True,True,False
144,False,True,True
145,True,True,False
146,False,True,True
147,True,False,True
148,False,False,False
149,True,False,False
150,False,True,False
151,False,True,True
152,False,False,True
153,False,False,False
154,False,False,True
155,True,True,True
156,False,False,True
157,False,False,True
158,False,True,True
159,False,True,False
160,False,False,True
161,False,True,True
162,True,True,False
163,False,False,True
164,False,True,False
165,True,False,True
166,False,False,False
167,True,False,True
168,True,False,False
169,False,True,False
170,False,True,False
171,False,True,False
172,True,True,True
173,False,True,True
174,False,False,True
175,False,True,False
176,True,False,False
177,False,True,True
178,True,True,False
179,True,True,True
180,False,True,False
181,False,True,True
182,True,False,False
183,False,True,True
184,False,False,False
185,False,True,True
186,True,True,True
187,False,False,True
188,False,False,True
189,True,False,False
190,True,False,False
191,True,False,False
192,False,False,False
193,True,True,False
194,False,True,False
195,True,True,True
196,True,True,False
197,False,False,True
198,True,True,True
199,True,False,False
200,False,True,False
201,False,False,False
202,True,False,True
203,False,False,True
204,False,True,False
205,False,True,False
206,False,False,False
207,True,False,True
208,True,False,False
209,True,False,False
210,True,True,False
211,True,False,True
212,True,True,True
213,True,True,False
214,False,True,True
215,False,True,True
216,True,False,False
217,True,False,False
218,True,True,True
219,True,True,True
220,True,True,True
221,True,True,True
222,True,True,True
223,True,True,False
224,False,True,True
225,False,False,False
226,True,False,True
227,False,True,True
228,False,True,True
229,True,True,False
230,False,False,False
231,True,False,True
232,True,True,False
233,True,True,False
234,True,True,True
235,True,True,True
236,False,True,True
237,True,True,False
238,False,False,True
239,True,True,True
240,True,False,False
241,True,False,True
242,False,False,False
243,False,False,True
244,False,False,True
245,False,True,True
246,False,True,False
247,True,True,False
248,True,True,False
249,True,True,True
250,False,False,False
251,False,False,False
252,False,True,True
253,True,True,False
254,True,False,True
255,True,False,False
256,True,True,True
257,False,False,False
258,False,True,False
259,False,True,True
260,True,False,True
261,True,True,False
262,True,True,True
263,False,False,False
264,True,False,False
265,False,False,False
266,False,True,True
267,False,True,True
268,True,True,False
269,True,True,True
270,False,False,True
271,True,False,True
272,False,True,False
273,True,False,True
274,True,True,False
275,True,True,False
276,True,True,False
277,False,True,True
278,True,True,False
279,False,False,False
280,True,False,False
281,False,False,False
282,True,False,True
283,True,True,False
284,True,False,False
285,True,True,True
286,True,False,False
287,False,False,True
288,False,True,True
289,False,False,True
290,False,False,True
291,False,False,True
292,True,False,False
293,True,False,False
294,False,False,False
295,True,True,False
296,True,True,True
297,False,True,False
298,True,True,True
299,True,True,True
300,True,False,True
301,False,False,False
302,False,False,True
303,True,False,False
304,False,True,False
305,False,False,False
306,True,True,False
307,True,False,True
308,True,True,False
309,True,True,False
310,True,True,False
311,True,True,True
312,True,False,True
313,True,False,True
314,False,False,False
315,False,False,False
316,True,False,True
317,True,False,True
318,True,True,False
319,True,True,True
320,True,True,True
321,True,True,True
322,False,True,False
323,True,False,False
324,True,False,False
325,False,True,False
326,True,True,True
327,True,False,True
328,True,True,True
329,True,True,True
330,False,False,False
331,False,False,False
332,True,False,True
333,True,True,True
334,True,False,False
335,True,False,True
336,True,True,True
337,False,False,False
338,True,True,True
339,True,False,True
340,True,False,False
341,False,False,False
342,True,True,False
343,False,True,True
344,False,True,True
345,True,True,True
346,True,False,True
347,False,True,False
348,True,False,False
349,False,True,True
