episode,run_0,run_1,run_2,run_3,run_4
0,-133.8528611350057,-74.92570914118258,-81.10671672577467,-43.96141141694682,-80.07130414963436
1,-60.618415921488456,-70.972696940689,-60.382828006209735,-47.30293913001518,-136.6752585704432
2,-130.12574999919008,-88.78954746193983,-77.82461019363681,-69.28970389058578,-64.47340993684286
3,-76.79187480090957,-67.00522274432106,-109.859341985807,-87.61515953507607,-58.24484885461135
4,-73.13115891960771,-65.72898343575706,-50.36449261818217,-111.4068707841806,-90.98832069161074
5,-67.81939254909017,-124.39221082053729,-85.42306064763949,-124.91266375543216,-71.49589302839863
6,-60.8819385232696,-144.1222442082426,-67.2699869687811,-105.68437905971592,-55.16517913740799
7,-153.34721426762684,-62.87380074238303,-50.69625299744422,-67.63132734013956,-73.70785804183076
8,-49.29476627584792,-57.27441168185482,-124.86657923950384,-52.723471100737584,-167.25126796473404
9,-53.34462264768803,-80.62495769296956,-123.1501874291518,-85.65900352304689,-63.65010918238583
10,-60.31104579230177,-218.530909331716,-87.29052657174714,-128.5709566086588,-54.74747376049604
11,-67.85900344298582,-84.15198715796458,-54.47103699248377,-138.71490520875648,-66.7522436984458
12,-59.00405789423435,-69.2492963730312,-72.87394868839935,-110.09696459442694,-65.80858310705095
13,-50.43464999017214,-114.3590911800558,-59.56796181067563,-94.4790628405986,-52.90618399398817
14,-94.87988030959858,-78.55398238023005,-93.77835974858615,-67.3936576668765,-58.73647667091641
15,-70.19116698102306,-54.15725927182736,-48.4188201090221,-122.6937976859787,-100.27965968277141
16,-57.29093195053407,-128.06900573689853,-117.85933554888126,-60.79590205198311,-85.60951886398831
17,-119.9459060259236,-61.66664438708888,-129.52419001485754,-56.74884496847149,-141.32220627695474
18,-79.34320714651744,-59.92016683797925,-115.8316000770875,-45.80042156767894,-83.62215781529683
19,-68.37268370194491,-87.42282693385519,-53.89609026541399,-94.36398804643495,-53.86133204398514
20,-48.76236692080285,-103.04922417969516,-62.3851953446532,-45.37227919813128,-67.16388339614643
21,-124.644565901149,-79.24454018766224,-89.84245848873755,-60.38777002903521,-49.37077471802519
22,-175.4399543188468,-63.56483626709553,-69.8559106935347,-46.687388197944735,-79.40068360232766
23,-62.12599350979552,-96.0991201121318,-58.75980616538068,-93.88713407261866,-67.11329324055062
24,-84.80783227868721,-74.42508960148746,-61.017930294633,-59.71138473987053,-80.74952151885874
25,-55.50398432515878,-140.46600313683558,-163.73162519571173,-83.54659812771955,-115.72747097998327
26,-59.05986509531149,-143.59680957030525,-62.36155463819924,-117.01180382877618,-67.42815624640357
27,-64.01935068606178,-52.28890426018528,-70.30225325274743,-121.27909171158524,-89.467791089824
28,-48.755521772607466,-67.5575763291088,-72.11936890941807,-70.61164361887106,-116.4032069950708
29,-118.88287430145748,-62.05138343527042,-80.05308698473105,-64.78124234833801,-52.3461993307771
30,-49.40517448495744,-206.8708550042197,-51.42778539391671,-59.18714025877722,-74.91270261580244
31,-85.99540764550076,-73.91190808810475,-66.67023312286514,-46.06694966050693,-59.99645185220225
32,-95.07227964820883,-80.13525750424398,-69.40031809177263,-98.53453831210402,-69.67731617909658
33,-62.26090205840739,-214.53742555138788,-55.39518644172395,-61.745717618983896,-143.37032461090422
34,-100.91118639578232,-46.609715600070416,-159.23726566309463,-76.33421378606297,-98.0261236462409
35,-103.5330557733812,-145.49563687670246,-97.9231761060646,-66.05723501614453,-110.24626107976641
36,-115.06076469004074,-99.55467409417469,-230.28633827359056,-95.88568687107713,-77.25057684553137
37,-134.4594292335964,-53.98898614991503,-95.57561805035736,-115.50205482048514,-102.94013357629657
38,-124.69260644327542,-80.22173776090048,-165.04258874161218,-62.72758748330743,-86.7532004293675
39,-106.39934111776827,-78.41618475583098,-62.72264484307459,-129.6377465454741,-46.60876421036828
40,-94.94420270720764,-60.71144234476195,-71.5960076176676,-145.6842037866645,-113.90402837982475
41,-96.77855426854477,-84.45828572518568,-160.20451692550418,-68.27690924208177,-126.3867692526945
42,-60.68728971064068,-160.60091817173935,-103.44211109647232,-282.91552543680325,-104.50041494944183
43,-59.41023662950192,-57.37642076773473,-73.70471033976821,-68.2339671551368,-69.82329833975898
44,-115.02794495949814,-73.2835465145807,-120.6356484787801,-60.95230543555361,-60.7460188822712
45,-88.7125150366486,-52.43616553570598,-131.30424255709144,-69.2629684451316,-92.61330210363852
46,-79.9560896910955,-154.41772024416505,-83.13223065387666,-136.53101807302545,-69.41869679926516
47,-78.74147010902055,-79.51281692312313,-58.98850421535288,-94.5390087920131,-137.89311660656873
48,-75.8383754445727,-99.43279661006356,-90.87704395603949,-92.90202649936464,-109.83511121183645
49,-66.80250163512547,-144.87259189487884,-121.6715536988582,-70.78936362020562,-50.95153268817308
50,-129.40450918629378,-61.18100661290973,-81.86521215108493,-111.77739057241732,-138.48396075416812
51,-101.39413010050752,-74.17540617235218,-100.38117963608704,-104.64541202930342,-143.48510675289725
52,-68.84985975795172,-155.84227641485205,-77.11279989401302,-57.96234308401365,-89.53962251463176
53,-65.1969360289683,-124.04659390646736,-52.64280748173753,-190.52391958050936,-152.56154117745038
54,-86.84772320200986,-75.20555332064006,-51.53754073299097,-58.24604242466552,-110.90574451182484
55,-117.11958748544664,-76.13248887938852,-121.18249692561254,-62.18643710669249,-113.69885454633976
56,-216.2853757460348,-111.45961199873182,-76.18802993817837,-56.51587621650196,-160.7461805215878
57,-135.56046616501544,-73.43377653559318,-136.96410929419,-214.73648681323857,-84.25112236454831
58,-68.51039235825851,-78.678407769789,-120.23239646141846,-53.36905747641419,-47.704528645160686
59,-67.30390389742766,-108.45819352097746,-91.25176570841208,-103.41456927598084,-71.13865650215142
60,-94.84306228886987,-78.0669119010268,-123.55510269329493,-125.97433853586128,-147.16100073910522
61,-107.70016671123086,-120.03399072253964,-71.6913810513,-159.9933074777837,-56.03209571256855
62,-47.98902403380204,-137.72886808621587,-140.6296513926361,-179.76603755576707,-124.01871595727121
63,-114.038457462288,-113.17198485180002,-73.3787161673405,-165.8678048763186,-72.68578280614742
64,-189.94323989224463,-103.00789094156364,-146.70345404567115,-53.1410578684183,-80.01914414716475
65,-69.56549795948266,-46.74394731317433,-96.72299143096856,-139.7011216647984,-166.76967459738438
66,-71.52102116520297,-84.90947416203493,-111.77080510669012,-82.38714622276132,-48.47054716560025
67,-63.86962238443477,-60.18934124979668,-47.089338655441374,-199.8421979520437,-65.31313519971906
68,-54.861799112492704,-100.02940001091142,-66.78004524845102,-242.26641481879767,-65.68625630383414
69,-65.5173489052352,-57.93471626513978,-67.54869806519632,-55.46424844800104,-267.5210415623619
70,-70.67809353479413,-92.46540705283776,-101.831615220366,-88.81551474758618,-111.22807329546683
71,-42.196583330794006,-95.09479294139842,-155.93124153056698,-100.5685295038626,-92.80546677499284
72,-117.36371369045978,-82.26640556551195,-259.67927747596514,-122.99761936769798,-81.02383303664415
73,-115.75035270458685,-88.16412032150498,-158.66658441630648,-81.01308481600404,-176.84910230703622
74,-75.67001685407912,-78.53717394633406,-54.34641191703393,-58.375885498275096,-66.14109512496658
75,-114.32149625940502,-100.21502016376026,-78.62094164947754,-69.64116289923226,-60.441599354886606
76,-193.8652740929748,-76.17139524192656,-111.9011755656495,-173.32659759145437,-85.05760333477438
77,-202.9690722324121,-63.02302277865825,-295.01748348790403,-84.92822584543629,-78.16304053313158
78,-244.5261004782718,-137.7005797962548,-95.03922664086149,-87.51182825382503,-75.18447167054691
79,-218.3300798240525,-105.1094334915763,-74.9766494018401,-147.0660863959492,-106.86919034215802
80,-80.40182999879747,-81.0888265184068,-117.00315864848795,-79.2286482810236,-92.54963045122304
81,-188.9347291680496,-62.22646807019933,-50.95693163156371,-152.9292410284326,-78.04624612135599
82,-113.19348736885064,-82.45003799319669,-59.31006441493466,-252.7309498668297,-72.07705059715514
83,-317.758291180214,-49.44982275648407,-204.129693118102,-83.04828645585013,-159.15208140252827
84,-183.65368775828503,-103.90752172680976,-183.8430644639812,-161.09371020141415,-180.395611951451
85,-212.2900489427988,-94.26667383442346,-118.75051322509054,-194.96044956594895,-185.213160773497
86,-75.30080740735104,-193.64982241290107,-79.63003887744688,-57.46045746699132,-81.25519745572612
87,-128.06279890086128,-73.55008621077484,-119.57115404983026,-89.74852223078041,-79.52613214229058
88,-98.4754171834543,-116.0291980923677,-66.59929826183546,-181.1286304698348,-66.41110864075776
89,-98.0887942554526,-171.49530862382954,-118.67802502870992,-279.0639575415171,-102.32660450856218
90,-130.9936676250063,-65.4301285731666,-197.50453353665395,-160.0676194999549,-116.70178469869558
91,-126.34080799713216,-71.21937580868226,-183.3767396549526,-112.78593836118516,-87.17010807578897
92,-36.217860426033184,-96.89219273146502,-94.22845160648195,-218.34372336437136,-40.458739477563995
93,-194.5696896880522,-46.74849208411069,-65.7395967336876,-146.38483161832943,-96.63045388063527
94,-243.27401839950105,-67.46251525237034,-177.4816934914932,-84.07794177888042,-92.41904673257498
95,-240.84011402178203,-89.70249235892528,-92.36738556142724,-170.65543435259366,-177.61643734582444
96,-77.94208887923816,-112.47277566659888,-197.5571660505441,-185.8303276615972,-99.04353513795255
97,-214.59943570021213,-181.9493658149051,-187.3625018896853,-83.84301691468085,-127.44342063941488
98,-295.24957477846,-290.5958277016708,-114.052268567214,-186.10123824411303,-142.16939173136768
99,-88.85402203289726,-205.4392088246364,-91.16505476029508,-187.6108895629603,-70.73136928430814
100,-283.94638608494074,-143.39557109787393,-209.2191278507788,-132.4693733599158,-116.27301310309502
101,-189.4141101525384,-101.4537439841472,-241.9532053381532,-91.00469171418216,-220.37248403878147
102,-134.51429992541333,-117.0510354583302,-151.72167847648464,-158.2633738937649,-213.59667942947954
103,-207.81340686119967,-175.89270161941593,-72.99534426296741,-292.24302512621256,-283.9655514834184
104,-118.11165035279517,-163.4219006472972,-127.33036036391286,-250.87639966842303,-241.14197844120926
105,-219.1229736387681,-128.02502619427665,-193.80163363581752,-134.3873234167546,-76.31011465899408
106,-226.6130741911384,-68.19153257202441,-166.09054175619016,-44.15619659273087,-200.2539883696555
107,-192.50999984779307,-224.35175708954864,-201.5023594966672,-91.66642024975576,-270.0853796429385
108,-213.2055891502072,-176.98664162848942,-87.3266436253497,-124.1957548269768,-210.1381163850176
109,-198.30440672884336,-179.01421720135312,-73.99107405151214,-157.0737512095219,-232.4187775022582
110,-188.3604948010789,-160.36515758895675,-261.85940269340057,-77.62020653187409,-113.17074952882275
111,-177.20092387048155,-172.4402907467531,-67.95677822746613,-88.11175467549924,-194.1267975497742
112,-167.61329871623082,-191.206059251908,-155.31933332968418,-204.79358586867295,-161.56029925665447
113,-309.4651455136928,-177.1914127180711,-221.41354290381875,-135.47934327212806,-179.26145893145312
114,-252.90657271554088,-232.1823590770317,-154.74469061103844,-150.2648918413783,-163.076024014217
115,-236.09030744872,-222.3955618484104,-236.36228144616427,-154.885974714163,-274.067426274936
116,-300.68176626647664,-69.87021294538991,-127.54282794880092,-96.1991853941914,-130.3395033865704
117,-219.00814494451708,-232.92291225470905,-219.71934234480293,-184.1877434700432,-105.27353263280398
118,-286.8500225766231,-86.36407912104735,-142.5020706360225,-130.0769597733883,-118.64693368316446
119,-296.8526893018624,-135.47409259814555,-213.31066692797145,-162.38659644452954,-162.67790686301583
120,-159.717021701958,-80.11362873916944,-163.33024532337657,-171.2856478409007,-218.0384983541615
121,-189.7792484653439,-295.0942554085587,-147.84617889347774,-151.22041673597607,-232.50635710285297
122,-337.658800199922,-183.93833538603536,-224.4590021229516,-146.61726932606473,-151.51639988724426
123,-236.66667873540507,-142.29995919001104,-121.78090773112385,-84.0531057645904,-71.66264349548064
124,-239.73689549436008,-151.61775543268914,-172.33896221100943,-189.70647986615384,-160.25359472420925
125,-174.7404309707787,-212.3016980052159,-130.91370518433635,-61.34127611947905,-227.23924898825766
126,-152.7875444402002,-131.24549805212587,-111.05368361480122,-139.9081891046104,-194.31672173323167
127,-222.16100475344345,-279.40056498602667,-142.9198572200816,-74.79571774561163,-236.86671673552695
128,-156.1844784044819,-99.63806468690952,-121.02609499959982,-165.54672452409065,-57.852254996708936
129,-320.518327901,-135.33517063971587,-116.87869413467163,-127.8759381001896,-240.00943577882435
130,-340.3665076273737,-65.12382815496079,-126.94421790729972,-141.86665349655215,-176.2966310086483
131,-125.49940073846744,-108.40372221192932,-160.60057576840327,-148.95100812680195,-171.6924566726248
132,-249.5201505442884,-139.26879356630948,-107.10766913636698,-281.2803060643766,-197.87453427436827
133,-221.00265952335425,-137.05557418859507,-245.83371851398368,-135.5843593112436,-277.71772358930764
134,-109.65616133711512,-168.54684439464586,-122.1917358830515,-124.7053777309116,-61.13191777708833
135,-73.02962375161171,-227.57293960695284,-188.3826724943139,-77.91241747284874,-225.5508354242047
136,-91.49536906875198,-156.648517785121,-123.8276264750122,-126.09934321002235,-80.43519501298913
137,-193.25137509294868,-108.67118991810771,-137.06581753277294,-136.15109650212307,-159.8454267909396
138,-92.8340720141352,-275.2545231575001,-150.75867900251407,-140.48564149291352,-145.57847492824723
139,-135.185952356502,-166.63788279125413,-117.15123658951904,-240.19380180018396,-191.61607805040893
140,-139.38885572682847,-166.1890880872954,-224.12046534525527,-270.5574177328043,-220.78084031151053
141,-284.9278033945318,-355.59130902419804,-107.18406048849816,-127.6895812492935,-188.90853765335825
142,-219.93900799170189,-138.6582682019809,-159.54853985645926,-91.732793965885,-174.7363309131301
143,-195.0283805539781,-137.2449472741585,-233.69149137210803,-102.07866115458384,-75.44877498817989
144,-129.4207525209684,-168.7945067352803,-188.2268105384983,-142.90191322832493,-157.14003502845836
145,-265.6025592201392,-61.32426743854701,-145.0026161533336,-88.52948278575099,-149.6932775306152
146,-155.90417092907254,-236.88562112701527,-135.08185042434076,-61.116893760205016,-65.94130722457528
