step,run_0
10000,-102.8049119684548
20000,-270.58157994231334
30000,-26.116233215894095
40000,-63.18371533344535
50000,-29.883090350775046
60000,-29.0849452218953
70000,-28.646054761875604
80000,-63.174692448003924
90000,-54.62053345759903
100000,-69.11984401636201
110000,-68.73150603148915
120000,-51.93580483846958
130000,-27.796357899048978
140000,-62.53611041833581
150000,-27.37426073608622
160000,-36.29116900549458
170000,-60.887440642004975
180000,-61.0522886714118
190000,-37.954638185429424
200000,-40.30260762394676
210000,-51.62878697741736
220000,-32.894781790583146
230000,-48.56617963172333
240000,-60.05600356218747
250000,-207.0949055587818
260000,-45.70876192835426
270000,-195.7595857624306
280000,-40.33515463350215
290000,-36.197005835043996
300000,-34.55396281906127
310000,-225.02438789180044
320000,-73.13251234189453
330000,-34.52457938103235
340000,-49.8978390574983
350000,-35.71382346491282
360000,-37.11170353242965
370000,-68.25030418998597
380000,-245.42617695366977
390000,-71.27231286173696
400000,-47.33557903717478
410000,-33.2458500870015
420000,-36.90731896292061
430000,-47.11378236242709
440000,-53.69632561438075
450000,-51.33592761313949
460000,-35.19408537616124
470000,-65.75841313677
480000,-33.27055980129818
490000,-31.47532961201948
