step,run_0,run_1,run_2,run_3,run_4
2048,-0.0033473050832981,-0.0039342559073702,-0.0036936594478902,-0.0069107643226743,-0.00548880856949836
4096,-0.0045466227020369,-0.0048950975353363,-0.0059647163332556,-0.0083501152956159,-0.00502561685279943
6144,-0.0093243892537429,-0.0082491820852737,-0.0084737653509364,-0.0067283134369063,-0.006659114916692488
8192,-0.0104933551701833,-0.0110184008924989,-0.0104868740512756,-0.0092526704553165,-0.012100608709442896
10240,-0.012061216137954,-0.011802068594261,-0.0097451662302773,-0.0100894977775169,-0.014821275739814154
12288,-0.0096527539470116,-0.01160482220439,-0.0074141685050562,-0.0104466020231484,-0.009138493968930562
14336,-0.0167715754505479,-0.009843871317571,-0.0084973243807326,-0.010029998786922,-0.008432219630049077
16384,-0.0102190113408141,-0.0102314568473957,-0.0112832905433606,-0.0110114232607884,-0.00708644156329683
18432,-0.0137476812757086,-0.0085429873230168,-0.0059815446162247,-0.0103648165328195,-0.009280431321531068
20480,-0.0097308344236807,-0.0108110351240611,-0.0058681797338067,-0.0103614672349067,-0.007089815054496284
22528,-0.0127147234772564,-0.0087243792688241,-0.0049953897352679,-0.0118846325247432,-0.008265101989672985
24576,-0.0063246046520362,-0.0076514788364875,-0.0063448146131122,-0.0083834898789064,-0.008477835956728085
26624,-0.0103292004976538,-0.0084971987802418,-0.0073323085685842,-0.007213110653538,-0.01291833983414108
28672,-0.0049339590645104,-0.0117737068343558,-0.0081361956326873,-0.0100315274452441,-0.011297346447827294
30720,-0.0108727920203818,-0.0106976845694589,-0.0077367906276776,-0.0084874724205292,-0.008139124694571365
32768,-0.0100380306364968,-0.0138108183600706,-0.0091997633047867,-0.0108965628009173,-0.011078210876439698
34816,-0.0121128662023693,-0.0125809237739304,-0.0105695278718485,-0.0083422582189086,-0.009788868586474564
36864,-0.0107468668546061,-0.012426978242729,-0.010450603692152,-0.0067030762213107,-0.009629807517922018
38912,-0.0099284603347769,-0.0123952529167581,-0.0106376931267732,-0.0108708849991671,-0.009015298563463147
40960,-0.0116921972221462,-0.0142071104783099,-0.0148911584677989,-0.0106626429027528,-0.011234360271919286
43008,-0.0101946014314307,-0.0105107768402376,-0.0120099239240516,-0.0138709216887946,-0.009870304843934719
