step,run_0,run_1,run_2,run_3
2048,-2.8493455171585085,-2.848156173527241,-2.839027271047234,-2.8460914745926855
4096,-2.861146979033947,-2.855630982667208,-2.8419493082910776,-2.853399569168687
6144,-2.864703473821282,-2.862783271074295,-2.845986353978515,-2.851636420190334
8192,-2.856233101338148,-2.864820487424731,-2.8478220622986554,-2.8499653462320564
10240,-2.857580751553178,-2.866743464395404,-2.842168637737632,-2.8466544304043055
12288,-2.8721169028431177,-2.8607464354485272,-2.840029435604811,-2.8502591133117674
14336,-2.889908342063427,-2.855380850657821,-2.843866313621402,-2.8542418792843818
16384,-2.896503011137247,-2.8505152862519028,-2.8431559167802334,-2.847873391583562
18432,-2.898815160244703,-2.842983191460371,-2.846089392527938,-2.84126353636384
20480,-2.892941182106733,-2.844734333828092,-2.84140565879643,-2.833886932581663
22528,-2.8943768981844187,-2.8499490771442653,-2.841688747704029,-2.834192717447877
24576,-2.8960745334625244,-2.85852990411222,-2.8406730007380245,-2.824863727390766
26624,-2.885484593361616,-2.8638492051512,-2.8310169726610184,-2.820480773597956
28672,-2.8796529956161976,-2.856715327128768,-2.839385509863496,-2.813500814512372
30720,-2.89601237885654,-2.84629557877779,-2.844832408428192,-2.805675736814737
32768,-2.9084720190614464,-2.839081705734133,-2.8374932415783407,-2.80438617169857
34816,-2.906499834358692,-2.831576249748468,-2.836803007870913,-2.7985707588493822
36864,-2.899735301360488,-2.819286930188537,-2.830951024964452,-2.8005301859229803
38912,-2.898381458967924,-2.803281355649233,-2.8311152141541243,-2.800668754056096
40960,-2.903936006501317,-2.7883207187056542,-2.8305654216557743,-2.787494274973869
43008,-2.9117575313895943,-2.7683843079954387,-2.826549431309104,-2.777866816148162
45056,-2.915667670592666,-2.75097077190876,-2.8234107937663797,-2.7700527787208555
47104,-2.9056552059948446,-2.740618135780096,-2.8113323614001278,-2.765302211791277
49152,-2.8987936727702617,-2.7281249314546585,-2.787998566031456,-2.761047764122486
51200,-2.8999867610633374,-2.7154252629727127,-2.7687098238617183,-2.755072293803096
53248,-2.8985046703368424,-2.718932706490159,-2.753786582872272,-2.7415335275232793
55296,-2.88947131074965,-2.718652873113752,-2.740674766153097,-2.726093580201268
57344,-2.8901236046105625,-2.70911016985774,-2.731631042063236,-2.7154318682849405
59392,-2.8962102312594653,-2.6936827953904867,-2.720458770170808,-2.7105861470103263
61440,-2.8933339353650807,-2.676648562774062,-2.7037635274231437,-2.7065964218229057
