episode,run_0,run_1
0,-147.3763946400559,-54.1132767426744
1,-46.60865710631428,-99.1890470928737
2,-103.67828212443747,-199.07391628971908
3,-120.30841125284869,-102.85951693289226
4,-65.40544779496278,-70.84306794280018
5,-46.23867279296386,-172.7848056781787
6,-106.18530392491375,-80.12683016791209
7,-74.67788438797314,-112.26905880567213
8,-67.64028070195818,-99.10872323638219
9,-156.27528153517625,-161.36449132654246
10,-91.81433715361186,-51.188540822721635
11,-128.63346886589142,-81.32516409914112
12,-173.21790318394085,-67.90253389086905
13,-72.53053909414287,-126.62388688855368
14,-74.51557230324323,-74.96741988856351
15,-64.422397731981,-126.39708589954358
16,-52.13080233896842,-110.73112845462566
17,-49.37783815034384,-59.19660014435137
18,-131.40762758111714,-87.46785675772297
19,-113.38427298882269,-77.97906631995092
20,-50.22093708330985,-113.45912212272901
21,-79.79034354324,-115.8385231179941
22,-99.80959800612712,-227.08701178580174
23,-45.32318238073781,-135.66831905748364
24,-109.36512992952254,-79.2211806840181
25,-54.84992729570144,-182.81075332808572
26,-109.63460029715048,-46.1714748039009
27,-163.82550161760105,-54.14688909308861
28,-44.59709065279547,-82.23957553281895
29,-137.3915959511075,-132.19189441648092
30,-35.9004381199961,-79.93605439148487
31,-134.76930136394117,-63.89698397435379
32,-150.0672487761079,-128.49672347879664
33,-109.37274814819884,-153.95181555303074
34,-116.32976992304155,-87.12192221188994
35,-65.65274351910355,-137.78940583788653
36,-58.13652287393064,-76.44744869311799
37,-90.73218625884732,-69.89035003203958
38,-46.702642650232,-51.27341808732614
39,-176.92171832062584,-50.077728561382514
40,-122.85186425034502,-165.23264819799678
41,-85.73906831098294,-199.01826469987347
42,-81.42049788205415,-128.570258190388
43,-57.76175043941389,-69.81228472375957
44,-90.89237761549865,-48.740979348011976
45,-119.04321386713866,-103.11709829417808
46,-134.2752870264258,-83.67997780990899
47,-46.21301095834323,-86.11827665841096
48,-74.06000668352755,-80.6374669720428
49,-76.85807471137373,-60.60914719634103
50,-72.3443880673749,-214.96726433167703
51,-53.57832713022872,-63.16195075067025
52,-49.79164905863979,-49.38361601308253
53,-86.62194582948771,-47.32716328017696
54,-138.02567174219183,-64.09611475473902
55,-58.485454144801,-94.38015091359568
56,-146.95243235719164,-63.83259427946621
57,-77.93919559542772,-64.30281605607043
58,-138.32746131674745,-67.34552309210916
59,-91.63558406466882,-78.5842483037262
60,-94.15984368844066,-83.97335080354206
61,-122.81123241001517,-47.04558706968829
62,-46.73779253495586,-83.06715221789756
63,-49.12732398519916,-89.31121407093428
64,-74.91086660447343,-109.10043210206261
65,-89.4577661281815,-96.09130755470474
66,-124.2812949056772,-74.71542579974043
67,-82.86102668848574,-97.04910272724803
68,-84.67551200884084,-104.07462721764375
69,-74.92203554176803,-186.8198230712169
70,-71.87574634945503,-79.6673098052907
71,-43.88705084176187,-82.55530218344103
72,-77.47356788617793,-185.35574664301566
73,-76.62502684473657,-97.65542771101775
74,-97.5212702533536,-124.12373911778532
75,-77.67118307259456,-71.48285087713712
76,-50.60938023922149,-52.705904091773654
77,-115.6515323808641,-66.43929857044732
78,-45.92516468068423,-57.534053824650094
79,-102.2549309646175,-71.96740991935759
80,-81.24639553027106,-357.328916332291
81,-129.56765221946372,-80.60286160904359
82,-86.52407495148599,-86.89891617964193
83,-91.13369385813684,-90.39656295707493
84,-82.65410987444659,-54.8383251568838
85,-152.25313763124666,-81.9546938042437
86,-98.2367752812893,-75.83337852878462
87,-51.32504657988692,-77.31507662134752
88,-64.02637130885964,-97.9677227259422
89,-135.75212232331427,-112.31319442839262
90,-127.77103241205504,-83.88876235787261
91,-71.80673934878786,-81.92387287732603
92,-94.876774588617,-59.91992477635153
93,-48.63307066849747,-82.81521711610779
94,-81.76761755835459,-59.249736466934785
95,-111.87456815487089,-212.6225317618074
96,-76.24740086041783,-112.08426004872908
97,-81.791554290118,-54.44344307318757
98,-105.78470751443103,-89.38111512236162
99,-88.95854003360996,-81.37182278661041
