episode,run_0,run_1,run_2
0,-130.36483400198088,-176.40481184133495,-243.52380248172824
1,-125.5231138717584,-137.04845428124642,-116.2457424415982
2,-155.96043323671452,-205.55813998015984,-120.83575399831223
3,-137.24770522317175,-134.52925666809014,-127.70376562442232
4,-223.65683464050247,-157.78048200340527,-133.6389672489991
5,-162.3851364336525,-148.78600826105705,-120.76495869565588
6,-165.48705912651943,-122.44137750293396,-165.00930700524046
7,-131.9527087491998,-175.13566098197958,-127.36611392151445
8,-152.62945324674496,-238.41006894550637,-124.35880543919502
9,-194.06392718101,-151.25563802342143,-151.92195605347126
10,-118.8946385574157,-155.2880877789274,-124.28801234053593
11,-184.0195101964353,-176.1021381901803,-173.26871898039997
12,-196.34889333753688,-148.3582986411204,-139.22985755681316
13,-161.74412671719375,-140.9572755222453,-114.0672331884931
14,-183.90560658032825,-162.6726980740462,-122.38610508113078
15,-170.27592442713643,-117.90136341188406,-113.24051285522863
16,-158.59810085521252,-128.04275009638852,-168.03649484056905
17,-136.31772156320977,-155.5808669596289,-259.21295914827084
18,-137.19657392131512,-119.72381615951755,-120.70198337306303
19,-175.30945084158787,-191.18115775034696,-148.11931612141026
20,-123.78519964170609,-137.11120804890703,-141.2117018236919
21,-169.29864079613463,-184.85676608299505,-170.99122315560615
22,-200.65667330524468,-131.7576566624117,-144.93107781440423
23,-137.70598955186415,-130.08616987911483,-190.17692775990616
24,-137.42414874358255,-150.5835940990299,-120.41010747831442
25,-176.80475266237613,-161.08711535415566,-169.10096329506442
26,-140.68717615267775,-155.32739702618085,-183.94287056118804
27,-153.02934684868345,-169.46213030488377,-165.4974457165291
28,-144.04030617485233,-123.47997480024654,-204.58506712943327
29,-155.48277455489807,-133.72799969518303,-172.74072289086754
30,-127.15413987287664,-140.53899201340343,-121.33675203799405
31,-143.6040191721745,-122.86471274463948,-134.76784697459766
32,-168.85763031025436,-135.8320956676369,-131.42214900836282
33,-134.1357362254849,-289.37359157926835,-138.6588106702843
34,-124.323118609206,-228.30026567189256,-150.33381624964295
35,-175.8428781801574,-131.60168657941304,-164.65607570872697
36,-148.6929716786949,-143.6710243146146,-149.29927242673085
37,-159.112287608703,-219.76342586855796,-191.40416041189795
38,-217.1315132884401,-142.96558434832684,-185.6652175862453
39,-210.8774992461433,-151.61361289028918,-140.0356299404839
40,-168.434649952106,-165.20925183457496,-148.65388185714357
41,-146.54442400097793,-120.0283971252724,-122.65491102736098
42,-262.6409672534767,-131.03076980592604,-137.20883261820453
43,-130.06571548112152,-215.6666332611921,-158.29907670856863
44,-130.0630822412226,-184.8299570356799,-109.19074358892553
45,-126.10925388462373,-147.8979290185014,-275.92455533613554
46,-131.5845578809379,-249.62443772933156,-127.55161266679755
47,-157.36545719695255,-133.63207021919249,-200.4372389567252
48,-150.39909921495803,-121.66924743235164,-148.57238373037416
49,-137.39557627485388,-134.1123160207463,-262.4464961341066
50,-129.15234833303808,-139.16071039206938,-199.46146828935167
51,-147.484871709216,-146.96064999805213,-149.91293664154455
52,-167.61873805275886,-150.13511354221671,-136.84475497993952
53,-153.37204787124102,-151.72295674774713,-132.3947176979111
54,-180.4644813964416,-168.6283123944835,-213.4057504411303
55,-188.2065612305992,-135.6309872168711,-143.76253612983396
56,-208.14741069843728,-161.52570950569094,-142.20354064055914
