step,run_0,run_1,run_2
1024,-2.841620954871177,-2.8428768545389174,-2.8431633085012438
2048,-2.848720142245293,-2.8522750705480577,-2.8518257826566695
3072,-2.853578668832779,-2.8633604675531386,-2.8603809863328933
4096,-2.8619108974933622,-2.877137300372124,-2.870720610022545
5120,-2.874978667497635,-2.890561079978943,-2.8795447021722795
6144,-2.8862125098705294,-2.8988728314638137,-2.8879799872636793
7168,-2.892273339629173,-2.908442360162735,-2.8965178042650224
8192,-2.8984326839447023,-2.9171972423791885,-2.907371038198471
9216,-2.9055818527936936,-2.925810232758522,-2.9172717362642286
10240,-2.914160060882568,-2.9324194252491,-2.9244331538677217
11264,-2.9230263859033583,-2.9392874211072924,-2.9315619498491285
12288,-2.931493636965752,-2.94570606648922,-2.940625321865082
13312,-2.940966483950615,-2.9536012709140778,-2.950659987330437
14336,-2.9491843551397325,-2.9613160461187364,-2.958055576682091
15360,-2.956566071510315,-2.9724027633666994,-2.9652381986379623
16384,-2.9642023265361788,-2.9826439917087555,-2.972849389910698
17408,-2.970488429069519,-2.9936914443969727,-2.9829546838998793
18432,-2.9770126938819885,-3.0098441898822785,-2.992238703370094
19456,-2.986014783382416,-3.01628355383873,-3.000602039694786
20480,-2.9953402310609816,-3.023044499754905,-3.010597401857376
21504,-3.006589111685753,-3.032326313853264,-3.0210922420024873
22528,-3.0148682057857514,-3.0401571959257128,-3.0328154861927032
23552,-3.028279769420624,-3.047011145949364,-3.046483874320984
24576,-3.044913354516029,-3.051509660482407,-3.0545864790678023
25600,-3.0613019496202467,-3.05752979516983,-3.0638939648866654
26624,-3.074886831641197,-3.066866260766983,-3.071172168850899
27648,-3.095828804373741,-3.07485588490963,-3.0772386461496355
28672,-3.1074735283851624,-3.087192377448082,-3.084932467341423
29696,-3.112215352058411,-3.0981421023607254,-3.096010771393776
30720,-3.1179508358240127,-3.1116408467292787,-3.1080526411533356
31744,-3.1217459082603454,-3.114848977327347,-3.11557060778141
32768,-3.125047695636749,-3.116593772172928,-3.123261457681656
33792,-3.1292282909154894,-3.121380218863487,-3.134323611855507
34816,-3.135405105352402,-3.1263128578662878,-3.150353807210922
35840,-3.1470250308513643,-3.130056831240654,-3.1539819568395613
36864,-3.159603813290596,-3.134128656983376,-3.160815793275833
37888,-3.1820039063692094,-3.1390062391757967,-3.173679605126381
38912,-3.1959980219602584,-3.1449651926755906,-3.177497869729996
39936,-3.2033008247613908,-3.1560212135314942,-3.1792005747556686
40960,-3.210716971755028,-3.1731058835983275,-3.18457467854023
41984,-3.2192872673273087,-3.1875740021467207,-3.195450949668884
43008,-3.221040651202202,-3.202608624100685,-3.206085303425789
44032,-3.223598849773407,-3.2100843280553817,-3.2119669139385225
45056,-3.227953645586968,-3.219374743103981,-3.2270583301782607
46080,-3.2333182632923125,-3.234047457575798,-3.2413170635700226
47104,-3.2415466755628586,-3.2430654942989348,-3.2519571095705033
48128,-3.244031855463981,-3.255939617753029,-3.254141652584076
49152,-3.2464031636714936,-3.258018729090691,-3.258081552386284
50176,-3.2487649381160737,-3.260302755236625,-3.2617072761058807
51200,-3.251385119557381,-3.2645207166671755,-3.2651717931032183
52224,-3.263345152139664,-3.277772918343544,-3.2744605869054793
53248,-3.2787863463163376,-3.290531423687935,-3.286870127916336
54272,-3.287093549966812,-3.305122911930084,-3.3021158158779143
55296,-3.2977021664381025,-3.318045198917389,-3.3064910143613817
56320,-3.3073534816503525,-3.332935267686844,-3.3148314237594603
57344,-3.312071606516838,-3.3419984877109528,-3.3210682958364486
58368,-3.318667715787888,-3.3445845782756805,-3.3300235837697985
59392,-3.3201333820819854,-3.347152775526047,-3.335284113883972
60416,-3.321076974272728,-3.352169060707092,-3.337488916516304
61440,-3.322446924448013,-3.3549304097890853,-3.343263843655586
62464,-3.325758695602417,-3.3570075422525405,-3.358634826540947
63488,-3.3277355313301085,-3.359154325723648,-3.368081992864609
64512,-3.332386362552642,-3.364669716358185,-3.3697544932365417
65536,-3.33689925968647,-3.3741223484277727,-3.3731041491031646
66560,-3.347416678071022,-3.387431505322456,-3.3859510719776154
67584,-3.3564334899187087,-3.3989784330129624,-3.400203061103821
68608,-3.363830515742302,-3.404198867082596,-3.408742529153824
69632,-3.366165614128113,-3.4108911961317063,-3.412801945209503
70656,-3.3701251834630965,-3.422137913107872,-3.4213317215442656
71680,-3.3807510077953338,-3.430953931808472,-3.427414172887802
72704,-3.392442771792412,-3.433686926960945,-3.431320032477379
73728,-3.3953034460544584,-3.435329720377922,-3.4396012246608736
74752,-3.3973608672618867,-3.437824061512947,-3.445748472213745
75776,-3.400662064552307,-3.4443327248096467,-3.447299325466156
76800,-3.4059991538524628,-3.4541253805160523,-3.450812950730324
77824,-3.417983615398407,-3.4602064192295074,-3.456353497505188
78848,-3.4284495443105696,-3.4637073308229445,-3.462293118238449
79872,-3.434925252199173,-3.4726949334144592,-3.4712616860866548
80896,-3.438098081946373,-3.479531407356262,-3.475112271308899
81920,-3.447007751464844,-3.48456052839756,-3.476664569973946
82944,-3.4492033958435058,-3.4943508088588717,-3.479030817747116
83968,-3.453860932588577,-3.497510734200477,-3.4853540152311324
84992,-3.4614024728536608,-3.504758056998253,-3.4969265848398208
86016,-3.468130230903625,-3.5152844071388243,-3.5060097515583037
87040,-3.481614255905152,-3.521174475550652,-3.5149112403392793
88064,-3.490603920817376,-3.522369083762169,-3.519575574994087
89088,-3.493786436319352,-3.523823326826096,-3.5212934583425524
90112,-3.502886188030243,-3.525561046600342,-3.522153604030609
91136,-3.5117984443902968,-3.5295629024505617,-3.523606702685356
92160,-3.5145880341529847,-3.539065283536911,-3.525974065065384
93184,-3.516681787371636,-3.5474910527467727,-3.5288742035627365
94208,-3.5181358247995376,-3.556193467974663,-3.53503879904747
95232,-3.5213660150766373,-3.561766630411148,-3.5378093153238295
96256,-3.528135123848915,-3.5697007149457933,-3.5413873314857485
97280,-3.54334634244442,-3.5741823077201844,-3.54674254655838
98304,-3.555361899733543,-3.5800926744937898,-3.550466865301132
99328,-3.5659894347190857,-3.582467269897461,-3.5562225759029387
100352,-3.576235383749008,-3.587135225534439,-3.5617410361766817
101376,-3.586220994591713,-3.5879161208868027,-3.563253664970398
102400,-3.587456315755844,-3.58913996219635,-3.5647139340639113
103424,-3.589430424571037,-3.5914868861436844,-3.5669422894716263
104448,-3.591481977701187,-3.597988724708557,-3.5706074714660643
105472,-3.595117449760437,-3.604872491955757,-3.575868582725525
106496,-3.605769571661949,-3.616995730996132,-3.585418426990509
107520,-3.617590156197548,-3.6235222458839416,-3.588035750389099
108544,-3.626631718873978,-3.636699062585831,-3.5911899268627168
109568,-3.634950113296509,-3.650171646475792,-3.593823328614235
110592,-3.637663751840592,-3.660117506980896,-3.598318549990654
111616,-3.6404495358467104,-3.6628019958734512,-3.601396492123604
112640,-3.6473924100399016,-3.667615035176277,-3.604979282617569
113664,-3.6604130625724793,-3.6769867181777953,-3.6080357104539873
114688,-3.6710955291986473,-3.684092757105828,-3.610405281186104
115712,-3.676085159182549,-3.694009730219841,-3.615869802236557
116736,-3.680927729606629,-3.697979566454888,-3.626392224431038
117760,-3.692901915311813,-3.7048182398080822,-3.6282061874866485
118784,-3.701241829991341,-3.70693109035492,-3.633758154511452
119808,-3.7079482316970815,-3.7102748483419417,-3.646910673379898
120832,-3.711625900864601,-3.715240961313248,-3.653957936167717
121856,-3.7183863639831545,-3.722135838866234,-3.6623673737049103
122880,-3.720530873537064,-3.7313000828027727,-3.675475317239761
123904,-3.724808946251869,-3.7377972841262816,-3.6834424495697022
124928,-3.732588616013527,-3.749445742368698,-3.684948143362999
125952,-3.738435369729996,-3.7593396842479705,-3.687251937389374
126976,-3.7491878271102905,-3.761872097849846,-3.689528650045395
128000,-3.7626159727573394,-3.763676968216896,-3.6930184960365295
129024,-3.77016071677208,-3.765482246875763,-3.701406565308571
130048,-3.772421750426292,-3.771753925085068,-3.7111264914274216
131072,-3.775032088160515,-3.781524583697319,-3.7221277475357057
132096,-3.782010087370872,-3.789190456271172,-3.7336053222417833
133120,-3.789370340108872,-3.793812718987465,-3.740555799007416
134144,-3.7913522511720656,-3.801050558686256,-3.742383435368538
135168,-3.793824887275696,-3.808723962306976,-3.745639780163765
136192,-3.7979306846857073,-3.817099025845528,-3.751711818575859
137216,-3.8046474397182464,-3.822771671414375,-3.7587580263614653
138240,-3.805848038196564,-3.831410199403763,-3.7616415560245513
139264,-3.809435895085335,-3.8388059586286554,-3.766386479139328
140288,-3.816308298707008,-3.8530202329158794,-3.7759152859449387
141312,-3.82120451927185,-3.865720722079277,-3.7842827826738357
142336,-3.830184555053711,-3.875943472981453,-3.789266738295555
143360,-3.8355522364377976,-3.8836946815252302,-3.7913287580013275
144384,-3.844018852710724,-3.886713686585426,-3.7940657645463944
145408,-3.854056546092033,-3.8895897030830384,-3.797268804907799
146432,-3.861930134892464,-3.89280948638916,-3.802236607670784
147456,-3.8638116300106047,-3.897840017080307,-3.8095454663038253
148480,-3.868056765198708,-3.907725551724434,-3.8201988518238066
149504,-3.875188925862312,-3.919182258844376,-3.8359252601861953
150528,-3.876603680849075,-3.9285086691379543,-3.8465790539979934
151552,-3.8788871109485625,-3.931961798667908,-3.8514334708452225
152576,-3.883189654350281,-3.933573845028877,-3.861251014471054
153600,-3.891592928767204,-3.935617330670357,-3.870021331310272
154624,-3.899851432442665,-3.938498711585999,-3.874090412259102
155648,-3.903286436200142,-3.9442505806684496,-3.879588431119919
156672,-3.908346390724182,-3.956740763783455,-3.8818844676017763
157696,-3.9135544061660767,-3.9706777393817902,-3.8855164617300035
158720,-3.916606152057648,-3.980390372872352,-3.888644647598267
159744,-3.922635173797608,-3.987341922521592,-3.892061027884483
160768,-3.926212513446808,-3.992093905806541,-3.8995427221059797
161792,-3.932931119203568,-3.993763744831085,-3.907508534193039
162816,-3.942003783583641,-3.999731659889221,-3.913296711444855
163840,-3.948670417070389,-4.011993700265885,-3.91843444108963
164864,-3.957330089807511,-4.018767482042312,-3.92532656788826
165888,-3.959909412264824,-4.020290094614029,-3.9305536299943924
166912,-3.962662103772163,-4.0266491830348965,-3.93680080473423
167936,-3.9690495908260335,-4.035162162780762,-3.9397694051265715
168960,-3.979612001776695,-4.0396694302558895,-3.943706303834915
169984,-3.986520689725876,-4.045737844705582,-3.9537178844213487
171008,-3.991634565591812,-4.049779599905014,-3.9649645388126373
172032,-3.999678209424019,-4.0604257702827455,-3.9722910284996034
173056,-4.006156152486801,-4.069068175554276,-3.97567540705204
174080,-4.013634622097015,-4.072110831737518,-3.982959455251694
175104,-4.023421281576157,-4.07883306145668,-3.990518036484718
176128,-4.030590909719467,-4.085012543201446,-3.996494483947754
177152,-4.03924378156662,-4.087294548749924,-3.9993585377931593
178176,-4.042378586530686,-4.093167436122895,-4.003375428915024
179200,-4.0513525128364565,-4.104270607233048,-4.006617075204849
180224,-4.0569578289985655,-4.113685029745102,-4.010566204786301
181248,-4.059152299165726,-4.118638825416565,-4.015606772899628
182272,-4.065486752986908,-4.123801851272583,-4.025036108493805
183296,-4.077380585670471,-4.129007184505463,-4.029525166749954
184320,-4.086214816570282,-4.137747097015381,-4.036424088478088
185344,-4.090337067842484,-4.148674213886261,-4.047928273677826
186368,-4.095544517040253,-4.154832571744919,-4.058871328830719
187392,-4.097858184576035,-4.155613988637924,-4.068370151519775
188416,-4.101692312955857,-4.15632808804512,-4.074140578508377
189440,-4.112798458337784,-4.158679646253586,-4.081545054912567
190464,-4.122740668058396,-4.1670581042766575,-4.08697099685669
191488,-4.127765142917633,-4.176064264774323,-4.090060925483703
192512,-4.136829614639282,-4.18198139667511,-4.098755240440369
193536,-4.143294334411621,-4.193321371078492,-4.107209914922715
194560,-4.1460856139659885,-4.201401889324188,-4.112121647596359
195584,-4.152809286117554,-4.208995735645294,-4.121245467662812
196608,-4.16515485048294,-4.21759752035141,-4.130073976516724
197632,-4.17965047955513,-4.2242213666439055,-4.135770928859711
198656,-4.190136575698853,-4.226945567131042,-4.139176654815674
199680,-4.194528204202652,-4.231165874004364,-4.144952917098999
200704,-4.2016806423664095,-4.235974270105362,-4.153649961948394
201728,-4.208400982618332,-4.241258555650711,-4.156049209833145
202752,-4.210411053895951,-4.250154131650925,-4.16210646033287
203776,-4.212426632642746,-4.26160449385643,-4.1757746756076815
204800,-4.219720673561096,-4.269850033521652,-4.184614956378937
205824,-4.22970216870308,-4.273369711637497,-4.191004425287247
206848,-4.232738506793976,-4.278685534000397,-4.198390698432922
207872,-4.234143340587616,-4.287433642148971,-4.202454614639282
