step,run_0,run_1,run_2
4096,-2.8350879713892936,-2.838748963177204,-2.8360057309269906
8192,-2.832921281456948,-2.8378787890076635,-2.834660489857197
12288,-2.832532842457294,-2.835284462571144,-2.8323775202035906
16384,-2.8273375913500787,-2.8347587034106256,-2.829559934139252
20480,-2.823606961965561,-2.835405449569225,-2.8304040521383285
24576,-2.824549116194248,-2.837962308526039,-2.835187540948391
28672,-2.8260084688663483,-2.8361091673374177,-2.8395431131124496
32768,-2.828944194316864,-2.833546832203865,-2.84299593269825
36864,-2.8288309425115585,-2.8327554389834404,-2.844827617704868
40960,-2.830919033288956,-2.8334507390856745,-2.8465455055236815
45056,-2.8351453810930254,-2.833310844004154,-2.8454260542988776
49152,-2.839189811050892,-2.8327143877744674,-2.842658558487892
53248,-2.8478023231029512,-2.8316038638353347,-2.843710204958916
57344,-2.8575367495417594,-2.828404957056045,-2.846001650393009
61440,-2.863068261742592,-2.8280307948589325,-2.8483018234372137
65536,-2.866308684647083,-2.831085163354873,-2.8498972088098524
69632,-2.866591227054596,-2.832379196584225,-2.8549063697457315
73728,-2.873398795723915,-2.8281912177801134,-2.858203849196434
77824,-2.881244203448296,-2.8259515300393105,-2.8586546644568442
81920,-2.881291300058365,-2.82128761857748,-2.856535477936268
86016,-2.880538800358772,-2.8175674796104437,-2.8597586527466774
90112,-2.88418812006712,-2.814711111783981,-2.8636207610368727
94208,-2.894441974163056,-2.81376730799675,-2.865144082903862
98304,-2.897699899971485,-2.8171849265694617,-2.867937560379505
102400,-2.896187365055084,-2.816996429860592,-2.871334706246853
106496,-2.8931054517626764,-2.8132925614714623,-2.872334659099579
110592,-2.8902182206511497,-2.813346895575523,-2.8716864362359047
114688,-2.8911754742264746,-2.815578991174698,-2.871290868520737
118784,-2.8912622407078743,-2.8192439556121824,-2.8694534316658973
122880,-2.8901758909225466,-2.8201610863208773,-2.866646872460842
126976,-2.8882392212748527,-2.818015272915363,-2.869184562563896
131072,-2.8847076654434205,-2.8143762424588203,-2.8699760004878043
135168,-2.8828863739967345,-2.8090474933385847,-2.8674802795052527
139264,-2.883430777490139,-2.804607817530632,-2.8701579540967943
143360,-2.8821407958865164,-2.8026794895529745,-2.8676732793450355
147456,-2.8833374097943305,-2.8007995069026945,-2.8649628534913063
151552,-2.8859225630760195,-2.7993836805224417,-2.8634310021996496
155648,-2.88439647257328,-2.801217646896839,-2.861373396217823
159744,-2.8790681213140488,-2.8033856242895125,-2.8641157373785973
163840,-2.8762685120105744,-2.8011414796113967,-2.866957087814808
167936,-2.8749849513173102,-2.795742703974247,-2.866087681055069
172032,-2.872636926174164,-2.7903701975941657,-2.8640680447220803
176128,-2.867920917272568,-2.782615587115288,-2.8602717846632
180224,-2.861109617352485,-2.7774612322449683,-2.8567848801612854
184320,-2.8540516197681427,-2.77243065983057,-2.85523694306612
188416,-2.8490838542580605,-2.7659998536109924,-2.8520146384835243
192512,-2.8403131008148192,-2.7606335505843163,-2.8454834818840027
196608,-2.8289710849523546,-2.754199667274952,-2.8411731690168383
200704,-2.8197879672050474,-2.746983641386032,-2.837942849099636
204800,-2.81117949038744,-2.7389385983347894,-2.834365686774254
