episode,run_0,run_1,run_2
0,-54.02755656180253,-153.7691700536255,-82.55262390201267
1,-122.38688263255848,-89.16044194055061,-85.5477711146366
2,-149.16937820236845,-88.83644339716511,-80.20956222485147
3,-73.05716100869301,-82.22584257759763,-92.86431499404492
4,-137.05043490269196,-65.6031812308782,-91.99364895395789
5,-60.39656614233655,-271.5560496883683,-117.36259913561143
6,-50.15254977499613,-47.58265091990592,-44.62825395848948
7,-71.53478462919324,-74.23403340683271,-112.8937800907917
8,-81.890315754684,-120.6120682276892,-74.82428694083097
9,-145.2672275278187,-107.08133807888736,-123.24542161811911
10,-68.97483848037601,-47.42117594835637,-82.8444276178064
11,-81.86372866474821,-55.47412336078848,-48.67822546507722
12,-135.47386135935824,-228.3003511903206,-133.71586792488614
13,-84.5861108332725,-77.02177358962587,-75.68979581336372
14,-55.10477699880676,-127.70310991626016,-63.67513783538373
15,-162.42390933772123,-166.29853803385646,-45.18791401694204
16,-53.474792427709446,-72.71490812251103,-72.3572483106847
17,-81.75543860687806,-64.51203932338848,-131.81201004349307
18,-73.15170545123715,-152.67658437514842,-84.60112832282962
19,-222.01603233874133,-66.17275217420453,-69.7984450769247
20,-77.40306021721572,-111.3352691739104,-100.47066599941235
21,-142.84093244685167,-142.85048959646107,-46.0424911043843
22,-47.056603734624815,-57.61800144655187,-211.63199252910363
23,-121.38290461371814,-75.88064776853689,-75.63542938916405
24,-118.83611572190873,-48.18738094616085,-52.61782963332193
25,-219.23963546939265,-51.140312119133306,-75.02766723107818
26,-45.64820916516991,-70.17827540490569,-76.1030503365911
27,-75.3644491632705,-47.072619699186376,-166.0793944455871
28,-103.909888608741,-91.3249816776712,-111.52551994045066
29,-316.656884263571,-67.59236644992693,-172.08295673304943
30,-144.6405700074673,-62.40942560744389,-78.23447708616507
31,-121.78607122828431,-102.9333459590446,-50.29000241424933
32,-66.96636163797601,-46.28972599594604,-69.49672599687614
33,-70.12770659371891,-45.95698658173951,-82.12535654476622
34,-94.19538498788626,-70.95770979417257,-86.73405537481617
35,-54.52656740230297,-70.77918815295978,-72.7520986306099
36,-129.37281892630597,-145.54018812260037,-216.88261594498502
37,-83.49369089366974,-70.76657349785286,-110.78970226647877
38,-71.59061598090537,-105.5465044418942,-155.55847188286057
39,-113.56363015500534,-67.88644029383464,-48.57445419142039
40,-112.15888135073229,-89.45016995815024,-53.05629527703035
41,-91.16225964925798,-64.30442694050042,-65.6525074066891
42,-259.8673734286548,-250.31594207597752,-179.78217450600525
43,-45.19834254935759,-82.0842355252633,-58.749734408446955
44,-108.87973471145632,-83.44071046476675,-92.3470683836573
45,-205.6136504195095,-86.2610169634309,-96.12923130102553
46,-156.25006482536165,-75.73730516462591,-90.73558143607306
47,-149.91783959983815,-102.097987377751,-68.75975716809398
48,-88.99128964762866,-123.99906818155426,-109.73333995494484
49,-158.55983864375673,-62.86377197629544,-78.56850368014119
50,-164.30694721534903,-49.61445385067398,-87.12903987934726
51,-50.31552107590719,-85.28074482101577,-85.5564594017449
52,-99.57338746107348,-55.1379684106641,-91.0874935466093
53,-48.64197646000704,-173.83948714360463,-130.70808341794833
54,-128.22059273388385,-159.50035066096723,-120.15717383391996
55,-93.4878904757683,-88.37827654084253,-80.68780076589238
56,-117.46018784225652,-45.55746429180488,-77.5168711345409
57,-63.61076194312736,-57.47590916062408,-75.08955624860324
58,-117.39185598477648,-103.1596988008316,-131.7710089357612
59,-198.84684345261297,-178.3200289506263,-66.47174818555573
60,-72.46936266263286,-35.0629564668913,-146.1902080166946
61,-113.08288345256744,-288.6916955402691,-112.98750961023046
62,-45.50182163901576,-34.135830617132015,-100.7979311811505
63,-67.92898244371514,-124.38594498447183,-85.01732686046552
64,-158.73254727566652,-81.59592275240216,-90.9991831971185
65,-78.53245788881013,-91.2042545434293,-53.78206028006623
66,-61.05396681945172,-69.57532817157526,-66.47134831362702
67,-91.30790997102864,-64.99121742971153,-188.51222468126153
68,-93.24099984680456,-68.02596711075935,-66.4654259868291
69,-193.8540424250304,-27.45950789217353,-83.39648801016483
70,-86.35277768016631,-85.64407761329645,-89.87590836618861
71,-328.1735642741682,-155.5023460739082,-78.11714824743414
72,-133.94306947381486,-141.0802190769273,-100.75125587279851
73,-80.11944188688025,-118.9688699212068,-109.40696276984546
74,-288.0235509858019,-104.80962560306644,-67.42340450803815
75,-159.5860273641853,-119.16842783459413,-78.16907674944221
76,-114.07004989594571,-68.95514853950748,-86.73645686849402
77,-273.26222059633454,-149.23409572688507,-119.0538401274525
78,-204.62987112467653,-69.22733965790519,-81.50229488539217
79,-77.3280938743089,-66.92867573589713,-45.42189687371884
80,-333.35780609442384,-97.74326860855716,-78.15883643609318
81,-332.6658287528078,-133.01389471291594,-75.22036476136287
82,-198.2595974966933,-74.50914087156853,-52.85880776350969
83,-239.8319768106336,-138.06074084998815,-65.93870952922454
84,-125.83891975315544,-83.92070897674039,-72.24793474598707
85,-89.14051488584985,-85.93280432056395,-101.8274540408652
86,-106.3658449283183,-144.92940873643437,-84.6966902375441
87,-346.26524568454465,-238.9650714201362,-112.24370435835715
88,-95.00380340933046,-74.58463244966462,-48.733463984681094
89,-106.929365830525,-140.31201007858317,-100.9517012174956
90,-193.7450752671284,-73.18027467133835,-56.35759209702148
91,-145.50535761859652,-161.66485987151484,-77.68357141455206
92,-149.58317295208144,-98.68543836765753,-67.00747350461712
93,-61.31238383957164,-313.96252442917967,-152.28395534168294
94,-145.80153132578178,-307.4610865188091,-51.53711102542034
95,-216.93169465745223,-268.4643679930969,-103.54294083279802
96,-154.7748489235758,-79.25322735774233,-46.57959336804451
97,-288.0885206120228,-305.13599707584484,-167.5769776005642
98,-49.087394297781145,-146.7175354006469,-88.5121226712859
99,-48.30917764488802,-78.68412486706285,-172.6143778721405
100,-184.94193647580803,-97.7281315966126,-120.25375331453523
101,-218.10984342121665,-327.41204801172086,-50.370004585252225
102,-248.41822167571195,-66.93057053087904,-43.609393173047096
103,-34.997166708356744,-79.76207628764082,-67.25107165837031
104,-113.34332874075426,-198.57443471541453,-101.14292108238044
105,-175.33568978204653,-64.05308785116853,-58.67573426279583
106,-140.8395520233164,-90.36842505132874,-52.20308408629742
107,-90.1498000102546,-310.76916374005947,-69.20776949938019
108,-105.64097888376028,-45.340271695802045,-114.4792742421811
109,-281.0458484958236,-246.96536176640623,-74.86438948308447
110,-187.9823404657132,-306.5402790473259,-92.57040833452137
111,-223.61669267943,-337.57062444305205,-131.39443883681236
112,-58.74126993432402,-79.00883113754168,-81.57808213252062
113,-71.8403841822486,-119.80142286448104,-167.65038149482916
114,-126.77408332007504,-69.9569793015247,-141.56316060629638
115,-113.5445323681662,-51.09132705360792,-367.746388694201
116,-287.2060784110091,-55.80627750158836,-104.70712909881071
117,-221.90687969420804,-72.00692754809853,-111.99852606809003
118,-86.49125231689013,-217.3134847823867,-133.87166068299604
119,-69.11997557168623,-297.3032337599589,-75.57134096027957
120,-129.20004820232467,-68.26596611359898,-82.2767334589954
121,-222.76346737601813,-245.0910865571961,-66.13351410441096
122,-194.3913298216076,-66.39117624421452,-341.05614219568815
