step,run_0,run_1
1024,-2.860982692241669,-2.8496159106492995
2048,-2.8919675081968306,-2.869305467605591
3072,-2.926910984516144,-2.899703124165535
4096,-2.969470165669918,-2.938342164456844
5120,-3.0123975545167925,-2.9749865904450417
6144,-3.060699862241745,-3.012306401133537
7168,-3.0964228957891464,-3.0544923424720762
8192,-3.130834271013737,-3.108014826476574
9216,-3.16612439006567,-3.1592187568545342
10240,-3.217841510474682,-3.2115621730685233
11264,-3.2721005484461783,-3.263968087732792
12288,-3.3023817360401155,-3.3009805127978327
13312,-3.349039709568024,-3.338355129957199
14336,-3.3961058422923087,-3.396963022649288
15360,-3.430219253897667,-3.444782865047455
16384,-3.466541297733784,-3.482658161222935
17408,-3.508660396933556,-3.5220471277832983
18432,-3.5557376772165297,-3.565415333211422
19456,-3.595345212519169,-3.6115427017211914
20480,-3.638320198655129,-3.6526569798588753
21504,-3.68299113214016,-3.6827141985297205
22528,-3.73144915252924,-3.712174580991268
23552,-3.791886052489281,-3.7459368765354157
24576,-3.8460982128977776,-3.7784593150019647
25600,-3.891955640912056,-3.8153857782483103
26624,-3.92130509018898,-3.865338149666786
27648,-3.951067547500133,-3.9091417998075486
28672,-4.002705103158951,-3.9447617292404176
29696,-4.061767148971557,-3.990384986996651
30720,-4.113557490706444,-4.044721901416779
31744,-4.153555968403817,-4.07329568862915
32768,-4.192460006475448,-4.099528881907463
33792,-4.240661150217056,-4.147716018557548
34816,-4.283753114938736,-4.2013198912143705
35840,-4.319132977724076,-4.235072460770607
36864,-4.339736184477806,-4.268137922883033
37888,-4.360194435715675,-4.298364841938019
38912,-4.382547801733017,-4.333276996016503
39936,-4.400650000572204,-4.365467953681946
40960,-4.424733519554138,-4.401747572422027
41984,-4.455063119530678,-4.438847753405571
43008,-4.478980395197868,-4.465072572231293
44032,-4.494394639134407,-4.493571099638939
45056,-4.508395874500275,-4.527241152524948
46080,-4.5277485877275465,-4.55494000017643
47104,-4.54943425655365,-4.5814339250326155
48128,-4.571857076883316,-4.616314694285393
49152,-4.602814000844956,-4.649492767453194
50176,-4.623229011893272,-4.668821191787719
51200,-4.644331610202789,-4.685516181588173
52224,-4.672207987308502,-4.715972977876663
53248,-4.697992300987243,-4.747800183296204
54272,-4.735449594259262,-4.7745191037654875
55296,-4.764768406748772,-4.790787655115127
56320,-4.789158645272255,-4.808081024885178
57344,-4.822984826564789,-4.8384063869714735
58368,-4.858035439252854,-4.87418657541275
59392,-4.894785538315773,-4.89794907271862
60416,-4.931023344397545,-4.927404820919037
61440,-4.959420973062516,-4.976845294237137
62464,-5.00150354206562,-5.020754483342171
63488,-5.043042907118798,-5.05400085747242
64512,-5.08264978826046,-5.079583439230919
65536,-5.122580203413963,-5.116170719265938
66560,-5.177186405658722,-5.142185610532761
67584,-5.228905978798866,-5.163899183273315
68608,-5.25747509598732,-5.193304228782654
69632,-5.276451417803765,-5.223248329758644
70656,-5.303353196382522,-5.257802599668503
71680,-5.333544927835464,-5.2920472651720045
72704,-5.364254868030548,-5.3248777210712435
73728,-5.390888872742653,-5.361336761713028
74752,-5.419072133302689,-5.403380012512207
75776,-5.441219538450241,-5.432303562760353
76800,-5.4661592781543735,-5.457516404986381
77824,-5.4946171879768375,-5.501133352518082
78848,-5.527240768074989,-5.542048859596252
79872,-5.577891686558724,-5.58466362953186
80896,-5.625552254915237,-5.6280034452676775
81920,-5.658809113502502,-5.669488409161568
82944,-5.687335485219956,-5.703037902712822
83968,-5.713959211111069,-5.736099725961685
84992,-5.755058252811432,-5.76926973760128
86016,-5.801946783065796,-5.80288750231266
87040,-5.8299624979496,-5.823605373501778
88064,-5.862963673472405,-5.856668287515641
89088,-5.890173208713532,-5.8894387692213055
90112,-5.916290187835694,-5.911546862125396
91136,-5.95450824201107,-5.931404009461403
92160,-5.982763963937759,-5.961130699515342
93184,-6.0241374433040615,-5.996959936618805
94208,-6.056590560078621,-6.033129462599755
95232,-6.096018782258033,-6.079284009337425
96256,-6.151482498645782,-6.132981640100479
97280,-6.189931231737137,-6.176408129930496
98304,-6.2159157454967495,-6.206857043504715
99328,-6.243600055575371,-6.240734720230103
100352,-6.276223829388618,-6.274728927016258
101376,-6.312567356228828,-6.308446669578553
102400,-6.347246810793877,-6.338180395960808
103424,-6.374198350310325,-6.367967453598976
104448,-6.413223376870155,-6.397930011153221
105472,-6.456317618489265,-6.427887070178985
106496,-6.489966714382172,-6.458984777331352
