episode,run_0,run_1
0,-113.29489545728184,-134.96444882079186
1,-78.08483592318532,-119.29190949762067
2,-98.28874348171902,-76.54591584771111
3,-60.32780479078633,-49.97654923066563
4,-96.0973926342157,-47.4855690780015
5,-55.774139991426296,-55.34570788847114
6,-89.68678738293283,-114.64448107417607
7,-99.5980336674342,-84.04420646494746
8,-112.25987279062052,-149.7755165246785
9,-103.0946811831129,-53.01004795807085
10,-68.6057782169422,-80.37284329526412
11,-85.59544279991042,-102.66749421191813
12,-101.31269821326474,-54.29067834425388
13,-130.32142344294232,-72.91615875051292
14,-123.04810456473145,-143.94264757716223
15,-86.97983477284762,-80.33989490214813
16,-114.06234527994526,-72.31975751525331
17,-155.10131344396308,-71.76183498555964
18,-134.6056141178231,-70.91767816457205
19,-82.68591745236681,-81.5387163489716
20,-211.2346005490291,-87.37637025359481
21,-104.28928563863312,-84.85501066730143
22,-57.39846521723612,-89.01129778955953
23,-106.71343993081668,-80.97073346694975
24,-50.34032912658361,-78.71331034351843
25,-49.19229107547045,-97.75465431743194
26,-80.77637922743263,-51.263952020575694
27,-184.92456218283303,-212.9066728653997
28,-47.55169774928618,-78.2273974048756
29,-74.45497616231714,-84.23487820315755
30,-65.3972199978223,-109.4205900629781
31,-65.51038349323768,-124.29422132780627
32,-166.5138887574438,-81.56220284554286
33,-46.565998685270245,-139.9428871445591
34,-49.117403685622506,-97.63690679220457
35,-46.25712818581484,-50.2311408879973
36,-94.29057411044712,-73.0075394189312
37,-91.82094190004516,-108.47421640171186
38,-52.997288876977166,-82.1035601694906
39,-53.75872962536085,-54.67710454689681
40,-79.9335688861504,-71.63199828390793
41,-129.42972267456133,-118.31222909041512
42,-72.3509486694999,-136.37781889308184
43,-136.40386103731424,-75.84368224292913
44,-72.67952799162963,-140.68305294225246
45,-197.36461949493145,-75.96046709529676
46,-79.47703713803259,-167.05094120946342
47,-121.82828340705052,-75.01809870786626
48,-73.78813653726202,-127.27345585390353
49,-89.6239130589702,-79.03818093774993
50,-122.34637065302203,-87.95786071854226
51,-96.06087882914292,-45.955047924827014
52,-170.7561475730846,-184.22394182895803
53,-87.71810149623253,-48.30523070560651
54,-75.13360015925196,-90.66882248035861
55,-97.24081897753544,-52.276806247021526
56,-80.22547960293093,-136.24089916391043
57,-78.17138629725858,-65.52078035781105
58,-69.81987752981728,-128.39146265227834
59,-47.25154854929235,-76.3351487148222
60,-66.17690742361556,-99.57539215451939
61,-48.6731471110613,-114.56084262399615
62,-65.56734595591792,-68.26609279153587
63,-152.54109528641987,-87.35026685546273
64,-78.11319987552278,-140.51225993781938
65,-76.56546474740665,-177.96676630729775
66,-114.63086778310434,-45.96393603044843
67,-74.39835116277611,-107.37276317347059
68,-73.38265873199677,-82.57736996185443
69,-105.70827609443836,-99.81042025821918
70,-123.90694517933292,-106.48606160066514
71,-98.07358276267574,-69.90712478109779
72,-85.67314973791063,-76.25354382385758
73,-55.69839103995369,-98.47515729647318
74,-104.69862327632768,-78.35347355481113
75,-133.0868706236373,-103.4889186650759
76,-107.14137979384756,-125.1089486888619
77,-129.57457644949892,-114.05197987620657
78,-85.98180936677569,-92.64295275116456
79,-65.11220265679174,-48.871228719280765
80,-78.60631105136034,-113.42410603567012
81,-77.85010247631838,-59.22366934282073
82,-98.45237549020116,-99.17990806284232
83,-81.69367769818486,-88.64341468459097
84,-66.52550454496465,-103.48677509494269
85,-58.60751662519667,-91.7669980052276
86,-49.26285350195863,-46.05817731593463
87,-88.04362020287147,-117.60837566210165
88,-201.5547059379136,-111.2110964697597
89,-196.79922681561467,-69.78719849412235
90,-75.71817444393608,-214.36405256059157
91,-96.49482466971358,-82.42486192258787
92,-74.21823969270136,-51.955491343916606
93,-185.988609654495,-45.19195465519147
94,-46.10292276019498,-75.79750447068261
95,-82.13256590299505,-69.68513417743267
96,-102.8865165048869,-138.9152745220478
97,-100.27415067511156,-78.90907001652658
98,-69.05808629314882,-129.0187657058768
99,-85.93370148809305,-115.05271612458186
100,-130.3880447123003,-51.594818169691806
101,-81.7804120067299,-69.77649049163281
102,-192.2799058346776,-99.1691801458297
103,-98.0978933614464,-81.0305710045355
104,-96.840772075459,-60.737322073155596
105,-76.81942250791454,-107.8655877484262
106,-134.07944116335017,-144.18506252658318
107,-73.7671744166877,-78.49611729841777
108,-72.89870596201318,-90.71678336635438
109,-59.106695743433605,-70.64707604757507
110,-95.41401922774762,-93.41117967149474
111,-144.31938478065615,-82.48283245011201
112,-45.39744094861,-69.33180450973367
113,-236.64628631122108,-93.95475941055024
114,-53.65712835447532,-89.22454331121526
115,-198.2785964402254,-132.16722349849096
116,-67.23437493964053,-96.72640844282276
117,-110.97862068891553,-53.980100948368964
118,-82.97042758368158,-100.65905272494166
119,-66.13479934815703,-72.902389261011
120,-89.83277732352681,-75.21230305987419
121,-87.7295308343854,-82.44081793974394
122,-158.3651706973219,-119.46896890846031
123,-51.15282191515894,-61.475073544543555
124,-86.62810782211506,-118.09636551936761
125,-61.171481603613024,-91.42475581132405
126,-69.33112281730178,-45.39031261982596
127,-122.47684935938533,-102.02360691624457
128,-55.75104207636885,-44.337981087478624
129,-68.92042697728868,-75.68579001647686
130,-87.30848867525044,-126.57038500944915
131,-68.0541534557379,-109.04963748737364
132,-62.79805025066979,-82.68865080270378
133,-50.17338374473624,-117.01171944895178
134,-80.72280334664677,-64.93865177389677
135,-99.5400733474963,-92.94870782771613
136,-66.58570588979904,-102.31810277539554
