step,run_0
4096,-2.823212382942438
8192,-2.8323885964229705
12288,-2.804716852493584
16384,-2.7951639061793685
20480,-2.8059406362473966
24576,-2.787666608765721
28672,-2.797741994820535
32768,-2.8034538445994257
36864,-2.833853521756828
40960,-2.861008550412953
45056,-2.851063719019294
49152,-2.888948079198599
53248,-2.900440602749586
57344,-2.903765191324055
61440,-2.9044380810111763
65536,-2.8653670068830253
69632,-2.8769416416063907
73728,-2.8530162552371623
77824,-2.8157945407554505
81920,-2.7873324897140264
86016,-2.769756140932441
90112,-2.754602393694222
94208,-2.7613976011052728
98304,-2.7434016905725
102400,-2.717747459560633
106496,-2.712618297711015
110592,-2.7096853107213974
114688,-2.764019458368421
118784,-2.7411348382011056
122880,-2.7431939486414194
126976,-2.7370145423337817
131072,-2.71416198592633
135168,-2.6960107170045378
139264,-2.696862940117717
143360,-2.6940098460763693
147456,-2.6763288877904414
151552,-2.6951633332297207
155648,-2.6615941397845746
159744,-2.6547042805701495
163840,-2.6591896533966066
167936,-2.621300263144076
172032,-2.6211722960695623
176128,-2.629036263935268
180224,-2.6109046632424
184320,-2.5773733204230664
188416,-2.5653082452714444
192512,-2.5618394983932378
196608,-2.5897194819524882
200704,-2.578255716897547
204800,-2.5656507808715103
