step,run_0,run_1,run_2,run_3
2048,-0.0033473050832981,-0.0040857187530491,-0.0057304648478748,-0.006264725619985256
4096,-0.0044851143713458,-0.0058680120375356,-0.0060320245407638,-0.007675593292515259
6144,-0.0094853333124774,-0.0077700339126749,-0.0085847974827629,-0.008913154063338879
8192,-0.009028012464114,-0.0107048476333147,-0.0099172220099717,-0.012507767186616548
10240,-0.0093809516780311,-0.0066316304320935,-0.0095301825829665,-0.013178974136826583
12288,-0.0086487255874089,-0.0101608307755668,-0.0108017041144194,-0.01156935854087351
14336,-0.0083186122574261,-0.0094777701990096,-0.0101437663819524,-0.010443481149559375
16384,-0.0121833436867746,-0.007382580594276,-0.0121435041204676,-0.009819150618568528
18432,-0.0137796793278539,-0.0086504721912206,-0.0137072539320797,-0.007164299205032876
20480,-0.0131922374595887,-0.0108852197256055,-0.00964476447989,-0.00796369643212529
22528,-0.0121166511133196,-0.0083987690479261,-0.0127644704836711,-0.007425262893957551
24576,-0.0154246820675325,-0.0089975079652504,-0.0079264268279075,-0.013170248962705956
26624,-0.0137264291755855,-0.0095490752151818,-0.0123516340128844,-0.012421055155573412
28672,-0.0088224122562678,-0.0094378913912805,-0.0112046845300938,-0.009628413617610932
30720,-0.0123642567254137,-0.0086972453536873,-0.0110274912112799,-0.011374800834164488
32768,-0.0105486196596757,-0.0123708631057525,-0.0124375616826,-0.006375531757657882
34816,-0.0114410318914451,-0.0122196765776607,-0.0092070311467978,-0.011833177311200416
36864,-0.0133372823976969,-0.0102557024030829,-0.008858622709522,-0.008704132049751933
38912,-0.0124147800001082,-0.0105403348228719,-0.012153567324276,-0.007215513839037157
40960,-0.0085204360693751,-0.0145822663820581,-0.0097872973652556,-0.01062288087705383
43008,-0.0081982332034385,-0.0133273239829577,-0.0095910075819119,-0.010337946111394557
45056,-0.0086607720717438,-0.0104265638838114,-0.0116858949615561,-0.01021477034300915
47104,-0.0122775669355178,-0.0105020643226453,-0.0086828029190655,-0.009210758372501005
49152,-0.0131853554412373,-0.0107181606828817,-0.007006845063006,-0.009228612157312455
51200,-0.0108450924322824,-0.0061507678285124,-0.0109932507795747,-0.010270519183541183
53248,-0.0080907506191579,-0.0093098954355809,-0.0113398097702884,-0.013870245973521378
55296,-0.0123346215579658,-0.0076180842217581,-0.01188488011976,-0.011180964866798603
57344,-0.0078385236425674,-0.0070108022700878,-0.0100165241470676,-0.008849081529479007
59392,-0.0095372920593945,-0.0096040330754476,-0.0104811361743486,-0.01237229830439901
61440,-0.0077339632829534,-0.0097170834167627,-0.0090935854357667,-0.01039024074052577
63488,-0.0099813070162781,-0.0093956675380468,-0.0106186557226465,-0.010624383400136139
65536,-0.0087708560677128,-0.0057729329128051,-0.0095518205518601,-0.008115204193745739
67584,-0.0114989222434815,-0.0078104304724547,-0.0109138623287435,-0.011738986092677806
69632,-0.0102288906666217,-0.0083557384088635,-0.0094666555902222,-0.009657568589318544
71680,-0.0102635544913937,-0.0084309481739182,-0.0101657038758276,-0.007420452186488546
73728,-0.0095751246539293,-0.0069831722386879,-0.0093507560362922,-0.008772762458102079
75776,-0.0085195159001159,-0.0088126271977671,-0.0101371498676599,-0.009974678587605012
77824,-0.0064548373928118,-0.0065664120746077,-0.0083897545548097,-0.010353885636141058
79872,-0.0064745395211502,-0.0086982806984451,-0.0065438471792731,-0.009695422221557237
81920,-0.0076875919199665,-0.0067365943148615,-0.0082203760226548,-0.009535730622883421
83968,-0.0106282445085525,-0.0061437880358425,-0.0099501107994001,-0.01164374504442094
86016,-0.008224988287111,-0.0071326284960377,-0.0097864032664801,-0.008343119520577601
88064,-0.0077600082498975,-0.0102240442669426,-0.0116242114709166,-0.008269559172913433
90112,-0.007663490800769,-0.0062415302265435,-0.0076438654956291,-0.009847232959873508
92160,-0.0081100008974317,-0.0067402631451841,-0.0103179884317796,-0.008300018254522002
94208,-0.0070919626639806,-0.0068689258478116,-0.009626075925189,-0.007527208818646614
96256,-0.0094976655571372,-0.005594862208818,-0.0083866182627389,-0.007648001742199995
98304,-0.0100520799067453,-0.0084523076875484,-0.0081873834518773,-0.008475116116460412
100352,-0.0080652043310692,-0.0036319896513305,-0.0083373335808573,-0.007255159199121408
102400,-0.0084918062508222,-0.0079611608613049,-0.0090035408895346,-0.009911997961171436
104448,-0.0060777251826948,-0.0100402351425145,-0.0072284259760635,-0.008380483395012562
106496,-0.0078217489848611,-0.0059534147658268,-0.0055718374547723,-0.004933978672488593
108544,-0.0068860069528454,-0.0066073465248337,-0.0064372049186204,-0.007156071107601747
110592,-0.0058041824231622,-0.0062214616307755,-0.0064234266821586,-0.008475464329239912
112640,-0.0075688538869144,-0.0063401700273971,-0.0074777869915124,-0.006825364321412053
