step,run_0,run_1,run_2,run_3,run_4
10000,True,True,True,True,True
20000,False,True,True,True,True
30000,True,True,True,True,True
40000,True,True,False,False,True
50000,True,True,True,True,True
60000,True,True,False,False,True
70000,True,True,True,True,True
80000,True,True,True,True,True
90000,True,True,True,True,True
100000,True,True,True,True,True
110000,True,True,True,True,True
120000,True,False,True,False,True
130000,True,True,True,True,True
140000,True,True,True,True,True
150000,True,True,True,True,True
160000,True,True,True,False,True
170000,True,True,False,True,True
180000,True,True,True,True,True
190000,True,True,True,True,True
200000,True,True,True,True,True
210000,True,True,True,True,True
220000,True,True,True,True,True
230000,True,True,True,False,True
240000,True,True,True,True,True
250000,False,True,True,True,True
260000,True,True,True,False,True
270000,False,True,True,True,True
280000,True,True,True,True,True
290000,True,True,True,True,True
300000,True,True,True,True,True
310000,False,True,True,False,True
320000,True,True,False,True,True
330000,True,True,True,True,True
340000,True,True,True,True,True
350000,True,True,False,True,True
360000,True,True,True,True,True
370000,True,True,True,True,True
380000,False,True,True,True,True
390000,True,True,True,True,True
400000,True,True,True,True,True
410000,True,True,True,True,True
420000,True,True,True,True,True
430000,True,True,True,True,True
440000,True,True,True,True,True
450000,True,True,False,True,True
460000,True,True,True,True,True
470000,True,True,True,True,True
480000,True,True,True,True,True
490000,True,True,True,True,True
500000,True,True,True,True,True
510000,True,True,True,True,True
520000,True,True,True,True,True
530000,True,True,True,True,True
540000,True,True,False,True,True
550000,True,True,False,True,True
560000,True,True,False,False,True
570000,True,True,False,True,False
580000,True,True,False,True,True
590000,False,True,True,False,True
600000,True,True,False,False,False
610000,False,False,False,False,False
620000,True,False,False,False,False
630000,False,False,True,False,False
640000,True,False,False,False,False
650000,True,False,False,True,True
660000,False,True,False,False,False
670000,False,True,False,True,False
680000,False,False,False,False,False
690000,False,False,False,False,True
700000,False,False,False,False,False
710000,False,False,True,False,False
720000,True,False,False,True,False
730000,True,False,False,False,False
740000,False,False,False,False,False
750000,False,False,False,False,True
760000,False,False,False,False,True
770000,False,False,True,True,False
780000,False,False,False,False,False
790000,False,False,False,False,False
800000,False,False,False,False,False
810000,False,False,False,False,False
820000,True,False,False,False,False
830000,True,False,False,False,False
840000,True,False,False,False,False
850000,True,False,False,False,False
860000,False,False,False,False,False
870000,False,False,False,False,False
880000,False,False,False,False,True
890000,True,False,False,False,True
900000,True,False,True,False,False
910000,False,False,False,False,False
920000,True,False,False,True,False
930000,False,False,False,True,False
940000,True,False,False,True,False
950000,False,False,False,True,False
960000,False,False,False,False,False
970000,False,False,False,False,False
980000,False,False,False,False,False
990000,False,False,False,True,False
1000000,False,False,False,False,False
1010000,False,False,True,True,False
1020000,True,True,False,False,True
1030000,True,False,True,True,True
1040000,True,True,False,False,True
1050000,True,False,True,True,True
1060000,True,False,False,False,False
1070000,True,False,True,False,True
1080000,True,False,False,True,True
1090000,False,False,False,False,True
1100000,True,False,True,False,False
1110000,True,False,False,False,True
1120000,False,False,True,True,True
1130000,True,False,False,True,False
1140000,True,False,False,False,False
1150000,True,False,False,False,False
1160000,True,False,False,True,True
1170000,False,False,True,False,False
1180000,True,False,False,True,True
1190000,True,False,True,False,False
1200000,False,False,True,False,True
1210000,False,True,True,False,False
1220000,True,False,True,False,True
1230000,True,False,True,False,False
1240000,True,False,False,True,False
1250000,True,False,False,True,False
1260000,False,False,True,True,True
1270000,True,False,False,True,False
1280000,True,False,False,True,False
1290000,False,True,False,True,False
1300000,True,True,False,True,True
1310000,True,False,True,True,True
1320000,True,False,True,False,False
1330000,False,True,False,False,True
1340000,False,False,False,True,False
1350000,True,False,True,True,False
1360000,True,False,True,True,False
1370000,True,False,False,True,False
1380000,False,False,True,True,False
1390000,True,False,False,True,False
1400000,False,False,False,False,False
1410000,True,False,False,True,False
1420000,False,False,True,True,False
1430000,True,False,True,True,True
1440000,False,True,True,True,False
1450000,True,False,False,True,True
1460000,True,False,False,False,False
1470000,True,True,False,False,True
1480000,False,False,True,False,True
1490000,True,False,False,True,False
1500000,False,False,False,False,True
1510000,True,True,False,False,True
1520000,False,False,True,False,True
1530000,True,False,True,True,False
1540000,True,True,False,False,True
1550000,True,False,False,True,False
1560000,True,True,True,True,False
1570000,False,True,False,False,True
1580000,True,True,True,False,False
1590000,False,False,False,False,True
1600000,True,False,False,True,False
1610000,True,False,False,False,True
1620000,False,False,True,False,True
1630000,True,False,False,True,True
1640000,False,True,True,False,False
1650000,True,False,True,False,False
1660000,False,True,False,True,False
1670000,True,True,True,True,False
1680000,True,False,False,True,True
1690000,False,False,False,False,False
1700000,True,False,False,True,False
1710000,True,False,False,True,False
1720000,False,False,False,False,False
1730000,True,False,True,True,True
1740000,True,False,True,True,False
1750000,False,True,False,False,False
1760000,True,False,True,True,False
1770000,True,True,False,False,False
1780000,False,False,False,True,False
1790000,True,True,False,True,True
1800000,True,False,True,True,False
1810000,True,False,True,False,False
1820000,False,False,True,True,False
1830000,False,False,True,True,False
1840000,True,False,False,False,False
1850000,True,True,False,True,True
1860000,False,False,False,True,False
1870000,False,False,False,False,False
1880000,False,False,False,False,True
1890000,False,False,False,True,False
1900000,False,False,True,True,False
1910000,True,False,False,True,False
1920000,True,True,False,True,False
1930000,True,True,False,True,False
1940000,False,False,False,True,False
1950000,True,False,False,True,False
1960000,True,True,True,False,False
1970000,True,True,False,False,False
1980000,True,False,False,True,False
1990000,False,False,True,False,False
