step,run_0,run_1,run_2,run_3
10000,-107.399647957586,-93.68555351384175,-103.05878568592902,-71.71377012948841
20000,-74.04012236359297,-61.83881216711114,-368.516019963473,-91.05415922503771
30000,-258.3834256832718,-61.88555987681944,-91.66341415821898,-73.47190797234867
40000,-52.24651275402137,-61.38579203030396,-79.52175745096324,-64.02424490060082
50000,-61.93913377100776,-39.80978678623547,-62.21700772022393,-60.548655504808465
60000,-243.65655828232025,-29.13023920299321,-47.98074513162181,-51.293943447900276
70000,-57.08748499848305,-56.7901880227878,-36.203199755677886,-69.6027761714514
80000,-37.984465869146426,-59.821739782103215,-46.15377879299628,-50.26009263767266
90000,-62.28247189419368,-38.01682789551693,-57.36924892771032,-58.244856875059476
100000,-64.40293863634595,-39.450831903178766,-52.74928989209792,-55.13237116957512
110000,-63.41952881830434,-61.01393803848536,-195.6337997603779,-35.51367966237588
120000,-251.050552775748,-55.78630736200902,-55.72230844828556,-317.00695067278724
130000,-44.6712983023729,-28.96866479657288,-52.55317755918709,-30.8640356518723
140000,-39.78751017947703,-9.312002217464885,-61.64307977049137,-34.939358728888095
150000,-65.18585495599872,-41.52992414712086,-53.13516908260418,-57.83206227102542
160000,-55.19615960858425,-50.83261661009857,-49.76129564477417,-239.7985268352259
170000,-37.719739939199854,-53.640505714414026,-100.53124815615855,-102.87971614868727
180000,-38.03112643243576,-38.07948390141584,-49.21625164454117,-51.40190721370042
190000,-45.91728521324312,-58.82407995782763,-32.01540434545164,-53.07382022210351
200000,-37.99191102356095,-47.10821620747994,-33.85861425913866,-53.05759742008374
210000,-41.938413756945664,-37.857912062905,-52.75150797386426,-75.63035429346188
220000,-225.6440549197587,-70.40593561513104,-43.77411729339771,-60.37935205750431
230000,-61.95896763925639,-73.54849548754883,-52.26841916107761,-35.89075916297855
240000,-46.952387329439695,-30.756534765913656,-57.37696190499136,-51.12047552701598
250000,-63.320762659110365,-41.01155697466021,-118.3200542363668,-37.90819826421224
260000,-62.912055777838034,-52.99675146596685,-83.44185165450999,-49.17287004647486
270000,-55.72820326790065,-36.102891962351485,-51.8358429811463,-50.55509849305288
280000,-62.310572555682896,-48.01974304838588,-51.90251839003171,-40.6105861070847
290000,-46.73234861214231,-36.58777799598834,-53.04618180451518,-54.263920951672596
300000,-39.00648007572372,-49.27387445803743,-42.97040428684921,-51.75738871579719
310000,-62.44647654151481,-51.36957349906568,-51.9395699066091,-34.767452454884555
320000,-35.62999911915404,-61.4537632706532,-57.6829302521314,-48.41562990311367
330000,-54.65095556630443,-56.76735179030413,-74.75452981601487,-55.784204636916726
340000,-40.92154931893148,-34.348117301069266,-150.38583314616034,-49.84966200861071
350000,-33.53951802895263,-9.5630374712114,-60.55769078191384,-46.8654041612342
360000,-60.242801291554,-52.17631235932996,-115.4868651763882,-42.0679970490379
370000,-32.611688622823905,-54.92553870573012,-155.94717127279125,-40.29979230424916
380000,-44.44809440874085,-51.26044592152038,-55.2780774873635,-49.97610065017304
390000,-265.97764554797845,-57.24378460688905,-53.26514575529427,-74.16080601014815
400000,-60.125022210049615,-9.4621595826216,-164.85209947491634,-50.15640200685738
410000,-54.19338908837341,-45.99156991122055,-49.13040930036035,-33.090830466227985
420000,-45.759620129602766,-34.10849230024512,-148.25873179963816,-39.397683101160275
430000,-31.607245649868325,-48.91707074330584,-55.565464906146,-44.21684401518226
440000,-60.41701875955017,-38.757564640661045,-33.427932874755555,-32.422443262637515
450000,-33.49073983102856,-39.58433313703556,-49.63206035769454,-52.5765710779537
460000,-62.25438029828942,-35.45703057085218,-30.43302371528388,-49.13220662235695
470000,-60.34638466281278,-44.8834051763896,-51.26659023508962,-44.35166802352618
480000,-266.85314457098747,-51.301497717022215,-42.439367975202686,-49.6276659878406
