step,run_0,run_1,run_2,run_3
10000,-142.9618777905805,-52.53625580960036,-74.87315738982355,-86.2602980629196
20000,-92.37898717132498,-73.69440530672773,-91.93654370453456,-71.41667622989223
30000,-364.8339128548464,-37.44655949980006,-70.16052431076976,-78.80848937653633
40000,-255.67837789254327,-53.26930961307045,-38.557222730806025,-55.424974658067235
50000,-289.4163635718691,-45.04874040752712,-58.89812100647147,-93.10220852476823
60000,-60.083211518849694,-68.18383785974078,-50.15428370903202,-76.75535457610931
70000,-74.38873057214884,-56.76134520574333,-48.24650990199645,-85.78661203575385
80000,-60.09776107395199,-57.91182531172314,-49.13613753873256,-83.5198642250163
90000,-47.52983312220267,-51.74352986670242,-48.6355651179402,-65.15173961271977
100000,-48.212620338254496,-43.79811408843648,-48.06624597490605,-59.268395068180446
110000,-46.733330592550615,-44.21620749424001,-31.46663291362849,-56.78792091797007
120000,-47.34953233239324,-56.93188011962318,-37.8791220456718,-50.91036710371672
130000,-70.737029216762,-47.825405075971496,-35.63088640083947,-80.76776322658242
140000,-70.06993703067371,-53.07500762601215,-51.69139733101984,-52.047147938655684
150000,-59.440904406812585,-45.52594320837896,-60.92532409404125,-74.9919046167773
160000,-72.97601675898622,-45.75320231206349,-46.86411334617715,-55.525576830699265
170000,-73.65565407568047,-57.74637807039826,-39.36729926286806,-57.861426845526225
180000,-54.39598383130338,-57.58343735297965,-62.503313298697456,-49.16919634524584
190000,-59.6753229541986,-44.124151992669184,-31.85848819358305,-75.18967229872048
200000,-61.69203250946498,-56.84960916235708,-50.99987268208231,-65.348773402928
210000,-45.34431991909928,-53.92705585933795,-34.98638686073176,-57.298560452753804
220000,-56.95526984268791,-51.61794873657662,-47.510083164105446,-74.29121348575724
230000,-56.66915071044957,-45.42958106343051,-62.01195080219343,-73.38870487900682
240000,-57.49449676181375,-35.5024002712043,-49.893335241489126,-71.04783166987512
250000,-55.92510409239615,-35.50527006437796,-60.40233011784394,-63.719740412450534
260000,-81.19294342546767,-51.31967097828935,-60.482109860843714,-69.93214063450765
270000,-75.02620233057723,-35.93016374904232,-60.25252220223444,-66.40729021166834
280000,-75.4932213499541,-46.33968441371083,-59.663613757658425,-61.58224942078338
290000,-46.46613991009647,-56.34982965786035,-48.0735267580079,-56.69871735025941
300000,-45.37417073556324,-44.58711331958837,-54.73608407085708,-64.78730449008934
310000,-47.04106604424383,-51.77826657133088,-54.68106974180442,-65.76657630138257
320000,-56.56413828492592,-44.91547663301923,-59.22279797195328,-67.50006974644121
330000,-77.69076014865969,-51.69830958532897,-40.50815795406395,-55.414951570136694
340000,-61.71038446611793,-54.09316776937799,-43.77720420029806,-50.26968055715889
350000,-61.60977550103082,-51.63527434738079,-43.468252411428615,-72.53165579106945
360000,-54.42795947915971,-46.49670757833725,-40.8241854428719,-58.648326333327304
370000,-46.99608917145751,-51.66419930378929,-52.93118590192013,-73.90216480839649
380000,-58.33240878221,-44.97715340136632,-41.153673518979495,-80.63116426426151
390000,-54.49900371265767,-56.48903212030668,-55.1315559832109,-74.00912979201684
400000,-60.72564359813474,-56.518694876843526,-48.04894024774278,-67.74086202631118
410000,-60.06576627200318,-46.4479485459996,-54.9017971590178,-66.54901670467399
420000,-85.10873678945066,-39.47561589439019,-41.57933456027515,-74.2428560649715
430000,-53.45859687457223,-51.69061170223681,-44.16925903567039,-72.40995533572838
440000,-184.7292174439408,-39.4418826525977,-58.64331188639908,-57.95055370491201
450000,-60.53605336328843,-37.06484416622898,-48.21841678796291,-81.88658870969772
460000,-45.16064371590633,-39.25532205031916,-44.53506305009766,-55.04640118579775
470000,-55.066197352000586,-54.13873192046775,-48.09077888287249,-68.51590012106671
