step,run_0,run_1,run_2,run_3,run_4
2048,-0.0033473050832981,-0.0033149005612358,-0.003551574134326,-0.0035528911248547,-0.004213949783297722
4096,-0.0045466227020369,-0.0060438052387326,-0.007115951416199,-0.0065486429492011,-0.005010189484164584
6144,-0.0093243892537429,-0.0092907214115257,-0.0086338024528231,-0.0081870253459783,-0.009262103532091715
8192,-0.0104933551701833,-0.0093679301382508,-0.011218972592178,-0.0103539762276341,-0.01160663484770339
10240,-0.012061216137954,-0.0118946723436238,-0.008709120817366,-0.0141506041843967,-0.011170413691434077
12288,-0.0096527539470116,-0.0101144134474452,-0.0107490295820753,-0.0084419900886132,-0.007189114072389202
14336,-0.0167715754505479,-0.0116370831703534,-0.0090326205143355,-0.0117213531659217,-0.009185020528093446
16384,-0.0102190113408141,-0.0077005490864394,-0.010885557133588,-0.0107359815869131,-0.010940416908124462
18432,-0.0137476812757086,-0.0082693068783555,-0.0088012447362416,-0.0085072083718841,-0.007876130264776293
20480,-0.0097308344236807,-0.0105232419227832,-0.0090115294980932,-0.0079520773055264,-0.006354671667213552
22528,-0.0127147234772564,-0.0091581837812555,-0.0064970560502843,-0.0103472899485495,-0.010396356113778893
24576,-0.0063246046520362,-0.0110998140778974,-0.0090995298043708,-0.0093466250706114,-0.011432259737921413
26624,-0.0103292004976538,-0.0071422731882194,-0.0104299595463089,-0.0111790953262243,-0.01022236675635213
28672,-0.0049339590645104,-0.0114937958409427,-0.0122775362528045,-0.0140871924711973,-0.012888917962845881
30720,-0.0108727920203818,-0.0065892548998817,-0.0084246538186562,-0.0116175431176088,-0.009781368750554974
32768,-0.0100380306364968,-0.0065144130130647,-0.0099822718075301,-0.012891377932101,-0.01214807430806104
34816,-0.0121128662023693,-0.0080283629416953,-0.012104290408024,-0.0138465110372635,-0.010317139358085115
36864,-0.0107468668546061,-0.0162280180025845,-0.011169586914184,-0.0101403215914615,-0.010217036589165219
38912,-0.0099284603347769,-0.0101475226896582,-0.0121919515222543,-0.0100780813205346,-0.009685715373780112
40960,-0.0116921972221462,-0.0101602367780287,-0.0153101955627789,-0.0114849520294228,-0.012253784967469983
43008,-0.0101946014314307,-0.0113704751871409,-0.0145425213864655,-0.011793264413427,-0.010178168244601693
45056,-0.0104098740252084,-0.0142234842453035,-0.0105638246488524,-0.0093592309625819,-0.009362699129269458
47104,-0.0094164451758842,-0.0119356425857404,-0.0124725720546848,-0.0117970522551331,-0.009940154827199876
49152,-0.0099383168519125,-0.0130399389454396,-0.0084797946808976,-0.01263072637812,-0.012972498724411707
51200,-0.010431643652555,-0.008780690630374,-0.007830821119569,-0.009799339845631,-0.008383767298073507
53248,-0.0112676722230389,-0.0086256564201903,-0.0094195713485532,-0.0136636239927611,-0.00899285241466714
55296,-0.0107106068229768,-0.0080979534890502,-0.0089012358541367,-0.0091349054469901,-0.01028405270044459
57344,-0.009196048771264,-0.0075373879561084,-0.0088412792989402,-0.0079601622579502,-0.009326393595256378
59392,-0.0079289845656603,-0.008470540549024,-0.0104262270077015,-0.0123783648567041,-0.008125750288309063
61440,-0.0080449108805623,-0.0065469240551465,-0.0086262435957905,-0.010770698908891,-0.009747704479377717
63488,-0.0088141558313509,-0.0096221874358889,-0.0095966442037024,-0.0087764796182455,-0.007848198010469787
65536,-0.0117410117483814,-0.0097448656990309,-0.0118557932553812,-0.0075691628910135,-0.010539858655829449
67584,-0.0100941238037194,-0.0110375087664579,-0.0067760481542791,-0.0055496382759884,-0.009305964492523345
69632,-0.0093839260924141,-0.01020980708563,-0.0078335128797334,-0.0087630318390438,-0.010654508715379051
71680,-0.0105132408367353,-0.0082005358766764,-0.0112922081330907,-0.0079241216299124,-0.010031762228754815
73728,-0.0078175811635446,-0.007117038340948,-0.0072511593112722,-0.0082938281600945,-0.0074591020886146
75776,-0.0071868242972414,-0.0081905775979976,-0.0074754562185262,-0.0107622780342353,-0.006157608790090308
77824,-0.0093178335140692,-0.0075443736466695,-0.008971929360996,-0.0102668419334804,-0.00865254489472136
79872,-0.0074879972351482,-0.0089550335978856,-0.0051362566358875,-0.0047202732981531,-0.006104069938737666
81920,-0.0069549989231745,-0.0070541013294132,-0.0078676801465917,-0.0073563055091653,-0.007476595333719161
83968,-0.00955159815785,-0.0078371737909037,-0.0064878875171416,-0.0061075719000655,-0.008181333460379392
86016,-0.0085050296038389,-0.0097488852254173,-0.0052018958434928,-0.0090095625579124,-0.00929237958334852
88064,-0.0077912775959703,-0.0104110586384194,-0.0107482918232562,-0.0068069208449742,-0.00827405790478224
90112,-0.0086059169247164,-0.0091295192323741,-0.0076918406761251,-0.0076983052014838,-0.012374437035759911
92160,-0.0103848836530232,-0.0083027353073703,-0.0081143181654624,-0.0107056048494996,-0.00882052206870867
94208,-0.007604766296572,-0.0067442289029713,-0.0094387936536804,-0.0072200172813609,-0.01002128653926775
96256,-0.0087258333529462,-0.0087514719285536,-0.0088709662799374,-0.0073739548388402,-0.007026532623422099
98304,-0.0105574606815935,-0.0083856845187256,-0.0084061650748481,-0.0052963029404054,-0.00761861876671901
100352,-0.0098856314914883,-0.0090072189937927,-0.009312014261377,-0.0057456375874608,-0.0057732717294129545
102400,-0.0102331005575251,-0.0069177277488051,-0.0086440709201269,-0.0089222779308329,-0.008746502941357903
104448,-0.0099195301903819,-0.0075958747736876,-0.0044203827332239,-0.0068907945649698,-0.007782447735371534
