step,run_0,run_1,run_2,run_3,run_4
10000,-105.2148984327576,-127.802297478173,-81.15601291434007,-100.62209792767794,-260.90830371894197
20000,-255.7421692307256,-57.6558567013952,-97.88169863367534,-98.84450695506438,-233.88109915545988
30000,-235.2414073911557,-183.7415087642869,-93.09533884321904,-60.52887894735703,-62.18344108718641
40000,-38.39895190620972,-70.56114992692926,-82.74834103570394,-68.88499306263137,-61.16093886498641
50000,-62.53774270286415,-47.86027363875498,-59.88668407431153,-64.10972327033927,-45.3251622529028
60000,-102.20310879349223,-43.50073383686734,-46.36347569015415,-52.03204907266134,-15.588171925138099
70000,-60.95786981727545,-183.51807968507035,-42.30016203113596,-54.489132750500815,-59.1557921901045
80000,-38.92864077137921,-58.12264210231446,-34.82649371634497,-74.12090877650132,-43.71533514975067
90000,-93.51883863265118,-283.6965255591301,-52.3889741597343,-33.799887257555554,-40.89897781646615
100000,-58.67376251427356,-43.91352053163212,-53.86832416724702,-61.88369585668379,-46.33774757481841
110000,-67.17215167464414,-62.13429231998599,-37.73333123881814,-36.25530452377047,-37.9525908420154
120000,-250.61973880008364,-85.68077518210829,-45.87303300027732,-36.4542941121197,-37.4424447529287
130000,-57.69445057366853,-44.269950498820506,-51.285556306535895,-46.087790919436856,-39.27752758127174
140000,-35.84719063005454,-44.3517942490823,-42.25791926681673,-42.04076065171109,-231.90927530801247
150000,-65.53109629426102,-45.41350580640491,-55.44515607561687,-50.61579355048034,-51.124454599467015
160000,-107.81560974635433,-60.44301006276368,-72.74771896632461,-58.83159372740456,-224.73189423256503
170000,-31.778064889465995,-41.2493922555105,-172.56992844419824,-40.21189692727484,-38.08221574919672
180000,-33.2042959906949,-56.76695511088093,-68.54797463729238,-53.42078986994576,-39.62860260543865
190000,-65.13351291229442,-65.05951762377362,-45.62791952825891,-52.39424923536967,-37.857060931146485
200000,-33.37163543567413,-56.49775608407796,-46.55789051246891,-53.44898842329508,-37.57058342470035
210000,-240.1767150389294,-55.67094801651464,-43.394943171204304,-40.18748445070545,-280.5518161849807
220000,-219.56330763796868,-67.71258261515622,-44.77179912174819,-60.10993894556512,-35.81828600827053
230000,-244.9814542698581,-39.50701329531475,-44.95044488851384,-35.16644473994588,-145.0893803269203
240000,-51.68702343174234,-45.64963227672996,-55.96624900849461,-52.420089999598495,-53.95049547931211
250000,-62.259706582128175,-46.715229064662736,-34.81245271867003,-41.48257375571447,-173.6281634910791
260000,-251.3800332966733,-35.849824314581376,-99.34780388309416,-23.01489421329184,-251.2077546763585
270000,-73.61306736125675,-54.51927285417707,-113.39666443810684,-55.43251135270749,-45.24402089410027
280000,-60.99471341818618,-57.95019336998424,-56.62202354241303,-43.86036686920269,-50.7615277969457
290000,-47.529898332308974,-55.53762234169672,-55.98531181322015,-78.61404193955153,-171.51004251454827
300000,-204.3625797904688,-57.43626394790171,-64.35940658363572,-52.373751073110725,-248.50465450912085
310000,-239.68058972608225,-54.15654012488747,-56.44911565350267,-31.98415022310069,-144.56001579511494
320000,-38.39055553172611,-56.13932339952635,-54.40392034820512,-78.42615340016553,-42.17795082553205
330000,-86.1683636024897,-54.98337895343816,-55.28605387143119,-43.01472542889378,-60.36055755093777
340000,-194.4181053539113,-55.93701762773474,-47.83003587512593,-53.2045808877113,-282.9544390552226
350000,-41.44860203036373,-39.77794672885464,-51.98941242992082,-46.83377170672638,-38.646000188330596
360000,-44.63410551995608,-34.208090798452815,-80.14928018519092,-38.359782748307936,-42.87617648640173
370000,-39.2993746835037,-56.768663437772815,-46.77591297910587,-42.72700719393304,-42.836104061661224
380000,-39.55340515507714,-58.885368745430185,-57.22855315114668,-51.86199705869039,-39.9730165427288
390000,-254.3502582423427,-53.19407619335605,-57.209451543758256,-56.4756034267476,-34.942375988261986
400000,-51.74431968234592,-39.028314768361454,-47.03649180775,-39.211855288088046,-154.1687158180512
410000,-206.7682610890316,-34.063076098636444,-97.43715536614592,-36.80948699818916,-155.1495009931297
420000,-41.75832471817216,-47.42483798114738,-55.342209107717125,-51.06500512910966,-61.30320734428463
430000,-41.083768796673866,-33.100918275579566,-102.9618238897514,-39.92812863251706,-52.02637763868382
440000,-47.13779994790961,-50.16249877826954,-44.60507379102101,-42.50850350460094,-161.80214694843437
450000,-41.71919407999528,-49.84263749206677,-61.514095537911686,-50.35579113210206,-57.01246595440006
460000,-61.72737462123865,-46.58181837463192,-44.7632535354353,-48.62822272559564,-77.8498770802276
470000,-42.7361770127588,-33.987969798861066,-56.08024240944168,-48.29173262501615,-60.70316922559822
480000,-70.18921161985293,-56.38234310828729,-48.64669804891948,-47.12857613152275,-34.05462972579495
490000,-180.8726326694174,-52.21836186455006,-48.72714722838983,-32.151707359364266,-34.96429672224608
500000,-41.77123406969149,-150.40921220987252,-55.88793449476575,-47.68428145525758,-51.24510667118109
510000,-41.95377496900634,-53.477275403482416,-48.98292258089628,-31.685628000016592,-43.00413442626281
520000,-42.182719233972975,-54.85525375999805,-74.21708575844156,-43.43621111247464,-152.47296186759405
530000,-187.35829002355047,-38.61485158700156,-44.51825733068655,-44.14164678674175,-49.47244498395482
540000,-33.58232922585032,-82.05774777283898,-43.813788546266025,-44.37162943199381,-43.0572211368892
550000,-30.13528839143117,-65.36755803748622,-44.04351396179149,-32.14893090221662,-30.88484251438683
560000,-55.11635243744843,-174.13875830924192,-42.8574131431023,-46.88264207867088,-53.59881981231297
570000,-22.040512667442272,-51.70015331717045,-31.75547914405302,-46.38275769851114,-47.73547797757409
580000,-48.41132753618608,-64.65536076626698,-48.156058913722944,-43.58673098279933,-25.907047666492254
590000,-9.499782735219434,-32.429293225959135,-44.57941082757992,-46.67879389123864,-58.1429629450373
600000,-21.85086097318675,-76.5714605521419,-43.672287478581325,-44.329223001629856,-10.933944048818047
610000,-22.180460133250204,-62.64130898398722,-21.900082163239805,-47.6261281268222,-29.892583131646568
620000,-48.84081609308426,-30.92849925887821,-44.21597041728648,-28.930047846593595,-35.37187686322285
630000,-128.74810197954628,-43.88358007820718,-46.21433575789298,-45.45758021458104,-133.66366755145265
640000,-30.64219208726345,-45.33189230150968,-33.268633032572474,-43.19216529299547,-64.70791932502586
650000,-22.140645513201363,-31.43226320622556,-33.0716874103439,-31.870522075937807,-55.420196598011294
660000,-60.729823814289375,-31.956686939692915,-45.53658673356495,-42.76225146399943,-55.80919902801685
670000,-48.8307351284728,-44.23384188913794,-34.91585515321964,-31.27887342307208,-42.88029206726092
680000,-45.59905995697028,-30.98918921950547,-23.50714426679981,-32.09577689343095,-49.41513492732674
