step,run_0,run_1,run_2,run_3
10000,-84.90447961575026,-75.51838506907208,-75.1849451759464,-57.62186503151601
20000,-102.02830541874329,-230.1110360636744,-108.50787214688243,-85.36051055230153
30000,-33.05544403085442,-250.7981959331276,-66.04260243286924,-72.48953642193013
40000,-70.40788516319951,-61.38056417147122,-35.618860462717805,-44.589487175957885
50000,-29.01539057177464,-80.4753135739931,-32.35418074806108,-58.705574117104945
60000,-26.43571212240221,-24.822649992970216,-33.27316639034619,-36.74085409918395
70000,-27.000071941796364,-30.98243221383148,-34.91393370688742,-15.199089354205519
80000,-51.26630922974461,-67.66696162664226,-53.342087477175376,-43.230894131239666
90000,-67.58448232592713,-49.50808354591692,-70.95409562285592,-60.7002288527652
100000,-63.10867430814318,-58.31348287640928,-72.03072830506643,-57.992177764963884
110000,-73.76979855689231,-57.243038434868296,-58.35990508494352,-59.15440117840029
120000,-47.08839765722175,-41.006850228939975,-41.569989659696255,-43.12433698586366
130000,-34.64598901513332,-31.804917277033844,-35.75477301025565,-60.61797768786754
140000,-48.687922217735846,-37.36227840235424,-66.15053639187863,-62.5267769927314
150000,-32.906705392732746,-61.51898161029359,-54.269676308945314,-54.37593780047162
160000,-31.210912300498155,-39.8834492273113,-55.56415208796203,-42.473847292641175
170000,-43.85401107334805,-63.356016420207006,-36.9205266735599,-32.72226685355113
180000,-43.89106895122247,-35.48975385269748,-40.45657876723317,-50.93713509926779
190000,-24.719198723429315,-76.60484970992502,-34.76028995623887,-60.615862173611994
200000,-28.58236512645624,-40.118201259859255,-35.11855414904568,-184.05804393681248
210000,-48.84737339356383,-39.04270806088181,-34.841348756344786,-54.72935475715879
220000,-32.904084166286275,-42.94075318583177,-44.92856393259147,-201.61960603376554
230000,-46.549353059897584,-43.1743920570313,-41.03310441526396,-8.537713732882532
240000,-43.64556850133228,-43.2095129859276,-39.76451684545,-60.615862173611994
250000,-42.106932827399206,-60.79169739762975,-56.019654449331,-31.68659133757928
260000,-46.28776516988796,-51.81434238378574,-33.63184041667441,-60.615862173611994
270000,-59.37623191076203,-37.11029372908331,-61.76467155343984,-60.615862173611994
280000,-34.82344019560636,-30.190637991367787,-59.71765008606249,-176.72819582620883
290000,-32.620149355647,-31.11291354763776,-52.37965102006616,-213.72000798807483
300000,-30.86115232907532,-60.69793336502688,-33.572849945470985,-34.09039851529755
310000,-42.39864859733862,-31.930009043698984,-37.81696722518314,-60.615862173611994
320000,-56.32009493748527,-32.27865080186919,-45.765158691163215,-29.66219452966835
330000,-30.844449537069096,-56.28381146182062,-33.73076533179158,-194.958114236203
340000,-48.89388268929872,-31.353530105578187,-47.689705984329,-52.68486026323097
350000,-31.693620330090774,-60.73810386500082,-51.55599837601875,-31.526729559440273
360000,-33.19759122797369,-51.14460034136293,-36.408464972949226,-227.83002773526954
370000,-56.43308176719269,-45.63713897376728,-48.46442644760139,-29.333236385989192
380000,-142.08703492748526,-30.309460571392627,-34.05669634773527,-60.615862173611994
390000,-54.025123896360256,-48.73779110011874,-57.60510963293281,-50.144885463768844
400000,-49.61612414979224,-36.998164225155705,-57.72863175638854,-60.615862173611994
410000,-35.083722794541586,-33.79673877569673,-41.39862139166237,-60.615862173611994
420000,-34.894904220829616,-31.47296404668344,-41.29955205360041,-49.35970440459663
430000,-54.68386837637723,-60.239810636777335,-42.34456322015072,-43.919210432975134
440000,-226.0936347150513,-59.92864698972724,-33.614616236511594,-44.555939130557064
450000,-45.97870011520791,-45.23112775869684,-95.0210680231814,-29.21900117387106
460000,-30.85085421852953,-60.63549123390335,-80.02379270434365,-60.615862173611994
470000,-38.02818604520857,-32.20795644875338,-34.00341040380829,-34.66994452556341
480000,-31.48755569416165,-64.01216794256604,-48.90896400481083,-49.60111280482994
490000,-34.13981356260944,-46.472765534611554,-42.0112891037934,-35.58063049402236
500000,-29.949247761324443,-51.60305725319243,-32.03580025667461,-46.261155169040165
510000,-30.80263345202035,-56.89413195271696,-50.48466888594336,-30.014003262657212
520000,-49.6466993497133,-46.30575892554354,-41.37676863714903,-197.5314156399583
530000,-25.75880788953122,-47.40072483368195,-47.73063544072539,-33.59994749002309
540000,-49.32349092052426,-44.93209868634108,-51.21132827724175,-60.615862173611994
550000,-36.84491722691408,-50.18949337965286,-33.404397911309616,-28.778104419864825
560000,-34.76156974962438,-10.017773431630792,-42.30632063682937,-33.10130583937216
570000,-34.41195728726448,-10.898650933420331,-23.852786494718256,-22.779759231891436
