step,run_0,run_1
2048,-2.8493455171585085,-2.837850446626544
4096,-2.860208996012807,-2.842561686784029
6144,-2.860265031084418,-2.8362359888851643
8192,-2.85388689301908,-2.8359645128250124
10240,-2.852601310238242,-2.837729336321354
12288,-2.8502734523266557,-2.838710805028677
14336,-2.8488944832235576,-2.8389890663325787
16384,-2.849616606906056,-2.8390381399542095
18432,-2.8476603507995604,-2.8411977883428334
20480,-2.8478657990694045,-2.8406653106212616
22528,-2.849472625181079,-2.84328268840909
24576,-2.848712109401822,-2.8431516990065573
26624,-2.848805493488908,-2.844935177639127
28672,-2.8484411712735893,-2.8437643852084875
30720,-2.8465271279215814,-2.8429602261632683
32768,-2.844236733019352,-2.841573967039585
34816,-2.842754353955388,-2.8386559281498194
36864,-2.8408011727035047,-2.8347773883491754
38912,-2.841395255178213,-2.831694272905588
40960,-2.8403665740042925,-2.82923897318542
43008,-2.839580215513706,-2.826528860256076
45056,-2.83747554756701,-2.823716250061989
47104,-2.83674467690289,-2.8226895958185194
49152,-2.835247479379177,-2.8209406275302173
51200,-2.835145631060004,-2.8188925594091416
53248,-2.833551663532853,-2.816096518933773
55296,-2.8331124100834133,-2.814994183555245
57344,-2.833304414898157,-2.8161739237606525
59392,-2.8319910261780024,-2.8144324965775014
61440,-2.8316282618790867,-2.8155079152435065
63488,-2.833916614949703,-2.8146824296563864
65536,-2.83185421153903,-2.813359325379133
67584,-2.8295687932521103,-2.8146258514374494
69632,-2.831052450835705,-2.8144106071442367
71680,-2.827522533386946,-2.8142433002591134
73728,-2.8267849564552305,-2.8133017104119062
75776,-2.8260928757488726,-2.8135105177760122
77824,-2.825705475360155,-2.813223358243704
79872,-2.822753685712814,-2.8125096045434477
81920,-2.8226847339421512,-2.8116947814822195
83968,-2.821428442746401,-2.811029006913304
86016,-2.8206452168524265,-2.8093424282968043
88064,-2.8179228588938714,-2.8079548638314007
90112,-2.8160138737410305,-2.8088876865804195
92160,-2.812174624577165,-2.810029609873891
94208,-2.8102276504039763,-2.809756626933813
96256,-2.810717991366982,-2.8087222941219805
98304,-2.810828744247556,-2.807683912664652
100352,-2.809844483807683,-2.807551779597998
102400,-2.80969201810658,-2.806981438025832
104448,-2.8086783073842527,-2.8056937005370854
106496,-2.807369148731232,-2.8028294429183007
108544,-2.808235673606396,-2.8023338302969933
110592,-2.8089953523129223,-2.8005797162652017
112640,-2.80747596770525,-2.7988578896969556
114688,-2.8064576636999847,-2.7978695929050446
116736,-2.805964019522071,-2.7966048918664455
118784,-2.805248998850584,-2.79578928463161
120832,-2.8033385533839463,-2.7927872255444526
122880,-2.8003169029951094,-2.7925735149532556
124928,-2.7988985277712346,-2.7925195697695018
126976,-2.796780882775784,-2.792258809506893
129024,-2.794625349715352,-2.794796235486865
131072,-2.794904914870858,-2.7930161327123644
133120,-2.794642848521471,-2.7905501063913105
135168,-2.7942372269928457,-2.7910262253135443
137216,-2.7926312956959007,-2.7902721125632524
139264,-2.79051779769361,-2.7903261043131353
141312,-2.7879984874278305,-2.790699294954538
