step,run_0,run_1,run_2,run_3,run_4
10000,-140.17420298371937,-114.41563102893711,-79.18153215125848,-67.62565872432097,-80.89151669530776
20000,-154.80869401220548,-128.5976000066752,-362.5251932815981,-59.04139871592759,-61.0379500323004
30000,-206.02181020179057,-69.86412370853527,-298.79190572910665,-209.0488582865877,-80.25998305460895
40000,-224.03751384273832,-65.56439392779367,-63.9640125500306,-66.74933668981116,-64.82287933822214
50000,-102.6886866722483,-47.70026641320961,-62.44976705544933,-58.07001361246297,-204.9604108232182
60000,-63.09898210147017,-33.59962921871032,-39.055924703990726,-53.53990386601604,-35.350969678639814
70000,-73.60032542217166,-57.55445957157599,-207.8681514188826,-55.01420761270169,-53.275884563085796
80000,-40.61422776071558,-53.57087417384075,-44.00439588138998,-58.09013811433457,-34.766689912863754
90000,-61.75723563646234,-33.932777573587394,-59.06279543743864,-33.192443874730714,-37.42133479444246
100000,-57.4084136989711,-50.77416461625523,-58.20449854251578,-41.04362817970083,-33.803088088391426
110000,-75.5855295659289,-50.53428901570779,-42.90467220368425,-49.09837567283898,-43.323180329841975
120000,-45.41634036803107,-52.11602388884609,-48.28503589052877,-33.18176443814495,-43.42116160633016
130000,-51.89072773941747,-37.80942462054744,-63.58896990147673,-49.53223894009044,-32.68275251530487
140000,-40.61450562227941,-35.46388595821244,-56.29329442071274,-48.76209059191236,-34.622580465306925
150000,-68.18943605065968,-44.18371645260696,-59.93082843236832,-59.04210580098483,-43.673631628118564
160000,-55.52322924329876,-51.07815402114113,-45.50017489917739,-52.4971208399424,-34.151179798713656
170000,-37.84933197169445,-39.41026690023523,-56.78614081276096,-33.1278157484592,-32.00511572101311
180000,-37.61095031737338,-44.41994090974755,-44.11760112399563,-58.80408800357395,-35.94229473391964
190000,-39.35670179393725,-56.01503802865426,-39.878368969829786,-58.1713542784945,-36.51611135211356
200000,-36.96055780322544,-53.30154918894523,-41.692312664903824,-58.38791541166114,-30.98929331014168
210000,-41.18622883974504,-44.07284276441296,-58.84156513228535,-32.442639460602585,-49.90178575128166
220000,-38.34730233399401,-46.22969373312583,-35.738758531801174,-39.3791390685097,-37.18375591080997
230000,-48.839941159495694,-32.00091635879349,-56.035127010073424,-41.06809409545178,-34.48365211055869
240000,-44.867571167384455,-36.09077399650829,-36.851569271260985,-59.67657075572096,-49.16604118976677
250000,-53.323302800749566,-44.06044462343995,-51.64272245526037,-49.551544532409466,-33.14814448418112
260000,-49.29170431751079,-33.08339780717846,-44.54456964745896,-55.15355525617064,-47.013693601950905
270000,-51.69744378164162,-39.56513895219192,-45.671161832405616,-65.77657738927336,-33.33751797079556
280000,-57.78270151962429,-55.42123004146052,-49.039618182869546,-44.47381370639832,-49.68755800810514
290000,-54.468867134032,-37.98396352743798,-55.09102375863837,-33.269065750153175,-33.58657958508155
300000,-39.6604292090374,-56.28444068110382,-44.99542710495015,-50.857029545187146,-51.42901305602162
310000,-51.35397024408002,-49.89530968169469,-53.91039616996733,-58.839060127768974,-47.66143693117838
320000,-33.882031861246794,-52.10974771097359,-47.378470275511134,-35.00010376766081,-29.594592335385826
330000,-50.05004021210237,-55.45889708786108,-42.84487569977096,-56.00616651978291,-185.77567010569612
340000,-37.844993549212006,-43.42167213075173,-44.82476804463037,-61.43380204749013,-47.65531289327676
350000,-34.43929803671766,-37.4076215946786,-34.131429258261754,-61.44108132302112,-31.981289160449627
360000,-49.349573713040726,-36.40307424024329,-57.46655608788824,-36.246999656467935,-31.831073468580037
370000,-35.6266185473785,-57.47964198064948,-45.89413347194655,-46.71903642384302,-31.51841107871182
380000,-50.00695085384232,-63.95282265334765,-48.89789329099938,-75.85444236089171,-31.33189154791029
390000,-42.053412387984494,-52.410292653545085,-43.0731754285348,-51.31231922782709,-44.361588805292236
400000,-49.57047067628466,-37.0492996376787,-51.13851812037496,-36.39753980257275,-34.60321615921821
410000,-55.40424712732968,-34.917009248791175,-37.11703593627794,-99.73409031195224,-33.89617762497579
420000,-44.5807798901625,-45.26021597077703,-51.59952618129676,-57.21576498073149,-53.079531309987374
430000,-35.913323940127604,-36.828789806874106,-51.79132362114641,-35.33625245031099,-47.122482213760435
440000,-48.14276338357115,-43.2460285072206,-34.754598512745325,-31.7135613726199,-33.44990299945018
450000,-35.66396891410648,-41.417769683504034,-44.87253174217236,-62.86344634467251,-40.43352393471115
460000,-61.75517470800106,-41.26435949478704,-33.54458702085381,-62.28559185598076,-48.848257809876465
470000,-50.73844148700788,-35.69046306927993,-56.05571263341382,-59.64171261271211,-51.501982479020995
480000,-40.7355712554599,-55.40928949780047,-33.2656807997409,-58.98932901225523,-42.84905176162202
490000,-39.43928173300936,-50.25973214439207,-33.567539704317525,-50.04376280668576,-39.73424909829271
500000,-50.91870407369844,-51.85718533134036,-48.723122632494295,-57.20082841068231,-47.7371000259535
510000,-50.655567188278255,-40.15757238024089,-45.41849526093728,-33.36059457713183,-31.849640704756325
520000,-50.13692629330251,-39.793956439116414,-53.632909944464345,-70.66067706556188,-39.676577428443906
530000,-33.33967513452567,-32.45856956952188,-31.96649607974131,-49.89291397222944,-46.59655429151685
540000,-29.33068522548812,-47.92769553357883,-45.438197650187206,-47.75655433566071,-28.86873426977005
550000,-27.9099322149022,-50.54535166108418,-41.63994988835663,-32.725410124418204,-33.045361050090534
560000,-32.73995363888691,-46.82758438937847,-41.57061621469856,-42.34620121879888,-45.315779585307965
570000,-44.29084693305224,-99.99437152412888,-28.349837393836363,-48.88879087969829,-47.265537526842095
580000,-48.45214072361112,-154.8211152649344,-47.05059858911981,-20.51042617110045,-44.590512642112884
590000,-29.12645058328285,-139.7771402968129,-42.542361824515964,-26.036305951987885,-49.76791932368273
600000,-45.09761684045294,-123.32927247409312,-48.43502477580475,-46.715885098957145,-30.642410111310607
610000,-23.768769524397904,-110.67508953315004,-44.85030902545918,-40.57076065690575,-10.148466437290471
620000,-22.74639731402297,-30.843463923183304,-48.33525334228936,-26.92457185501832,-35.08829208350072
630000,-46.86663606935264,-153.90138853208103,-24.889454156172786,-20.78577976091294,-12.678794698748254
640000,-33.412578597261074,-147.5878562588742,-44.01145510257079,-47.50078930955062,-50.84875253911593
650000,-44.57517313327018,-167.21024981466667,-43.97526961227909,-17.065285012840512,-23.163965361108307
660000,-49.12726218430632,-165.2406417907449,-46.81046211204297,-49.69284487673081,-44.974411574396946
670000,-48.15944203244243,-151.94746345529143,-38.5166487043905,-13.294134080685565,-31.47520855155379
680000,-44.55666536813075,-32.19229641403338,-43.082741226009205,-37.55539698411941,-51.08233624759262
690000,-33.27259383913369,-34.659879276694,-46.71518905664903,-36.09739915200077,-24.017582118198217
700000,-44.28740453787721,-49.078046157403634,-48.8795898158232,-30.820375735344644,-33.145184547981984
710000,-23.94139724638239,-25.892464745043345,-42.95479182511727,-22.60772408088862,-35.14505074990395
720000,-48.04456026646089,-88.56555574522693,-49.05727181345375,-9.925647878782394,-44.98695780178579
730000,-32.793723441267005,-48.37153568961368,-28.88346431557455,-9.397623456055609,-33.7856921941801
740000,-30.176704818136365,-49.89016063744752,-46.97614537558263,-47.41080718344741,-29.836096970507576
750000,-50.639403417450254,-129.3656776463365,-12.90763766198359,-33.92717925452661,-166.4201921330663
760000,-31.40805872536732,-42.5649865130717,-24.36106131963443,-44.66588390092643,-49.15286637072428
770000,-44.1546105591826,-47.68986402168531,-24.77423538304868,-45.942038179444936,-49.22153217415608
780000,-48.73086979436613,-29.506742106532528,-13.443631491728045,-12.92452313311498,-33.77942071075964
790000,-29.18246055522121,-43.59879108426194,-35.64185471561088,-30.73207571819444,-45.98034096858479
800000,-45.17711282684144,-34.27062848879132,-50.8449482167368,-133.32056281187792,-45.92323936187825
810000,-32.56612126669791,-44.07256662199326,-47.34430550866567,-44.09124580657592,-51.950272715210865
820000,-28.936436866739943,-48.90804395712605,-42.91031001391156,-31.425900392142157,-30.655203601609458
830000,-44.891499602566654,-29.49942962789221,-36.265493830813625,-114.275149240674,-30.461279997336817
840000,-49.75270536681951,-48.267473410398985,-30.273433189574654,-9.429460073891136,-44.75563286681515
850000,-48.97786074724716,-43.03671570503006,-25.81698916266497,-42.89027907526703,-35.567819824767994
860000,-44.603583660117074,-48.480219455410165,-45.89034367108263,-47.19120174487348,-45.62096758412792
870000,-47.628116516278126,-47.98809373319904,-13.196347264108017,-25.306944771470665,-49.57946625673128
880000,-49.79048253761096,-34.12848873802338,-44.45423763857119,-141.96312907132832,-50.22940162419418
890000,-45.06766703685662,-31.27046168475559,-25.338591029899128,-9.616548157371136,-44.08275925958202
900000,-32.89277017335877,-30.42069119623273,-39.92338886393459,-32.43280145331663,-49.10592948927377
910000,-34.03349742210802,-26.68424606488984,-140.7621666276872,-23.928596449349257,-29.957468836293206
920000,-50.97425933879619,-29.02880236506062,-31.15807666004457,-23.27272390842693,-50.565876316881706
930000,-29.89892357388153,-26.057189344203863,-26.22644245797225,-36.52886799646336,-45.17650899373177
940000,-35.417368021391304,-31.07970924985408,-42.82415992503893,-33.634586223093905,-45.77271752703194
950000,-28.78882146424593,-32.76264465512775,-118.89406068296418,-48.577683234273024,-44.86124982415561
960000,-28.891412815204227,-46.169485032996434,-42.78423822970171,-50.25109915674112,-17.316214302016345
970000,-49.96797695500137,-47.46365526620141,-39.00717822470344,-121.63451974952817,-37.764172533739
980000,-13.080689001974733,-32.48675451376458,-161.69877001014868,-123.16604573857109,-34.115739978305406
990000,-44.09332027203333,-32.89733877803437,-23.48891916860597,-113.91901506791356,-33.00245250372301
1000000,-48.66352197539602,-33.05564281439411,-35.75368885782849,-127.02432360351928,-17.1898027125419
1010000,-49.88764665450264,-26.71108288652421,-28.291425013710903,-49.28505245872346,-51.23691636822364
1020000,-26.78995053353617,-25.63778224375848,-42.739098104825295,-25.734360939610927,-23.684010269530265
1030000,-26.30636706920568,-42.55324054037859,-9.907548914972493,-24.245490922188644,-21.904651309593618
1040000,-9.61896477395036,-10.937936242670691,-9.8395846979876,-47.13804750258703,-27.3277000143016
1050000,-12.320883313241143,-24.402579087405787,-42.04907476913911,-35.11350732530062,-35.324537836512306
1060000,-11.529662559703668,-24.10016054570801,-12.474666780276245,-47.8214203604622,-12.278096681238079
1070000,-9.919659317525852,-11.08084015204669,-12.03724563972149,-9.878595824918053,-27.547248754332763
1080000,-9.762489238199668,-11.081355460398932,-12.51527798700632,-10.152342000911938,-22.79562300923953
1090000,-27.82942402981724,-22.4376781275472,-12.06333830271655,-26.63775462803639,-9.799840643644893
1100000,-48.46399912005427,-11.378945162855242,-9.493698782478802,-10.52607423750078,-9.784515930577998
1110000,-25.79361601068205,-28.451905096776706,-40.88194360398656,-9.719752061218848,-14.714962111379283
1120000,-9.560343986733589,-9.662883918209833,-25.26463285598048,-22.881939202383126,-10.404082338289133
1130000,-23.12044456394727,-9.641014160128703,-93.4909897909426,-22.649051778008875,-25.485993672755633
1140000,-25.481805737964866,-23.810151910584786,-42.82394646984525,-9.64698066302705,-26.80669758457889
1150000,-11.401400059298965,-10.052362852726144,-9.863471971495338,-22.703782241060097,-13.65176950918519
