step,run_0,run_1,run_2
10000,-99.57282730528377,-138.2274031414502,-232.20216385797974
20000,-77.39109506664143,-407.2336542284822,-49.69280118299801
30000,-178.07087570671584,-45.59579269429346,-62.34115557957321
40000,-55.91557443707238,-41.31043758245959,-32.402982021908905
50000,-37.223264744288734,-32.58370090597732,-32.3330830019315
60000,-34.345583037832746,-66.18346819509725,-30.77589974193775
70000,-31.86648658440553,-41.94455520049239,-54.21927904373835
80000,-29.48440779839515,-51.25482112910424,-33.024811862136055
90000,-52.35073897121029,-69.99111916120668,-72.80230832089875
100000,-49.82625003401079,-33.39440782476695,-52.08813969307165
110000,-51.903146457292095,-8.393564372844995,-11.708131864565168
120000,-57.33537780637325,-45.84703792729791,-8.81075265202563
130000,-11.698837615965314,-31.9169636646572,-30.258203828298612
140000,-47.81898377233576,-40.498593662016106,-54.096903698029436
150000,-11.524666704428835,-48.59366132826932,-10.700980260238266
160000,-7.968139414039264,-41.45948641128987,-50.06083666244685
170000,-26.75975024941283,-43.97684867826296,-27.83142200277773
180000,-27.346534334953983,-45.33691582850916,-46.21815037873445
190000,-8.257067290056492,-8.905669309617968,-8.58287754570412
200000,-8.594599837376936,-8.809435134722719,-8.700267511758405
210000,-49.918809457767416,-25.60655203116688,-28.94801173376723
220000,-10.589440927753849,-26.592912287465783,-10.682769932161902
230000,-48.18976715840972,-46.69246360845641,-10.28846191757159
240000,-27.37510181797009,-11.378650469182798,-98.46360454208786
250000,-29.19269901724688,-41.30707357431929,-28.507894356673958
260000,-49.57480803666715,-43.65887018860505,-26.923437441992768
270000,-42.793554787784544,-42.63501920078781,-8.256380974070634
280000,-9.849804753022806,-26.196330284812444,-31.720219879824455
290000,-9.520387509463294,-46.61667245965769,-27.88419223768521
300000,-8.185735420170268,-44.2279152604212,-30.62592352446965
310000,-28.953816088980865,-10.003083316730043,-31.014589703226367
320000,-49.16828940154638,-25.24313564415049,-28.3892264985093
330000,-8.43812627719477,-7.858505879773009,-10.490696299715005
340000,-29.07507694508652,-39.164477495969976,-31.250096948844053
350000,-8.983419706170071,-27.881578892360363,-27.587540051163774
360000,-13.101121974874824,-29.91670331224338,-46.946804752783
370000,-42.68819319988263,-7.758658202697864,-7.7932124236647144
380000,-79.1444952996355,-38.851767737010064,-48.22509272726707
390000,-46.738980738580864,-7.547354332578274,-8.779150790097333
400000,-29.9972557182124,-26.514343114294,-11.382090737373707
410000,-8.242522844034374,-7.502095865481599,-7.77626349313369
