step,run_0,run_1,run_2,run_3,run_4
10000,-143.03109426924635,-251.4993807482798,-330.4177280921039,-82.45742459676396,-107.63334083333906
20000,-125.16154298763408,-102.7716877048084,-57.0330279644335,-60.64577895480252,-259.14848693637913
30000,-371.0719450865501,-392.5292688429918,-266.6807482288952,-84.19560590869892,-51.39998732352109
40000,-62.0528786630855,-61.064018835587376,-69.33199673861179,-194.62956642462723,-141.64115157725757
50000,-69.4482947843112,-51.285616173016976,-76.93323733359348,-77.15846970510918,-77.81963199507356
60000,-26.203393181045776,-300.93321979431295,-63.13944713879118,-73.09751896880888,-174.68867348391575
70000,-54.606296229238566,-35.85090082169666,-63.67254519633045,-74.86110564718989,-72.14730865347353
80000,-62.68874010992221,-54.50370526721798,-33.644990288072705,-195.51476738984556,-69.1157059007666
90000,-63.08948268580383,-60.150302202563815,-70.30100707640577,-60.86776177939469,-66.08206358536829
100000,-32.429217753277214,-62.76602400274889,-8.067164361317296,-74.67812540269414,-35.31064546850329
110000,-323.235987925563,-67.74967671422314,-34.51971144674484,-67.00112651536739,-223.2908821438273
120000,-53.92140341189983,-44.80175801233202,-30.354767360562263,-64.07219807172186,-63.937543822832595
130000,-140.6499843808798,-37.45546506248658,-32.9079812763293,-61.94156724724961,-63.9196279374616
140000,-31.1415967396283,-32.835472630965526,-52.96316364248213,-70.96336204043737,-98.40845480225124
150000,-29.90483522658125,-67.33073619817517,-55.72868786051315,-223.5125725230968,-67.61700151135084
160000,-260.1530901213842,-31.942226113039663,-63.59660029883595,-233.8156755865436,-41.48046541847205
170000,-31.31909552238468,-36.89259223579762,-91.79241825015116,-28.224522183980653,-60.80032168741892
180000,-260.7543250585196,-64.51176817043111,-67.14824367365392,-55.3048636999284,-206.11969522887597
190000,-65.71402429103301,-54.82097144437779,-64.44129734937886,-40.02255473975936,-69.79906016219078
200000,-59.871698435137645,-43.26856652986911,-32.058998065201706,-54.270655750123474,-39.416834007117494
210000,-30.26581283379808,-45.505859817706245,-58.77808845323771,-73.89777701918864,-69.70604471106694
220000,-64.44396145833497,-52.3525142432342,-206.3081963167641,-64.39422499027306,-67.1716106077534
230000,-63.81574802052912,-30.52775731102025,-56.00415668325648,-60.1625047800318,-68.78771926319317
240000,-33.87875580396151,-58.94419602838058,-44.38557596470855,-60.16923130578567,-231.4067499491021
250000,-65.2819186429968,-44.5261651231621,-214.401118604234,-66.30960103782249,-58.730271538132115
260000,-28.762912966045523,-71.89576764808265,-44.797863591530046,-32.23770359221652,-209.57803682968975
270000,-55.2290987357937,-30.215643348117048,-70.1520749267185,-30.3458131680572,-230.5021454089045
280000,-61.2398186961278,-45.07226668930495,-66.54551143847343,-61.037955067438254,-74.15433047112009
290000,-59.26090499331039,-27.01387905253201,-63.41656565848047,-58.86277498515692,-46.29348788218324
300000,-70.16856777210965,-58.312833807739935,-425.2020576300633,-38.69888164574177,-46.34933485195979
310000,-59.361004780587805,-43.25287834633734,-65.27613161298751,-30.79785681384281,-222.89547941571692
320000,-9.086056369971084,-47.851333154579535,-426.0976417667339,-197.6510766774301,-64.54860579691615
330000,-59.16980848777322,-62.36098615664911,-34.37644395631612,-67.49770990769102,-35.9437800699703
340000,-124.16582452674632,-59.88404580362794,-425.25486624612,-64.93625004312112,-35.063035199442346
350000,-61.927619472401865,-63.7340552392802,-76.67600610860889,-46.36801221569626,-63.20299574735339
360000,-112.9404996560333,-57.96349117879612,-33.243108626310814,-62.77928900952604,-47.07760593088614
370000,-40.26296598990086,-64.00667999757447,-110.29999537873152,-38.705124168752896,-39.223094306882366
380000,-146.49425992222749,-8.452251101950319,-260.137751015276,-39.40210083875312,-42.78035158918676
390000,-52.87599745687619,-71.76319605800167,-67.59075397589636,-67.73903513455913,-287.31311655862925
400000,-58.38157876460773,-258.88121926725177,-32.23473318480487,-40.67190799684382,-41.89803281997905
410000,-79.31696431065743,-59.76153722160138,-79.33053371305718,-203.9208658376573,-59.87525354433211
420000,-63.45119091717616,-91.44430133459156,-68.908641767251,-36.967861840164936,-81.72199544785289
430000,-51.3880243665475,-59.40481741094656,-63.7496803015644,-52.30093281493028,-160.03757750202664
440000,-40.43127601130879,-35.5470208769092,-32.70003754990103,-60.63862551230888,-270.130033185003
450000,-380.86714118807225,-43.29753134208261,-53.79254489401016,-65.29512381753095,-77.30551125819308
460000,-53.515440423460056,-67.73749452508272,-208.2732564696379,-66.3378633274713,-42.244985297040714
470000,-278.31978285116384,-29.49412731802183,-65.89840215590897,-37.001731831312725,-237.24664343057313
480000,-62.19732983840581,-31.32649417811821,-86.33894879591966,-31.917604235036837,-83.0169009135441
490000,-381.97065749868,-259.24894785406366,-31.645496132622608,-180.52474252494247,-73.97646252316699
500000,-48.247599982945694,-39.29392547674822,-66.68610205479521,-187.02982875516184,-65.71640480861751
510000,-60.7267005250412,-32.89523161736335,-32.34887907927297,-37.08680955572434,-71.08209099672021
520000,-45.8445937724545,-72.22899205085886,-50.85884087858686,-190.9819208934705,-70.66767216993105
530000,-62.60589395343217,-43.42326614803082,-61.01370440117172,-37.74729889541725,-39.93126157982687
540000,-63.85661096067915,-50.788325995427215,-101.04659621064832,-37.31975797232309,-70.78673969504753
550000,-34.497519073515925,-211.75633368223865,-205.1628781856037,-65.4179319361275,-80.20765560823006
560000,-34.399969952110354,-68.2749597660033,-51.41880905268472,-63.56350968659029,-63.733252740432036
570000,-36.42239256712737,-44.12170927616998,-41.98753908792331,-63.795346498917766,-65.7047912331847
580000,-37.91218032179165,-58.72985651185742,-30.27225364757971,-36.91778554740781,-152.23363092481176
590000,-377.6589803554488,-58.33760273646924,-61.92497158820855,-59.45597850255251,-82.0120769834835
600000,-378.122622242578,-267.41046615170234,-67.68993810142902,-45.64044523593892,-94.11050984085571
610000,-34.859314253138336,-89.8019009154247,-208.6869612426825,-55.83373709584168,-88.01277810924043
620000,-65.3538238221202,-59.057113901412215,-52.78247293370653,-33.793980334308934,-39.27115838168114
630000,-59.68196274635282,-266.0561898039279,-30.64921190961936,-37.53217700755445,-39.77692375044282
640000,-61.6280121178248,-62.81934816835292,-89.66063203331717,-69.6215560171109,-82.22928862018077
650000,-66.6174734415316,-220.91571947785545,-87.25844259853545,-28.38637878888254,-41.03417095882563
660000,-58.19847659075722,-50.07589397721222,-43.50353517680813,-38.97731700641274,-261.2063465513685
670000,-49.047115859388015,-44.24667919856424,-42.64797579052727,-59.421775867436736,-83.39846109967462
680000,-66.48866011068932,-50.36129487200295,-68.43279172670978,-61.7221151116339,-60.36197529794761
690000,-66.40200052820623,-30.851947987941664,-29.93383811895476,-79.93727710258327,-118.18997375920523
700000,-32.68028053920753,-44.05056817404422,-65.28277075531983,-44.519044784381485,-87.97191547762327
710000,-116.57788614201893,-109.16999734628456,-57.43182928631016,-54.97321212196726,-44.49019264319396
720000,-32.6408386312348,-101.74282654496044,-42.21520244936382,-27.24936903136764,-75.76970372094401
730000,-54.59791349585606,-108.57120036178372,-56.37343041487212,-62.7821337497136,-63.68401466268355
740000,-62.60360518441372,-44.747615215404025,-28.745333453785275,-35.99313220200934,-68.0788444611665
750000,-57.54371160496773,-53.62323140020871,-29.54984856337796,-34.57689304646295,-67.65294632790092
760000,-57.63433129889008,-50.89895084014445,-44.20693276556535,-61.79094892384974,-61.437893206813065
770000,-51.11386066348594,-44.587286789645134,-52.80259682237022,-53.89608736823987,-46.66362004733049
780000,-65.54670295616052,-59.1456660515897,-42.07040112228824,-34.7616519504295,-95.00648016619594
790000,-31.811989014404084,-73.23365629013855,-56.18085867316283,-51.35822466715287,-61.39757675953682
800000,-54.274423028390174,-58.50298458469243,-42.19878238422767,-28.158734566512145,-87.69121018927827
810000,-51.68123925628606,-61.7648953186357,-41.91397604830114,-62.06222828988343,-64.71026098170091
820000,-80.38856045178693,-44.45160724013863,-35.33656628715566,-61.99945766861865,-47.68115731387131
830000,-51.6273865032141,-59.39630270323656,-60.37532924337404,-47.11007812566811,-66.23852485494675
840000,-63.51574075118468,-58.659374656192384,-67.09389819607098,-36.5537677086034,-62.18527935091991
850000,-77.62376175953081,-85.31799093183096,-38.00889998474284,-59.196054157649215,-42.23789555482219
860000,-62.94834668680674,-65.60163549235254,-61.99251817112135,-33.084431498386294,-58.51358098743046
870000,-32.582007854384955,-65.59423442697057,-52.268770175159965,-30.15573090337014,-40.46695444017816
880000,-45.02621025006833,-59.26712185112063,-64.47926077817274,-57.74809794223846,-69.11294234062788
890000,-56.94681685727309,-49.52779374417952,-34.84009840746233,-36.05575586115084,-58.452079391755525
900000,-61.84414501842099,-60.24169954943357,-33.90736215348059,-36.46755248404757,-119.39158309764659
910000,-32.73343334429904,-26.76816992321538,-56.36691325744983,-45.1292467381792,-45.10905945458565
920000,-80.79529040079198,-50.633836334130336,-41.13298788948843,-58.52628310230202,-60.60604591210894
930000,-56.57990737214337,-40.04077679239025,-33.84355282562213,-64.4036197887727,-222.8685105298909
940000,-83.60114616108991,-59.64934022358619,-39.07839503540508,-46.37728317353596,-38.31317887980994
950000,-68.12051234559598,-67.41914035600831,-34.06709426335488,-47.64379035112994,-57.91081512206248
960000,-68.98002028937462,-41.69022438942508,-38.472178751767714,-28.08759950060924,-44.26208647245983
970000,-32.350385001268634,-43.7225917298541,-60.86287240415879,-65.0845551787508,-57.774395512275646
980000,-46.28537191605713,-66.6693918213172,-28.50676760138291,-54.752611678796455,-39.01266520204946
990000,-89.45222924678598,-68.07936159001859,-56.38005491348196,-59.70850857508184,-58.11643466050711
