step,run_0,run_1,run_2,run_3,run_4
2048,-2.843153275921941,-2.845922814682126,-2.842211028188467,-2.8399842653423546,-2.8354159604758022
4096,-2.849768426269293,-2.8590337544679643,-2.8538704697042703,-2.843551382049918,-2.8497275829315187
6144,-2.854544846713543,-2.866289723291993,-2.860672962665558,-2.8552665058523417,-2.865913551300764
8192,-2.852347822859884,-2.872178318351508,-2.864391151815653,-2.869359529018402,-2.856417705863714
10240,-2.85395573489368,-2.873850737512112,-2.867147359251976,-2.870714873075485,-2.8428835794329643
12288,-2.86023881547153,-2.869781531020999,-2.868780982866883,-2.8642132811248304,-2.837502971291542
14336,-2.864176895469427,-2.869063066318631,-2.874530278518796,-2.8735092785209417,-2.835456834360957
16384,-2.87066637724638,-2.8742002815008165,-2.8845906782895328,-2.8746513068675994,-2.828689780458808
18432,-2.8718043122440577,-2.8886008113622665,-2.8899488750845195,-2.8785492815077305,-2.823668007180095
20480,-2.874548852816224,-2.899659289047122,-2.903440520912409,-2.8959999676793813,-2.8261791337281466
22528,-2.8728279773145915,-2.9016049046069385,-2.9089594535529613,-2.9038469258695843,-2.828206502646208
24576,-2.871570643782616,-2.902674601227045,-2.903307453170419,-2.9164017025381326,-2.824150151759386
26624,-2.870105250924825,-2.901697685942054,-2.893350025266409,-2.923188140615821,-2.8184119917452337
28672,-2.8659004103392363,-2.905138937756419,-2.886639185249805,-2.9181240197271108,-2.8119543943554164
30720,-2.864566561207176,-2.909962148964405,-2.887223321571946,-2.9029203087091444,-2.803895243629813
32768,-2.871461423486472,-2.905467211827636,-2.879993113130331,-2.890721811726689,-2.7952771417796614
34816,-2.87895924448967,-2.892647305503488,-2.8700373720377685,-2.887556904181838,-2.7868032459169627
36864,-2.881038483977318,-2.8828127019107344,-2.8620775289833547,-2.8847847267985345,-2.7816016994416715
38912,-2.877720359712839,-2.876663226261735,-2.853144238889217,-2.8764157444238663,-2.792916885390878
40960,-2.8692545253783464,-2.8702436301857235,-2.848781928792596,-2.8694282360374928,-2.8015216886997223
43008,-2.8550131525844336,-2.8592399582266808,-2.857713445276022,-2.86481334939599,-2.781119564548135
45056,-2.84823525249958,-2.851147312298417,-2.8518974110484123,-2.8578317757695912,-2.7577273182570936
47104,-2.8489405822008846,-2.842740060761571,-2.840837388113141,-2.8502365719527005,-2.7570081084966658
49152,-2.842247832939029,-2.825644294172525,-2.8374201096594334,-2.842110251635313,-2.7597186245024203
51200,-2.8373347487300635,-2.814687642082572,-2.831340024992824,-2.836151922121644,-2.7541485492140056
53248,-2.8398368757218124,-2.809006611257792,-2.822071498632431,-2.8232755519449717,-2.7340936705470087
55296,-2.8386268854141234,-2.8027074832469223,-2.818600210919976,-2.816593824699521,-2.717079532891512
57344,-2.835989349335432,-2.788583152741194,-2.823294865712524,-2.8070493265986443,-2.7133679635822774
59392,-2.841235828772187,-2.7729134764522314,-2.8243752982467414,-2.805583492293954,-2.7147261068224906
61440,-2.8434408769011497,-2.765088329091668,-2.8239880215376614,-2.8066809840500357,-2.7185598969459535
63488,-2.841213493794202,-2.7539657555520534,-2.827050142735243,-2.797420658916235,-2.716654261574149
65536,-2.845304028689861,-2.7480511792004108,-2.827277662232518,-2.7920415926724678,-2.7054663453251124
67584,-2.8351965826004744,-2.7367574244737627,-2.8267992220819,-2.7816336937248707,-2.6971135552972556
69632,-2.818718342110514,-2.7256577894091607,-2.8215416099876167,-2.765100045874715,-2.6924136247485877
71680,-2.81451227106154,-2.7165497686713933,-2.819914050400257,-2.7467458721250297,-2.7016023602336645
73728,-2.80215950794518,-2.71129390001297,-2.8159948099404573,-2.743295346572995,-2.7011938761919736
75776,-2.7969658598303795,-2.709197813645005,-2.8024510074406863,-2.741408671066165,-2.6945640582591297
77824,-2.798773968219757,-2.697523726150393,-2.7912277899682523,-2.7387349158525467,-2.6818756628781557
79872,-2.7997078940272333,-2.682398014888167,-2.777053775638342,-2.743817399442196,-2.6737002212554217
81920,-2.7940243132412435,-2.6666313473135235,-2.768457318097353,-2.7450762394815684,-2.6591916430741547
83968,-2.784173513948917,-2.6537667285650968,-2.762563318386674,-2.7269868824630974,-2.6421701543033125
86016,-2.769550123810768,-2.645765282586217,-2.754740821570158,-2.708944820985198,-2.6349132005125284
88064,-2.756033381819725,-2.643240510299802,-2.751513650268316,-2.7048110891133548,-2.6220190439373257
90112,-2.7431045807898045,-2.6395457085222005,-2.7478144578635693,-2.7004068229347467,-2.610612786188722
92160,-2.738719840720296,-2.6270883075892923,-2.751265884935856,-2.693767497316003,-2.6103864196687936
94208,-2.73799046613276,-2.616191044449806,-2.7692559991031884,-2.6808115493506195,-2.61488070897758
96256,-2.720671366155148,-2.612259339541197,-2.7810017872601747,-2.6660931576043367,-2.609516904130578
98304,-2.710479398816824,-2.6009993642568587,-2.7883151646703483,-2.6605895671993496,-2.597002521902323
100352,-2.706378834322095,-2.590728436037898,-2.7840089429169894,-2.647652592509985,-2.584006470814347
102400,-2.702460492029786,-2.58529086522758,-2.777304146438837,-2.6338896948844197,-2.569642419740558
104448,-2.7012027498334645,-2.5770787224173546,-2.7756821807473897,-2.621238201856613,-2.554296851530671
106496,-2.695989667996764,-2.567368541657925,-2.779249365255237,-2.6150415048003195,-2.5442765969783068
108544,-2.6964538976550103,-2.55772188603878,-2.77707217335701,-2.618936436250806,-2.5349642246961595
110592,-2.6981549125164745,-2.5609906923025845,-2.7697774309664966,-2.6247842639684675,-2.5214899059385063
112640,-2.685991217195988,-2.554126050695777,-2.7620596919208764,-2.629084285348654,-2.5043087650090454
114688,-2.6767465200275185,-2.5385464776307343,-2.7583680801093577,-2.628389926254749,-2.4935224283486606
116736,-2.6771910194307567,-2.535634032264352,-2.761205288395286,-2.62061424292624,-2.486734702810645
118784,-2.6797257721424104,-2.534520634263754,-2.763898131623864,-2.6094756476581096,-2.4895702533423902
120832,-2.6675457965582607,-2.513509872183204,-2.755814078822732,-2.5984087642282248,-2.4973038129508494
122880,-2.6545828986912965,-2.503097773715853,-2.7324656650424,-2.588221023231745,-2.4914595015347003
124928,-2.6479733821004627,-2.4992338087409736,-2.71594252884388,-2.584127613157034,-2.47389738149941
126976,-2.641510019823909,-2.4924393434077503,-2.70164555311203,-2.586920630186796,-2.4587161555886268
129024,-2.6304434005171062,-2.4746772781014443,-2.6945528257638216,-2.5864356577396395,-2.4494993232190607
131072,-2.6149112161248924,-2.4525807708501817,-2.6894609898328783,-2.5862037498503923,-2.447117719426751
133120,-2.603510069102049,-2.4358385864645244,-2.682945565134287,-2.585194161534309,-2.451875138655305
135168,-2.596077222377062,-2.422890405729413,-2.6820958260446788,-2.5724379222840077,-2.4567444045096636
137216,-2.5891272272914647,-2.4037962783128024,-2.6736230507493017,-2.566594381257892,-2.455006179958582
139264,-2.5861598651856186,-2.38672615326941,-2.6605376094579696,-2.5704325795173646,-2.4541428998112678
141312,-2.583914515376091,-2.379149181768298,-2.650702739134431,-2.563855444267392,-2.447753988951445
143360,-2.578327916190028,-2.3688438661396503,-2.642771284282208,-2.5558256428688764,-2.4380758959800004
145408,-2.5746886674314737,-2.358820553123951,-2.636593345925212,-2.556948207318783,-2.432730510085821
147456,-2.5709776122123005,-2.3555346988141537,-2.631001771613956,-2.545041097700596,-2.434373050928116
149504,-2.565008537098765,-2.3569388180971145,-2.6286380879580973,-2.53771718852222,-2.4333744373172523
151552,-2.552798191830516,-2.364411544054746,-2.624226499721408,-2.5399896766990424,-2.436999138072133
153600,-2.547810770571232,-2.3648975390940903,-2.615299107134342,-2.5340999394655226,-2.4392830964177845
155648,-2.539839956909418,-2.3519469548016785,-2.605873842537404,-2.5125472258776425,-2.4384607672691345
