step,run_0,run_1,run_2,run_3,run_4
10000,False,False,False,False,False
20000,False,True,True,False,True
30000,True,False,False,False,False
40000,False,False,False,False,True
50000,True,False,False,False,False
60000,False,False,False,False,True
70000,False,False,False,False,False
80000,False,False,False,False,False
90000,False,False,False,False,True
100000,False,False,False,False,False
110000,False,False,False,False,False
120000,False,False,False,False,True
130000,False,False,False,False,True
140000,False,False,False,False,False
150000,True,False,False,False,True
160000,False,False,False,False,False
170000,False,True,False,False,True
180000,False,True,False,False,False
190000,False,False,False,False,False
200000,False,True,False,False,False
210000,True,True,False,True,False
220000,True,False,False,False,True
230000,False,False,False,False,False
240000,False,False,False,False,False
250000,False,False,False,False,False
260000,True,False,False,False,False
270000,False,False,False,False,True
280000,False,False,False,True,False
290000,True,False,False,False,False
300000,False,True,False,False,False
310000,True,False,False,True,False
320000,False,False,False,False,True
330000,False,False,False,False,False
340000,True,False,False,False,False
350000,False,False,False,False,False
360000,False,False,False,False,False
370000,False,False,False,False,True
380000,False,False,False,True,False
390000,False,False,False,False,False
400000,False,False,False,False,False
410000,False,False,False,True,True
420000,True,False,False,True,False
430000,True,False,False,False,True
440000,False,False,False,False,False
450000,False,False,False,False,False
460000,False,False,False,False,True
470000,False,False,False,False,False
480000,False,False,False,False,True
490000,False,False,False,False,False
