step,run_0,run_1,run_2,run_3,run_4
10000,-87.75461514769731,-79.26276255214233,-271.1042806387288,-211.8425231334608,-108.01323783331023
20000,-68.71513683415661,-260.08160373928007,-41.890245903872014,-92.1005078274522,-49.13100170278394
30000,-159.99060156478373,-167.82565253516128,-45.73605553410117,-80.6043764300412,-14.742160573503156
40000,-31.93464552259715,-150.01021335262067,-40.3845935992355,-109.2903109436034,-73.94127747342822
50000,-56.48701773448197,-36.536596998280224,-34.52528367665069,-60.3805046742245,-66.0687040218473
60000,-57.31678756144724,-51.17256821990581,-14.669026705514808,-33.38766727796026,-146.59896756738016
70000,-53.425484070661255,-57.719168865951936,-56.75482308547805,-73.03520728008357,-33.923922626960334
80000,-35.826860554956475,-56.45355002683053,-57.21116155939616,-35.38296702004205,-56.98642876480549
90000,-29.755775145401937,-48.15504711830863,-56.78500698305788,-45.4897849460731,-53.66094298641761
100000,-47.146856947238746,-166.45756898948537,-12.102046407772766,-42.77493551548618,-13.394547189083598
110000,-44.35131746560805,-30.08878351985956,-25.65971683387564,-33.311456881547954,-12.934619463424257
120000,-31.56431335048116,-38.390926523873766,-54.84208368926568,-22.91624263633559,-29.373516317145153
130000,-24.71303976891793,-34.38316618296032,-29.934586916322232,-42.72383433408093,-46.93452238677216
140000,-31.5056686130269,-134.29168549924862,-9.945541067081315,-12.673443431317944,-34.01093174793402
150000,-21.01700257564172,-44.82036710327837,-49.79653013655391,-25.482801315657508,-12.189665412668873
160000,-43.5648911220138,-59.38109168040214,-47.91755564082413,-48.1461405657608,-41.767982690510635
170000,-10.533476019118057,-28.597163184596308,-47.72046059373942,-28.196538452440745,-28.50205356891691
180000,-10.947114994756008,-26.85494885733689,-12.15232900905734,-35.439616209787246,-11.013181220169809
190000,-30.48764854096601,-35.83705898912082,-43.1146293294186,-47.20353718109427,-42.93745838780027
200000,-10.886697832362431,-31.84881095134129,-30.09492213949816,-25.266990153889168,-29.029327320417277
210000,-27.7909493167398,-51.97584041468612,-26.32515046207672,-10.432854164640922,-12.118067460356755
220000,-10.126628257784567,-43.40525127467332,-48.47905000978263,-43.98010894846793,-30.066293270470545
230000,-103.32905931859656,-10.359645088205554,-13.380597639029386,-11.484339609727677,-33.18278905282818
240000,-11.000481743363771,-51.770453666658725,-12.796528718409968,-38.714338990074936,-9.993101657245997
250000,-23.328233080759745,-10.755276543181855,-45.5500346025988,-11.241506857047854,-40.11371325972593
260000,-30.456718353622108,-30.298587760270912,-10.635998576422647,-10.375615688520226,-10.857140001953379
270000,-50.7684480921998,-47.95028868588845,-25.929892453018027,-11.39659995316662,-47.367675803410094
280000,-24.980059825457463,-9.70449151775999,-25.47384847096832,-13.60310380660137,-25.25358209356522
290000,-9.38522193362184,-28.50476987439632,-45.03456674807786,-39.301133240851584,-44.16940473630891
300000,-29.356917361545044,-25.52214007964724,-10.009030986896768,-27.39858525025741,-41.77829460500212
310000,-27.60774239132381,-10.277877433087232,-12.474952522870502,-11.164312795704436,-10.239361988076299
320000,-9.530243386817167,-27.517452536351755,-12.449560605851229,-9.912670540803616,-10.09701908978681
330000,-42.2071038060551,-40.13369357350243,-36.84946253417603,-12.97829198288546,-35.17895808509107
340000,-26.59583561472072,-45.76653364411734,-10.251884695271324,-27.792692791436693,-40.286498297819605
350000,-9.48606418774424,-28.00801737980682,-45.33980160412587,-23.25963823271779,-25.11857049119821
360000,-23.21025888045364,-25.925040392127915,-28.61271026897511,-26.507814659506693,-49.10504118148489
370000,-9.432360758766936,-22.955207211441355,-11.198878173345324,-9.840537807010248,-10.037395042070111
380000,-10.044274176214913,-27.201508826564226,-10.34059818565587,-13.373254709389515,-13.35973732902946
390000,-12.07442004616861,-26.12709116378221,-9.99421200571723,-26.550968568175414,-10.154601920641015
400000,-23.468785113637857,-25.14395138989337,-25.998727306086664,-12.600818765522837,-13.047732162422436
410000,-43.525448589754525,-44.79381785027718,-28.95166518513484,-10.492109756078534,-107.47526171761845
420000,-9.918745239047768,-9.7346987820635,-42.81492780382864,-12.079074316986455,-10.582477000090577
430000,-9.71240434044416,-23.52032007831963,-10.126777605632093,-25.86326043368729,-9.975058381516419
440000,-24.112009775220823,-10.676559918336496,-10.759633943309645,-10.243934587080918,-13.582734465030446
450000,-9.635667600573903,-10.257989574123767,-9.55880663877879,-9.953796448322224,-26.196630768851925
460000,-24.107395344264955,-23.280441857899664,-12.854639275409566,-27.045025173103653,-24.69471597710074
470000,-23.4711423618126,-22.574516887006524,-9.504696122434492,-9.549428238490394,-27.21308748115371
480000,-11.111381613130012,-25.431051701128563,-12.4699453154337,-25.340248507470147,-10.50470151623096
490000,-9.229713229244886,-42.96688072754228,-9.492374632112885,-25.112634045820663,-9.933611821692173
