step,run_0,run_1,run_2,run_3,run_4
10000,-64.3470096572595,-46.11536156102859,-48.17951384436097,-62.7546126294764,-51.667433667854986
20000,-60.44599673692888,-61.30660662327124,-50.58127396848222,-57.07462168255495,-51.25505266501861
30000,-59.65062520506168,-62.8859979106631,-49.93368934951527,-59.650075475479966,-42.42983946337061
40000,-48.67929424890429,-48.70685924955895,-48.64603346460811,-49.333931557465526,-59.02591089317537
50000,-48.119331310210434,-43.0801649476061,-48.00259792348967,-42.403154078206455,-58.20213920459861
60000,-53.82121968909215,-53.71748004165059,-47.385433229270994,-53.47115178556712,-53.55416446356131
70000,-47.64686017132399,-57.66976581738263,-42.74702579247607,-42.48557942201119,-47.41036488545115
80000,-53.3914353056826,-53.53113978978578,-43.07375589222103,-53.44177928406069,-47.38308078232267
90000,-42.794283575001245,-48.21522128025835,-54.87136926563893,-47.50933963036188,-53.770095762593904
100000,-43.75375608963592,-48.2034929830179,-43.8189014517418,-47.49360023173792,-53.93189909079628
110000,-44.134118581484856,-48.95558174947672,-44.3353665021941,-42.8234775789616,-43.00692382556471
120000,-43.72788762918762,-42.52036807807518,-56.243315806437685,-53.47892361747482,-47.36210845438479
130000,-47.60501523123466,-58.75601545602141,-57.35013259350092,-57.400265712531606,-47.40843462843604
140000,-47.4546905320175,-42.40440877065953,-47.73300433112527,-53.42470821948538,-57.24649533732465
150000,-57.36999283963975,-54.75845707902379,-57.24606716369525,-57.4402820733831,-57.35610794402058
160000,-47.4553200131083,-58.774846195524745,-47.54175993124458,-57.51645149105764,-47.5113278533172
170000,-47.59707536314041,-58.78161819202376,-57.56059956925408,-53.46776828991752,-57.27417167988619
180000,-53.56783031306287,-48.2933046940294,-57.38367956034097,-47.66028506845331,-53.59450888190606
190000,-57.616307226127866,-42.75504602633144,-57.35025563914666,-53.69343126425274,-53.4716224666258
200000,-57.36650977538283,-58.78556099634728,-45.53135287685808,-57.32437095717352,-47.48078741194711
210000,-44.106933933746845,-42.87060012253891,-57.29773543305666,-47.62196483468556,-42.40040749987683
220000,-53.5023306808927,-48.88674138176548,-56.21107281639997,-47.5419130110825,-42.41907837286573
230000,-53.54528338491812,-58.75362446269185,-47.47383256372832,-42.58855566866261,-53.472888450731276
240000,-53.423354391281485,-54.85114721219284,-44.69299368108023,-57.34130993311308,-42.48721620105817
250000,-53.785670771045694,-58.75462652684179,-45.64186161943659,-42.74189442278592,-47.799978781986
260000,-48.21586136377012,-58.75484740852098,-47.42472338788467,-47.705763910109184,-57.54685007885301
270000,-48.19646392346418,-42.719511120358014,-45.70112545198207,-57.38843868040309,-48.02701456111066
280000,-48.19562831100632,-58.78406920919326,-57.27537728014303,-53.600262404507134,-53.4666347414496
290000,-43.83565025257772,-48.96411430188586,-57.42873708222873,-53.66397490965481,-47.981296191097805
300000,-42.93928082275062,-48.96409414680198,-45.71881543802415,-53.739262752036815,-53.40055030391667
310000,-42.91868726371321,-43.08509926052719,-47.64576404160353,-47.86162629622598,-53.41605536615669
320000,-53.98223460448358,-48.96432317945111,-47.366222132079855,-57.38049224200299,-53.42639054173271
330000,-48.21423113651119,-44.26138811803608,-57.271128500801154,-53.57393655490902,-47.75414027296351
340000,-57.7652051809889,-58.79818880147818,-57.36473756187933,-47.71614801213912,-53.394425387659034
350000,-57.769048746701394,-48.964293885920085,-57.44626819889805,-42.4787594136885,-42.534633863710965
360000,-54.11673444408926,-48.9646367698675,-57.47610656446901,-53.70438258339789,-57.518408042592284
370000,-42.58348917897362,-48.88704765870188,-57.38381577665156,-47.73012146660234,-57.59568557068816
380000,-57.91248885790297,-42.509974500643104,-45.32846699324105,-57.38240377891877,-47.94192172855613
390000,-53.67786194202127,-43.34538750138841,-56.038656529485,-57.30894146201659,-42.767748060028076
400000,-57.773931918337865,-57.96246302852701,-55.14491124396427,-47.42082044608088,-53.43066283631214
410000,-57.82919230835498,-54.44118779591695,-47.65315401833874,-53.79926394702787,-42.76182141372419
420000,-48.84438019806272,-43.1931129909359,-47.61081115439492,-47.4914771694719,-42.98773960514412
430000,-54.38920119483946,-42.89291077631649,-44.4072625429723,-47.82914555150175,-42.9640097078144
440000,-48.94112719255727,-42.37604824135662,-56.12265397686178,-47.80935189232976,-53.57869976044813
450000,-57.80905725816046,-48.8869624245728,-44.810854696591306,-43.92551256747368,-57.627043311089395
460000,-42.62255371627683,-42.426909932636455,-44.45983669607536,-54.20857152508895,-48.12431294353024
470000,-54.18772773461355,-48.88695268770104,-44.392848649237365,-57.26374088633929,-48.153036330097095
480000,-57.80133756299378,-57.86789783371713,-57.21008280846012,-54.03076159761614,-42.44232896717661
490000,-48.8655082850989,-48.96462551513327,-47.6268492406322,-44.18744844678885,-42.657231278526154
