step,run_0,run_1,run_2,run_3,run_4
10000,True,False,True,False,True
20000,False,True,True,True,True
30000,False,True,True,True,True
40000,True,False,True,True,True
50000,True,True,True,False,True
60000,True,True,True,False,False
70000,True,True,True,True,True
80000,True,True,True,True,False
90000,True,True,True,True,True
100000,False,True,True,False,True
110000,True,True,False,True,True
120000,True,False,True,True,True
130000,True,False,True,True,True
140000,True,True,False,True,True
150000,True,False,True,False,True
160000,True,True,True,True,True
170000,True,True,True,True,True
180000,True,True,True,False,True
190000,True,False,True,True,True
200000,True,True,True,True,False
210000,True,False,True,True,True
220000,True,False,True,False,True
230000,True,True,True,True,True
240000,True,True,False,True,True
250000,True,True,True,False,True
260000,True,False,True,True,True
270000,True,True,True,False,False
280000,True,False,True,True,True
290000,True,True,True,True,True
300000,True,True,True,True,True
310000,False,True,True,True,False
320000,True,True,True,False,True
330000,True,True,True,False,True
340000,True,True,True,True,False
350000,True,False,True,True,True
360000,True,True,True,True,True
370000,True,True,True,False,True
380000,True,True,True,True,False
390000,False,False,False,True,True
400000,True,False,True,True,True
410000,True,True,False,True,True
420000,True,False,True,True,True
430000,True,False,True,True,True
440000,True,True,True,True,False
450000,True,True,True,False,True
460000,True,False,True,True,True
470000,True,True,True,True,True
480000,True,True,True,True,True
490000,True,False,True,True,False
