step,run_0,run_1,run_2,run_3,run_4
10000,False,False,True,False,True
20000,True,True,True,True,True
30000,False,True,True,True,True
40000,False,True,True,True,False
50000,False,False,True,False,False
60000,True,False,False,False,False
70000,False,False,False,False,False
80000,True,False,True,False,False
90000,True,False,False,False,True
100000,True,True,False,True,True
110000,True,False,True,False,True
120000,True,False,True,True,True
130000,False,True,True,True,False
140000,False,False,False,False,False
150000,False,False,False,True,True
160000,False,False,False,False,False
170000,False,False,False,False,True
180000,True,False,False,False,True
190000,False,False,False,False,True
200000,False,False,True,True,True
210000,True,False,True,False,False
220000,True,False,False,True,True
230000,True,True,True,True,False
240000,True,False,True,True,False
250000,True,False,True,False,False
260000,False,False,True,False,False
270000,False,False,False,False,False
280000,False,False,False,True,True
290000,True,False,False,True,True
300000,True,False,True,False,False
310000,True,False,False,False,True
320000,True,False,True,False,True
330000,False,False,True,False,True
340000,True,False,True,False,True
350000,False,False,False,True,False
360000,True,False,True,False,True
370000,True,False,True,True,True
380000,False,False,False,False,False
390000,True,False,False,True,True
400000,True,True,False,True,True
410000,True,True,True,True,True
420000,False,False,True,True,False
430000,True,False,True,False,True
440000,False,False,True,False,True
450000,True,False,True,True,True
460000,True,False,True,False,False
470000,True,False,False,True,True
480000,True,False,False,False,True
490000,False,False,False,False,True
500000,False,False,True,True,True
510000,False,False,True,True,True
520000,True,True,False,True,True
530000,False,False,False,False,False
540000,False,True,False,True,False
550000,True,False,False,True,False
560000,True,False,False,False,True
570000,True,False,True,True,True
580000,False,True,True,True,True
590000,True,False,True,False,True
600000,False,False,False,True,False
610000,True,True,False,True,True
620000,True,False,True,True,False
630000,True,False,False,True,True
640000,False,True,True,True,False
650000,True,False,True,False,True
660000,True,True,True,True,True
670000,False,False,False,True,True
680000,False,False,False,True,False
690000,False,True,True,True,True
700000,True,False,False,False,True
710000,True,True,True,False,False
720000,True,False,True,False,False
730000,False,False,True,False,False
740000,False,False,False,False,False
750000,True,False,False,False,False
760000,False,False,False,True,True
770000,False,False,True,False,False
780000,True,False,True,True,True
790000,False,False,True,False,True
800000,True,True,False,True,True
810000,True,True,False,False,False
820000,True,True,False,True,True
830000,False,True,True,False,False
840000,True,False,False,True,False
850000,True,True,False,True,True
860000,False,True,True,True,False
870000,False,False,True,True,True
880000,False,False,True,False,True
890000,True,False,True,False,False
900000,True,False,False,False,False
910000,False,False,False,False,True
920000,True,False,False,False,False
930000,True,True,True,True,False
940000,True,False,False,False,True
950000,True,False,False,True,True
960000,False,False,True,True,False
970000,True,False,False,False,True
980000,False,True,False,True,True
990000,True,False,False,False,True
