step,run_0,run_1,run_2,run_3,run_4
2048,-2.846770454198122,-2.839525353908539,-2.8409719437360765,-2.8381681267172096,-2.849382311105728
4096,-2.853542998805642,-2.8437311314046383,-2.8436607606709003,-2.8471316661685706,-2.8588588517159224
6144,-2.857767672464252,-2.84879157692194,-2.836396685615182,-2.8534646950662137,-2.858222997933626
8192,-2.852474215254188,-2.846144849807024,-2.8352080725133417,-2.8566214799880982,-2.865659635514021
10240,-2.856292936205864,-2.8487744137644766,-2.8287886530160904,-2.8521591115742924,-2.8694380838423967
12288,-2.863293994218111,-2.8503773868083955,-2.8295598331838847,-2.8436825603246687,-2.866040890663862
14336,-2.861908647790551,-2.851147348061204,-2.8352533973753453,-2.8412627913057804,-2.8609393782913686
16384,-2.8629325427114964,-2.8497967567294835,-2.834589720144868,-2.8449598647654057,-2.8633280608803036
18432,-2.8613025270402432,-2.849600251019001,-2.8331879265606403,-2.849839984253049,-2.86354071944952
20480,-2.859090387821197,-2.8533520150929688,-2.8309946160763504,-2.854287539422512,-2.866853576898575
22528,-2.8608725633472205,-2.8520258460193872,-2.8315137293189765,-2.8504100888967514,-2.867441551014781
24576,-2.8590300161391498,-2.8547924727201464,-2.832228123769164,-2.853730418160558,-2.8653038550168275
26624,-2.8614660829305647,-2.8528364900499583,-2.8352070432156324,-2.856820312514901,-2.8650029741227625
28672,-2.860806581005454,-2.8519290290772914,-2.836146607622504,-2.8583321195095777,-2.8668658513575793
30720,-2.864437610656023,-2.8496496129781006,-2.83921066261828,-2.856465468928218,-2.8739364709705115
32768,-2.8656931415200235,-2.8521889675408603,-2.83937939144671,-2.8553568348288536,-2.878240069374442
34816,-2.861407030373812,-2.847771155834198,-2.8388678140938284,-2.853220980986953,-2.877896561846137
36864,-2.8576280366629363,-2.84791520498693,-2.83939533829689,-2.852463822811842,-2.8784343216568233
38912,-2.8550013560801744,-2.850386122241616,-2.840267514437437,-2.8529126293957234,-2.875645852833986
40960,-2.8524763129651545,-2.852129011228681,-2.8416930798441173,-2.8553541257977484,-2.8753743302077055
43008,-2.855643260478973,-2.85423588976264,-2.8460524316877125,-2.856153416261077,-2.8749624814838173
45056,-2.85354316867888,-2.8553029000759125,-2.846559601277113,-2.8568287283182143,-2.8781600002199412
