step,run_0,run_1,run_2,run_3,run_4
10000,-102.8049119684548,-84.13131353085589,-81.22821409389286,-107.1405130171196,-94.2180208345816
20000,-270.58157994231334,-231.37918318503228,-137.51648936722583,-304.1712609579991,-111.12807347161862
30000,-26.11623321589409,-82.13788975088903,-72.14846036054158,-71.07264887917746,-188.8198090532178
40000,-63.18371533344535,-57.34020264394477,-42.52656625756205,-61.74859889270999,-31.09011412559179
50000,-29.88309035077505,-39.61110675993535,-63.73757671225889,-65.47198562604602,-67.06567708354994
60000,-29.0849452218953,-36.05229240034998,-38.342372329452914,-30.954606651159768,-54.658610242265404
70000,-28.646054761875604,-56.61152721782734,-64.03592920043141,-55.62189754294303,-55.14821516904874
80000,-63.17469244800392,-32.44936440137766,-68.06289783748252,-51.56534493673988,-66.05930119969277
90000,-54.62053345759903,-30.372659191088427,-36.020345835086125,-30.019664640643388,-34.21664083257388
100000,-69.11984401636201,-32.03085475048963,-31.485425761104064,-29.329037232956672,-32.539175997274896
110000,-68.73150603148915,-51.20718011168597,-68.3246613474324,-53.71841168758297,-34.56077822006877
120000,-51.93580483846958,-38.04729279386982,-42.42740938792703,-30.52672660236644,-56.98173095128527
130000,-27.79635789904897,-48.17162116302572,-74.02003855379706,-50.17543750690673,-34.32328725797339
140000,-62.53611041833581,-44.536208153042296,-194.7136348040748,-30.046614664132854,-47.4946893213105
150000,-27.37426073608622,-30.49284573864349,-45.851547679952105,-31.71583661864049,-34.93359370004492
160000,-36.29116900549458,-45.18205087500989,-55.009008499024574,-60.65473327516288,-47.73705690354861
170000,-60.887440642004975,-31.979282848494435,-54.57366308416896,-49.93231693870834,-35.44853770816155
180000,-61.0522886714118,-34.478635468248726,-28.07577724663197,-29.203300133996507,-34.90037398446477
190000,-37.954638185429424,-32.26590080651985,-7.975998592363076,-24.588538747804574,-59.78538976150652
200000,-40.30260762394676,-48.03091417021309,-156.70419228717765,-30.293132858195012,-33.80812711992007
210000,-51.62878697741736,-46.28048393624054,-33.896410157041444,-28.05004057134069,-33.38456072993672
220000,-32.894781790583146,-45.64194062843438,-49.91479531825159,-44.13251097642096,-52.126975327885845
230000,-48.56617963172333,-28.867657373764214,-42.46154523863707,-49.7048740529963,-55.14280252420604
240000,-60.05600356218747,-26.109256635648123,-130.83456777410294,-30.432039528955947,-31.073799881428332
250000,-207.0949055587818,-43.43906171019171,-53.07359258521932,-60.67478211456501,-38.62446524502455
260000,-45.70876192835426,-46.42523044506281,-53.21167909961862,-30.670966615571544,-32.335050077521124
270000,-195.7595857624306,-42.25748545240058,-52.48259637739068,-30.871332400330928,-50.6982401239912
280000,-40.33515463350215,-42.03631761254961,-47.43693899987433,-26.260413829746387,-31.97988182157453
290000,-36.197005835044,-28.28323669584709,-53.98785698649127,-27.43467316336108,-32.156444072627046
300000,-34.55396281906127,-43.682785331750445,-33.70178493443736,-7.499180476038368,-44.46912517195145
310000,-225.02438789180044,-42.62189341088525,-48.38255394296309,-47.869645465605416,-33.3356506852981
320000,-73.13251234189453,-43.33698023814267,-29.867361613474188,-44.4298031035777,-50.22052507092758
330000,-34.52457938103235,-29.39820125343141,-132.96878610241754,-45.841650403867646,-47.110198885660175
340000,-49.8978390574983,-62.816784256018295,-35.271979434577375,-60.61583506888771,-47.3172967051582
350000,-35.71382346491282,-43.24225517969767,-53.00003534228442,-46.98484591608481,-37.72531565160298
360000,-37.11170353242965,-48.05404014173387,-28.069954702845067,-60.61535715044624,-49.074482009789435
370000,-68.25030418998597,-28.53342424643936,-103.58255587379,-43.36650175295013,-41.407068377992594
380000,-245.42617695366977,-43.00618455926781,-28.75788939524066,-30.453762140762045,-29.36955488760485
390000,-71.27231286173696,-46.17076552656511,-32.77940757930472,-44.80659882818658,-38.48663569684331
400000,-47.33557903717478,-41.98978112211113,-27.72994439712675,-41.0038559624611,-50.48119774040083
410000,-33.2458500870015,-62.89693575909743,-42.397130377894825,-47.5110481435791,-48.54707525491884
420000,-36.90731896292061,-32.50304123006282,-27.588876781941856,-49.75041679031352,-47.776286929975484
430000,-47.11378236242709,-62.48158224956349,-51.439662953966575,-24.501325583510035,-49.58068631797589
440000,-53.69632561438075,-29.663918973307297,-118.5830034651555,-42.26008122171085,-41.23843257105201
450000,-51.33592761313949,-43.417606384329815,-50.584810818340415,-31.22034398973331,-47.765216238027804
460000,-35.19408537616124,-35.73161455536483,-49.66401305927249,-22.3771842755822,-50.38309445193427
470000,-65.75841313677,-45.21263266572356,-50.21587722922016,-41.00809212292761,-48.284945953469354
480000,-33.27055980129818,-43.07253120616117,-27.806141380312685,-40.85381628391125,-50.96493927669148
490000,-31.47532961201948,-28.03557076783323,-128.9806193710959,-7.48771541214957,-49.58839248666729
