episode,run_0,run_1,run_2,run_3,run_4
0,-147.3763946400559,-94.3514789130333,-106.97402067459316,-255.4191856306462,-53.919452458743976
1,-46.60865710631428,-79.21791610526299,-139.18542677624282,-127.59622200673309,-86.60964949732798
2,-103.67828212443747,-55.5055357852919,-176.52915331431683,-165.88335482932757,-70.1346306243907
3,-120.30841125284869,-79.6165589661154,-52.16181626471701,-89.01911517676824,-57.769143019136536
4,-65.40544779496278,-70.10171124298844,-159.61984996293427,-70.11548242929899,-46.26424305547111
5,-46.23867279296386,-113.52300625054109,-155.99805104997387,-78.74257259112575,-57.98092266781719
6,-106.18530392491375,-119.49430860541638,-61.34589442060221,-65.92771137455941,-124.37840000778282
7,-74.67788438797314,-70.36227756420287,-63.92178710911594,-52.760070683126806,-44.57381835125361
8,-67.64028070195818,-48.3832052568751,-78.81926361417288,-145.26907421224132,-169.2697391572342
9,-156.27528153517625,-68.35361318210099,-48.13290147287771,-63.20452849640991,-56.5555561302845
10,-91.81433715361186,-98.67477018468055,-64.13064529154494,-181.4627037976961,-145.7405029322706
11,-128.63346886589142,-134.5570110761451,-117.96814194383802,-127.71180353771352,-88.90764696388598
12,-173.21790318394085,-126.38496346237152,-45.50755548793655,-76.6059230610897,-60.09205796681453
13,-72.53053909414287,-238.24303561007525,-182.80089385403008,-60.38104770417888,-105.6403557241167
14,-74.51557230324323,-200.308888199018,-113.4741803815503,-72.63087304399026,-58.33365003995749
15,-64.422397731981,-53.44270035847821,-78.53768451198363,-69.48022279137419,-69.58545829718972
16,-52.13080233896842,-50.23391321730151,-101.89604785980188,-46.260987809736136,-64.5307150769072
17,-49.37783815034384,-69.79174114997885,-91.94341821140908,-80.09440934204838,-95.86369861806727
18,-131.40762758111714,-69.87859566714079,-49.90902130172898,-66.10863651779448,-69.00512617722387
19,-113.38427298882269,-70.10611920801118,-49.162397989671256,-68.43720797348286,-63.30599428872341
20,-50.22093708330985,-158.9316896162659,-151.06593860588038,-94.12510917966507,-113.78591322874169
21,-79.79034354324,-57.665298481405486,-68.8145184989965,-124.2807661685465,-85.8452626069615
22,-99.80959800612712,-123.55950770224337,-76.68548397689568,-149.28528433031158,-117.07394581562879
23,-45.32318238073781,-87.69914681136518,-123.20222950367916,-74.88724046194336,-49.12627973724469
24,-109.36512992952254,-90.58909085534911,-46.41682841545524,-77.25850009448375,-68.50368494176996
25,-54.84992729570144,-66.93986152658424,-88.15655086743692,-44.46543041075714,-108.32065909474873
26,-109.63460029715048,-46.31220340865842,-67.23557637255202,-80.29060812738662,-136.76556448977948
27,-163.82550161760105,-89.97102687801141,-112.29748651076284,-58.05154099625284,-92.00250496147103
28,-44.59709065279547,-81.44950225815177,-60.44323746545618,-53.68352630669431,-50.330636431494895
29,-137.3915959511075,-78.30658225502734,-116.5686858718552,-98.11826636508836,-50.37534905886032
30,-35.9004381199961,-127.24935114270356,-120.3483318342692,-112.5432023670065,-146.2381938055019
31,-134.76930136394117,-136.98401345209334,-53.98412450221375,-55.41477637006848,-113.5912750835281
32,-150.0672487761079,-284.04392578369465,-155.12401411485106,-46.350437639396645,-49.869144372264145
