step,run_0,run_1,run_2,run_3,run_4
10000,False,False,False,False,False
20000,False,True,False,False,False
30000,True,False,False,False,True
40000,False,False,True,False,False
50000,False,False,False,False,False
60000,False,False,False,False,False
70000,False,False,False,False,False
80000,False,False,False,False,False
90000,False,False,False,False,False
100000,False,False,False,False,False
110000,False,False,False,False,False
120000,False,False,False,False,False
130000,False,False,True,False,False
140000,False,False,False,False,False
150000,False,False,False,False,False
160000,False,False,False,False,False
170000,False,False,False,False,False
180000,False,False,False,False,False
190000,False,False,False,False,False
200000,False,False,False,False,False
210000,False,False,False,False,False
220000,False,False,True,False,False
230000,False,False,True,False,False
240000,False,False,False,False,False
250000,False,False,False,False,False
260000,False,False,True,False,False
270000,False,False,False,False,False
280000,False,False,False,False,False
290000,False,False,False,False,False
300000,False,False,False,False,False
310000,False,False,False,False,False
320000,False,False,True,False,False
330000,False,False,True,False,False
340000,False,False,False,False,False
350000,False,False,True,False,False
360000,False,False,False,False,False
370000,False,False,False,False,False
380000,False,False,False,False,False
390000,False,False,False,False,False
400000,False,False,True,False,False
410000,False,False,False,False,False
420000,False,False,False,False,False
430000,False,False,False,False,False
440000,False,False,False,False,False
450000,False,False,False,False,False
460000,False,False,False,False,False
470000,False,False,True,False,False
480000,False,False,False,False,False
490000,False,False,True,False,False
500000,False,False,False,False,False
510000,False,False,True,False,False
520000,False,False,True,False,False
530000,False,False,False,False,False
540000,False,False,True,False,False
550000,False,False,False,False,False
560000,False,False,True,False,False
570000,False,False,False,False,False
580000,False,False,False,False,False
590000,False,False,False,False,False
600000,False,False,False,False,False
610000,False,False,False,False,False
620000,False,False,False,False,False
630000,False,False,True,False,False
640000,False,False,False,False,False
650000,False,False,False,False,False
660000,False,False,False,False,False
670000,False,False,False,False,False
680000,False,False,False,False,False
690000,False,False,True,False,False
700000,False,False,False,False,False
710000,False,False,False,False,False
720000,False,False,False,False,False
730000,False,False,False,False,False
740000,False,False,False,False,False
750000,False,False,False,False,False
760000,False,False,False,False,False
770000,False,False,False,False,False
780000,False,False,False,False,False
790000,False,False,False,False,False
800000,False,False,False,False,False
810000,False,False,False,False,False
820000,False,False,False,False,False
830000,False,False,False,False,False
840000,False,False,False,False,False
850000,False,False,False,False,False
860000,False,False,False,False,False
870000,False,False,False,False,False
880000,False,False,True,False,False
890000,False,False,False,False,False
900000,False,False,True,False,False
910000,False,False,False,False,False
920000,False,False,False,False,False
930000,False,False,True,False,False
940000,False,False,False,False,False
950000,False,False,False,False,False
960000,False,False,True,False,False
970000,False,False,False,False,False
980000,False,False,False,False,False
990000,False,False,True,False,False
