step,run_0,run_1,run_2,run_3
10000,-142.9618777905805,-123.07770669420331,-85.13925249383789,-137.0627435121922
20000,-92.37898717132498,-57.28131742297813,-213.41133913935312,-57.864248117863504
30000,-364.8339128548464,-107.62279539717754,-49.49783631088677,-54.14312917679504
40000,-255.67837789254327,-75.84120917439188,-53.76423843315908,-93.0372213876881
50000,-289.4163635718691,-58.22983484237432,-42.09361947586666,-82.4327826650531
60000,-60.083211518849694,-53.814789738489125,-59.06356573450742,-90.80162575320202
70000,-74.38873057214884,-57.56951552603738,-59.10901753143465,-54.47992501515193
80000,-60.09776107395199,-40.64506532106366,-61.37150779533713,-68.83369113174652
90000,-47.52983312220267,-39.58729038314946,-41.80862334404117,-59.55222164851554
100000,-48.212620338254496,-63.69774526915359,-42.96539228498746,-63.572437073402455
110000,-46.733330592550615,-66.21014419907677,-61.31861655745554,-64.37062657405662
120000,-47.34953233239324,-69.2103089821384,-60.60743509727296,-48.47834059760697
130000,-70.737029216762,-60.6968455165847,-42.42959781368092,-45.357161352581386
140000,-70.06993703067371,-61.52528479925015,-56.01389528257511,-70.92348307133797
150000,-59.440904406812585,-47.1415187423929,-75.14809973110812,-60.326461808806044
160000,-72.97601675898622,-61.17175536728581,-71.61319318851824,-77.90830744760623
170000,-73.65565407568047,-47.30482428440068,-68.11168966938776,-61.483937126374165
180000,-54.39598383130338,-60.22861688345256,-69.62887024122735,-47.901646688649585
190000,-59.6753229541986,-61.39239927363617,-66.43845044652082,-77.14545325750427
200000,-61.69203250946498,-61.57093976198415,-55.34875433516984,-52.68313077431981
210000,-45.34431991909928,-50.20754842275196,-53.9822149013137,-84.04197026289563
220000,-56.95526984268791,-60.79543887009409,-44.37100212814783,-57.24625453083462
230000,-56.66915071044957,-53.246699584709006,-44.723737075916006,-46.76590052689045
240000,-57.49449676181375,-47.07224688395815,-44.72384582509631,-59.512247132703905
250000,-55.92510409239615,-54.68951666916953,-54.6585299202971,-53.207869009459316
260000,-81.19294342546767,-55.26567450999039,-44.72376813832193,-71.87039085407724
270000,-75.02620233057723,-59.38478979604514,-68.2435369025369,-65.72550278958133
280000,-75.4932213499541,-41.65348466179614,-67.32189104027903,-47.488897055699326
290000,-46.46613991009647,-72.0218187495277,-71.22766072022254,-57.93417953399664
300000,-45.37417073556324,-63.1421088820176,-57.17827724834342,-70.41587724365654
310000,-47.04106604424383,-42.24713657031104,-70.18136529402291,-70.00255706124916
320000,-56.56413828492592,-42.88980570929856,-56.649826531967896,-54.18046819419706
330000,-77.69076014865969,-67.01103546722041,-58.28713703064901,-53.79662458944359
