step,run_0,run_1,run_2,run_3
10000,-103.45566716095163,-60.73586680502587,-89.06979021131619,-86.21801746172935
20000,-221.0863568059337,-341.82269224892417,-231.15610396596225,-213.4620083328816
30000,-152.4632690814347,-95.76462552200604,-26.929291561245726,-83.12186815862104
40000,-61.53650318145731,-207.66914670337607,-35.73257225902731,-48.41073992619331
50000,-66.04156232696735,-201.2654761874591,-56.85107103178227,-61.099480232305844
60000,-32.18945778563855,-66.75832910512148,-58.67656710562471,-58.31106318436638
70000,-59.60917525659482,-30.04681749766773,-58.40810133016801,-53.418977664930324
80000,-56.29645389392081,-58.49832562416666,-31.409753054057283,-30.73006127543251
90000,-56.85752951082264,-58.33396559188985,-25.48628944707486,-40.74342792655472
100000,-29.69875370865592,-46.775620932835054,-29.56496480978244,-50.308465161944724
110000,-50.18777555929727,-46.167947358235054,-29.959949026994387,-46.4699192196462
120000,-52.445213722517735,-31.71667093927145,-30.59481430852778,-56.84634220403811
130000,-51.080008069354655,-31.12147471300616,-29.758724572465265,-50.623635343230646
140000,-26.797275091168338,-31.477661370445148,-49.72120079495868,-50.59279311523207
150000,-27.665633160072687,-49.19004011566148,-50.69336826749533,-28.29927133615449
160000,-28.089252241645315,-30.554087697583093,-22.514725160710658,-45.79479148308762
170000,-9.105580139421445,-26.115505364887653,-45.541816415634784,-34.16751952316273
180000,-29.798090317380705,-47.86761310426235,-56.38770843825698,-46.80234431875682
190000,-43.32232990932816,-49.78000239951371,-10.06694898398067,-32.66401861295259
200000,-26.22730373035224,-28.60475232955058,-10.569797870101612,-46.26475135427892
210000,-29.52642963083636,-28.48399897810525,-49.32711580501872,-46.759681586840124
220000,-24.942463305654464,-41.98115212573903,-26.485185797835573,-48.95407890181657
230000,-45.50506959216151,-28.95315795285608,-28.15674441858628,-23.154681457207353
240000,-28.74219752279126,-44.82647149454017,-10.239470567525297,-23.796893615554108
250000,-48.02024224747419,-27.928977945515868,-27.263611081719464,-23.30552457136926
260000,-10.93736170219099,-22.99642709265936,-29.931158378650387,-27.082947270984302
270000,-25.545568844974028,-27.68129117995764,-47.10899832457379,-26.622007723594695
280000,-45.40818182988245,-26.523266591263354,-10.64396540513318,-12.239473172923875
290000,-9.23145957518992,-28.0023796963782,-28.915241925459256,-44.180707716956135
300000,-30.01323274519041,-51.22986925234886,-28.28591188311813,-40.78661409105892
310000,-9.561574131058697,-9.15136924499432,-45.62460167515525,-27.358454695868225
320000,-9.10428342381378,-27.64358079933476,-28.480178765378625,-27.215535659874302
330000,-100.9720080959783,-45.43749584898585,-25.87005033727777,-44.24198934676777
340000,-41.66554844156566,-22.79544014918493,-28.795822257475304,-44.63378075994125
350000,-45.1363820603713,-45.784319467390574,-28.56890819542655,-12.102018533127993
360000,-42.86330713709438,-47.86701095261742,-8.18433394081708,-46.35684862463197
370000,-27.10761892997112,-47.069948937486686,-29.047567191096828,-40.78119382389572
380000,-44.251365627951984,-29.367453249482345,-29.06960185701689,-40.78256544006001
390000,-9.470248564147946,-8.124584904447202,-46.32643149110378,-24.09556767046944
400000,-47.50227373098231,-26.510040901903,-29.73199364413579,-11.62667250401705
410000,-7.763673421826153,-40.729430976137465,-42.29483704922147,-46.78800794754295
420000,-29.441508743448367,-44.252175015908016,-46.20430484684054,-40.75993840426075
430000,-26.549772993181257,-40.34469041952264,-46.51020498276796,-27.003782788179755
440000,-27.1462925875968,-27.143449079998007,-26.84153843440233,-43.93297204004632
