step,run_0,run_1,run_2
2048,-2.8493455171585085,-2.837309841439128,-2.837935120239854
4096,-2.8606162715703247,-2.834342063218356,-2.8441045954823494
6144,-2.866162259876728,-2.8344124395400287,-2.8492934480309486
8192,-2.868855433166027,-2.841521202027798,-2.8470364112406967
10240,-2.871383722871542,-2.8389903720468284,-2.844929874315858
12288,-2.8795291990041734,-2.838390540331602,-2.8446031749248504
14336,-2.882563929259777,-2.8373662807047366,-2.84624620936811
16384,-2.884524129703641,-2.836728673800826,-2.8452185694128276
18432,-2.8836713656783104,-2.833367584273219,-2.844575736299157
20480,-2.885451725497842,-2.829266395419836,-2.84545588567853
22528,-2.883825855702162,-2.825962119549513,-2.843170589581132
24576,-2.8839966539293527,-2.8241515677422284,-2.83874482922256
26624,-2.8841936931014063,-2.8207561559975147,-2.835045128315687
28672,-2.8823786921799184,-2.818875939026475,-2.831844097748399
30720,-2.880564755573869,-2.8146417912095787,-2.830264700204134
32768,-2.881340766698122,-2.816047156974673,-2.832084095478058
34816,-2.880019498988986,-2.815475453436375,-2.828818805143237
36864,-2.880282531306148,-2.812609300017357,-2.827400213852525
38912,-2.8796656742692,-2.8093236327171325,-2.8274725791066886
40960,-2.8798468846827747,-2.808200094103813,-2.825911982357502
43008,-2.878124906122685,-2.806779044121504,-2.825063194707036
45056,-2.8780394230037927,-2.807746636122465,-2.8237708769738674
47104,-2.8787842340767384,-2.806057844310999,-2.8252996288239958
49152,-2.879966652393341,-2.805323302745819,-2.8259887892752884
51200,-2.8804432108998297,-2.8016025952994825,-2.8243092145770787
53248,-2.879654461145401,-2.798800581693649,-2.823038859292865
55296,-2.8786948647350075,-2.8000660948455334,-2.8212896291166545
57344,-2.8766450338065623,-2.799685198813677,-2.819946997612715
59392,-2.875916838645935,-2.798232180252671,-2.818915464729071
61440,-2.8764177817851304,-2.797983292490244,-2.8176337949931622
63488,-2.874531723931432,-2.7961749345064164,-2.8166425842791796
65536,-2.872950494289398,-2.7964346393942834,-2.8177446760237217
67584,-2.871872499585152,-2.795582639425993,-2.8163690496236087
69632,-2.8719857588410376,-2.797341012954712,-2.8145425617694855
71680,-2.871069286763668,-2.797671964392066,-2.8142531771212815
73728,-2.8705999568104743,-2.7977548904716967,-2.813287948071957
75776,-2.8708078991621733,-2.7969234213232994,-2.811587725579739
77824,-2.8699759170413017,-2.7968487795442343,-2.8115744505077602
79872,-2.868899217247963,-2.7969593830406665,-2.812770975381136
81920,-2.8686697598546744,-2.7968862514942883,-2.812460196390748
83968,-2.868868187442422,-2.7958606258034706,-2.811714222282171
86016,-2.8681824676692487,-2.7965726390481,-2.8112640541046856
88064,-2.8686301529407503,-2.794841780886054,-2.8107717238366603
90112,-2.869369737803936,-2.7937257874757053,-2.8099378544837235
92160,-2.8687367029488087,-2.792834696173668,-2.808984250202775
94208,-2.868732761591673,-2.7925539541989566,-2.808790721744299
96256,-2.867366359382868,-2.791851709783077,-2.8073284357786177
98304,-2.866083597764373,-2.791618772223592,-2.8068964302539827
100352,-2.8648857578635214,-2.7914563294500114,-2.807419465854764
102400,-2.864713749662042,-2.7913128934800624,-2.8075065217912196
104448,-2.8626509852707387,-2.789457171782851,-2.806522415205836
106496,-2.862573655694723,-2.789069451019168,-2.806207315251231
108544,-2.861541422456503,-2.7886275079101326,-2.806021882593632
110592,-2.8617884185165168,-2.788159803301096,-2.805239934846759
112640,-2.861172618716956,-2.786891262233257,-2.8052190214395525
114688,-2.8608122676610948,-2.786364006251097,-2.804980241134763
116736,-2.860728634521365,-2.7849823024123905,-2.804214481264353
118784,-2.8602063775062563,-2.78430281765759,-2.8045236695557834
120832,-2.860198366641998,-2.784871450439096,-2.804008727148175
122880,-2.859550315886736,-2.784545109793544,-2.8041792757809163
124928,-2.8595981538295745,-2.783742191269994,-2.803612115606666
126976,-2.8590018399059773,-2.783000318706036,-2.8036902632564304
129024,-2.85975393243134,-2.782712959498167,-2.8032440397888423
131072,-2.859427205845713,-2.7820098545402288,-2.8028512071818112
133120,-2.859410383179784,-2.781621057167649,-2.8031302664428948
135168,-2.859072492271662,-2.781252134591341,-2.8031654231250287
137216,-2.858682668209076,-2.7812105782330034,-2.8021552015095947
139264,-2.858240345865488,-2.7810394138097765,-2.801516228169203
141312,-2.858548619970679,-2.780643904209137,-2.8012171529233454
143360,-2.8584080182015894,-2.779970863088965,-2.8007647566497327
145408,-2.85799861215055,-2.779143368080258,-2.8003013152629137
147456,-2.857382366806269,-2.7789722453802823,-2.800069050863385
149504,-2.857693675532937,-2.778786490112543,-2.7993995286524296
151552,-2.857618322968483,-2.779085589200258,-2.7991264957934616
153600,-2.8574921626597645,-2.7789345379918813,-2.7992233972996474
155648,-2.856947493553162,-2.778368067368865,-2.799422723054886
157696,-2.856208338215948,-2.777734038978815,-2.7992236629128455
159744,-2.856118533015251,-2.776833533123136,-2.798088049888611
161792,-2.856353229656816,-2.776486648246646,-2.7978624269366263
163840,-2.855579337850213,-2.7766146935522555,-2.7979513205587865
165888,-2.8554075963795187,-2.777135629206896,-2.797212062776089
167936,-2.8554669100791217,-2.7761594716459514,-2.7976069901138545
169984,-2.85500581972301,-2.7750491846352814,-2.7982361197471617
172032,-2.8547378897666933,-2.774180111661553,-2.7988563768565653
174080,-2.854658493027091,-2.7736005246639253,-2.7987381510436533
176128,-2.8549908440560103,-2.773501681163907,-2.7986335776746274
178176,-2.85503478422761,-2.773097678273916,-2.7987406965345145
180224,-2.8547688383609056,-2.772470659390092,-2.798755082860589
182272,-2.8547889407724143,-2.7721598491072657,-2.7988299418240787
184320,-2.8545968867838383,-2.771872990578413,-2.7984128668904305
186368,-2.853941537067294,-2.771123049035668,-2.797985331341624
188416,-2.8539195783436297,-2.7704429663717747,-2.79728163741529
190464,-2.8532760202884675,-2.7702982410788537,-2.7966348379850388
192512,-2.853068247437477,-2.7697624031454326,-2.7956354569643738
194560,-2.85299988463521,-2.7691220197826625,-2.795466859266162
196608,-2.852758530154824,-2.76858721524477,-2.79511026404798
198656,-2.852797855436802,-2.768777394667268,-2.7947787970304487
200704,-2.8521456204354765,-2.768128200247884,-2.7938971761614084
202752,-2.8516374841332435,-2.768183666840196,-2.7936671391129493
204800,-2.8510409902781246,-2.767875466868281,-2.7932286616414785
206848,-2.850586194172501,-2.767712536081672,-2.7923324976116417
208896,-2.8508962631225585,-2.7677257116883998,-2.7921578887850047
210944,-2.850740046799183,-2.7673723071813585,-2.791746371239424
212992,-2.8503360651433467,-2.7665990639477966,-2.7912297766655683
215040,-2.8500547986477613,-2.76622225381434,-2.791598953679204
217088,-2.8496349576860664,-2.7655782144516707,-2.7911819603294132
219136,-2.8491342831403017,-2.7652838371694086,-2.7912152223289013
221184,-2.8490044575184585,-2.7643316607922315,-2.7903166972100735
223232,-2.8482625048607586,-2.7636995006352665,-2.7900552079081535
225280,-2.848087625950575,-2.7627848464995624,-2.7896216463297607
227328,-2.847742708772421,-2.7627126686275005,-2.7896404091268776
229376,-2.847927436605096,-2.762276800721884,-2.788921881094575
231424,-2.847794850543141,-2.762028960883617,-2.7885297827422617
233472,-2.8470918983221054,-2.76197720579803,-2.7878624703735113
235520,-2.8465607780963182,-2.7618862703442573,-2.787467386573553
237568,-2.84642748683691,-2.76239383071661,-2.787967774644494
239616,-2.846494676172733,-2.7625040341168643,-2.7873264331370593
241664,-2.845804068446159,-2.7626743033528327,-2.787198584154248
243712,-2.845944331586361,-2.762423693016172,-2.7875658869743347
245760,-2.8458855513483288,-2.762057463824749,-2.7875471957027913
247808,-2.845786872506141,-2.76200935728848,-2.787165605649352
249856,-2.845823206752539,-2.7616954177618025,-2.7872093982994555
251904,-2.8459540352225305,-2.761552234366536,-2.7874409019947053
253952,-2.845834598690272,-2.761025523394346,-2.7868356138467787
256000,-2.845672461390495,-2.7609116058796643,-2.786309778690338
258048,-2.845393624901772,-2.7609222408384086,-2.786305611208081
260096,-2.844821716845036,-2.7610155258327724,-2.7861614473164082
262144,-2.844893268495798,-2.760451071709394,-2.7865863367915154
264192,-2.844535865262151,-2.759964359551668,-2.785837335884571
266240,-2.843697823956609,-2.7597820602357386,-2.785588300973177
