step,run_0,run_1,run_2
10000,-139.1303142738518,-173.23473902549688,-165.83874125520384
20000,-80.9599305077758,-377.4696028610461,-189.03800688021278
30000,-303.6137881236089,-68.12190298413866,-228.92826677805616
40000,-57.73053796336818,-59.08575635839386,-210.32682606155132
50000,-66.8097055371372,-44.919834779369936,-48.744892521470575
60000,-84.19834686511217,-73.15256408118097,-64.85941480578154
70000,-64.97743531992296,-38.78606941431821,-68.45158555285968
80000,-89.11814405261768,-63.670267100899615,-35.41568734137152
90000,-63.12649586603085,-56.47108032518058,-43.18042200218032
100000,-63.30981049974156,-56.62562958734615,-74.95471521734206
110000,-62.69459871602472,-35.74452080164256,-58.87485839747572
120000,-223.79827005915143,-70.13356054253074,-31.518172018985716
130000,-57.04258272740091,-56.22366953719175,-29.301014565372473
140000,-75.20446292490647,-43.22852829962192,-33.04539312821069
150000,-63.31232553035362,-78.11981017058804,-70.89417472108937
160000,-56.38062143178699,-54.424672301069606,-54.96444336181301
170000,-39.28546517005413,-55.9543896057926,-35.98981889166329
180000,-40.621539957622005,-53.813097715799046,-67.29994124214926
190000,-180.80184565535592,-45.42670761424318,-59.410248442107516
200000,-40.55649253940822,-67.81050958609691,-36.03037812472562
210000,-193.2040023943501,-35.10221858476515,-56.671221273646466
220000,-208.22983374720823,-49.55432704943574,-47.95451544575441
230000,-62.45700538838776,-58.56606474965373,-35.71676564721357
240000,-44.52611645721677,-46.19648867634595,-30.944333980165915
250000,-62.0426760914332,-44.75619214711759,-45.72041237976166
260000,-62.627826122572856,-57.80325900565494,-37.1738120139216
270000,-53.24382623151338,-38.93055845973959,-64.78165606262489
280000,-62.03511669615188,-50.29497210856126,-36.616696853772496
290000,-42.44798873932753,-49.538887178342094,-66.84455719764232
300000,-163.75942730977243,-49.34440570346666,-60.91487224123391
310000,-62.72748124253263,-38.77863006414819,-59.097207354810955
320000,-41.52480553221877,-34.406717778880136,-61.297650439498746
330000,-53.6995714864568,-34.98551770793435,-36.45315983529819
340000,-61.858676725918045,-35.23822069448315,-31.410878412583187
350000,-42.39912099062028,-48.92424485075542,-45.01348951525074
360000,-57.62132802413527,-63.41130649538832,-65.3659889774676
370000,-41.37314022115792,-58.93339971896855,-55.65745344280596
380000,-43.81572970100102,-49.58727128307993,-64.29064011042114
390000,-224.63165663614217,-34.70117192214355,-34.43586182063714
400000,-57.69228126585138,-48.365107737776825,-49.11774541091821
410000,-51.79282160610788,-53.216556230130365,-36.08509373434673
420000,-43.014909385482895,-51.6771944691113,-44.68563595382826
430000,-41.87491122090898,-63.25328259992157,-57.23443539864285
440000,-57.66073024833121,-47.30370611291728,-56.76766927589028
450000,-42.2255894471493,-46.53276874992445,-38.08706737717583
460000,-63.02381314109601,-37.35057670018473,-46.70237059453545
470000,-57.26246021081995,-35.388112145827016,-63.90223054006681
480000,-231.3276646993007,-45.564480418990506,-61.90280167176224
490000,-72.74885413625864,-35.26291890183147,-60.333820375481054
500000,-56.48957773534428,-37.86929666597486,-58.342214936610475
510000,-57.358483486423374,-52.58744605298399,-38.90790393648527
520000,-57.12588875275887,-74.19546526957602,-35.77163931660601
530000,-74.52974018667635,-52.42873060505771,-56.837409677677215
540000,-41.76776022686965,-54.831238047414885,-56.40251406402243
550000,-43.27271078818343,-75.35014311533561,-54.36889090747591
560000,-223.54721557337243,-45.66233344718698,-61.78214049369065
570000,-57.31523676653509,-76.72418066103398,-56.22328568705302
580000,-56.23435411913242,-33.77189586774035,-55.01360350406461
590000,-41.30170395051505,-63.357783384256464,-44.249621022072354
600000,-54.06291057354031,-46.91527460687682,-44.533663659132834
610000,-56.46426102677164,-68.40555954825643,-39.29112840227443
620000,-62.13391719353319,-75.91544855684471,-64.61469962962838
630000,-61.97337246705278,-35.06687109475754,-64.29864030828251
640000,-44.487453228565386,-73.90891745766945,-52.58645099119856
650000,-55.22270642982039,-62.9491060826183,-53.61676084266963
660000,-61.89956415184675,-46.155829825329725,-61.679533182094396
670000,-54.50477498018292,-52.558622071576266,-38.57077757878493
680000,-62.19805859650207,-50.53290716576311,-38.464830962038704
690000,-220.62544123822693,-62.85313839935365,-55.10175919441985
700000,-57.25080162539586,-35.49570667425322,-62.63364938584179
710000,-57.56311110509668,-63.77786552065942,-44.87017588375478
720000,-54.92347090131764,-69.2809164510075,-54.24927288913983
730000,-202.4986595330383,-31.8454965634528,-58.06016790770728
740000,-40.1464486982221,-53.08138738058678,-54.939573565648544
750000,-55.26513679143824,-36.99445353066923,-60.791658690188356
760000,-42.821314027087695,-49.45540635308467,-56.11387863252771
770000,-57.48011864185273,-45.09773488977417,-38.50587284392253
780000,-54.63343836207972,-33.469085284668715,-61.49490747312168
790000,-40.15422424387105,-45.05798412974559,-39.054041104510134
800000,-57.11000391398469,-47.53112764594732,-57.629067342537255
810000,-182.8445486089651,-35.699286585325055,-57.14988612230616
820000,-39.83226592656136,-63.58740932725383,-42.94509605249442
830000,-53.969403224389765,-44.5159462200248,-57.245710391149636
840000,-61.32015620129411,-38.673191170863625,-61.76240434274795
850000,-53.29419742122815,-44.90512632200419,-57.589620808609894
860000,-53.5979500869927,-63.52327902763348,-58.444547690581906
870000,-62.771658674817175,-54.85324579960032,-54.05522183432706
880000,-61.66489791599737,-65.98782089802457,-38.81096276810818
890000,-54.96353791220436,-34.448081871398976,-38.54694176547544
900000,-189.65340639818143,-36.14949700130183,-61.78929190762472
910000,-191.1694140036576,-63.4456793615006,-39.17799920682021
920000,-52.149423457469226,-35.28862538453949,-61.13170977466521
930000,-44.51011777099912,-44.45935041508466,-39.632450425367715
940000,-164.08647650503644,-46.82548480062412,-58.23010292299035
950000,-40.03075284235285,-63.48172389320547,-57.922362056413945
960000,-40.33152048457732,-45.08991774978599,-54.11058453447109
970000,-61.54014888511701,-44.57087923478444,-57.387159443265595
980000,-164.13133958072618,-53.3401007770436,-58.34386403748904
990000,-51.50589251625061,-45.03343755589543,-44.8922583722485
