step,run_0,run_1,run_2
10000,-142.91791544595372,-109.50836551277716,-102.0985248505993
20000,-85.85134574363909,-125.8890464898657,-78.46883240624126
30000,-79.53952553112524,-79.9504455545952,-72.80709819312675
40000,-74.23105733091933,-59.53016402096684,-49.847454962782834
50000,-47.07307824539407,-54.57627420503207,-38.71839196273683
60000,-62.81001795102003,-62.55947959594647,-60.11654046908731
70000,-46.71980498607479,-63.936154496947545,-57.80017681905881
80000,-60.42304084159356,-46.77437810144099,-61.31141434921077
90000,-55.068325345460366,-46.37919312414278,-44.4680305491295
100000,-52.41146610647638,-56.91625208457463,-43.622280173769624
110000,-52.87599787039678,-42.39110888546895,-47.54470360707615
120000,-51.80790115330307,-44.452295011544216,-59.21719221562546
130000,-47.74902542646535,-54.58677534790938,-50.86271319263992
140000,-49.32531380540482,-78.40835890016324,-43.36004161872881
150000,-96.41046208169584,-136.7814410594192,-42.596400640245896
160000,-48.08032016671028,-78.80636641301248,-56.64523490631866
170000,-48.39486434617372,-70.60906194192371,-56.637129552707954
180000,-62.8533770168652,-65.26789904675334,-45.93755368705649
190000,-94.92821210874328,-70.82914739406834,-58.085750168186266
200000,-97.88100655272912,-73.30180627505406,-61.63732224758512
210000,-50.4502584761884,-44.25941366517445,-62.98109896263061
220000,-63.33819433012498,-64.43046248966061,-44.511491424182466
230000,-63.27857275603678,-57.73838286666812,-49.509991991778485
240000,-63.3673546526142,-66.86656836480265,-48.41559343506707
250000,-61.4380463803125,-41.584112151891965,-61.75071892261258
260000,-46.24217562015748,-43.84142424887353,-42.95803820087643
270000,-46.03917910866613,-62.48634926039088,-44.99900226234593
280000,-46.61026454882446,-42.41346511521918,-58.476996532506504
290000,-51.82846427586836,-72.96080182945506,-45.70457623828436
300000,-50.503592480128205,-62.9981911125226,-58.653810359583545
310000,-51.85018755584204,-42.39969724994262,-45.152629823920755
320000,-62.58045266796733,-54.13004263166175,-63.835663172333035
330000,-47.54470318555934,-60.26679597401165,-47.55022678973443
340000,-173.98624786121042,-63.27628505873463,-63.87921480803946
350000,-131.11147624692973,-70.86242910475251,-44.91891245708451
360000,-59.33632801412139,-69.99201964134416,-62.497515712924915
370000,-50.7720965458693,-62.44099044792997,-38.73950581125254
380000,-239.13326096310223,-62.53775841326743,-58.923542634402416
390000,-61.97781718622906,-42.66714000920604,-58.65067849574995
400000,-94.11814155048847,-55.31468483814172,-44.89584179721246
410000,-94.19854317814142,-56.533973351506624,-39.56457804739555
420000,-47.13558783230221,-52.90012305748199,-63.584248380966315
430000,-59.962942253126485,-54.43105522393365,-36.88344194845476
440000,-49.5504037880274,-41.86039109592962,-39.54934677707564
450000,-64.06563653769732,-53.54752596694111,-39.15573854303255
460000,-47.83878587641836,-44.38708018763036,-45.28587430424764
470000,-59.36916942152492,-41.91872418464891,-58.56025619083493
480000,-94.96001953420873,-41.770510028304166,-46.122968857802405
490000,-47.22612321248166,-69.29502802305424,-46.364235175610084
500000,-96.39484659519024,-68.6621325135884,-36.3648062195162
510000,-96.4049482792174,-45.08446191054265,-34.04761607100528
520000,-48.34791685557067,-54.57695381993573,-59.87202258704767
530000,-60.63416144484418,-61.69888562233156,-46.30128416380651
540000,-60.64515050068708,-56.45251253980055,-56.8640724044701
550000,-49.71671418274698,-73.19116052523944,-46.51395611867123
560000,-48.37397348511843,-70.49207449181743,-58.73221560409266
570000,-62.67712054454189,-42.40718203100643,-36.347124117214584
580000,-63.244152422236766,-56.223314950878354,-36.89746438871966
590000,-62.67480344310705,-42.35202923006744,-46.71744024687817
600000,-46.51846636299109,-54.70650690361978,-45.03641618318279
610000,-49.0343860678167,-55.99180462175345,-44.8742598230272
620000,-49.05028355486877,-65.08325189215452,-42.333067672151664
630000,-48.88411516572571,-45.448725577481895,-46.75164039709745
640000,-61.39084744673842,-53.89086555637192,-38.70510539896813
650000,-48.87413461724425,-60.19347454979815,-38.50533249276522
660000,-62.55396871759338,-55.0883069397549,-39.45318489982846
670000,-94.91044703438035,-60.12829670633562,-46.0472957925977
680000,-94.87168552478482,-60.17433815212589,-58.57884936247208
690000,-46.90345504899665,-55.21919863736853,-39.044411193234566
700000,-50.74147281517418,-60.87465080305096,-56.66816672537752
710000,-95.680342022016,-54.03989604903062,-47.037475456701806
720000,-50.15020481070351,-70.15347612453635,-62.434584547995875
730000,-46.97437733443863,-62.06565520749084,-48.239133723731385
740000,-60.63496319874008,-59.64621943913164,-56.6895751801948
750000,-60.70327082719867,-42.93957222420972,-44.20367867822312
760000,-59.9694755034564,-70.09641110920039,-44.272999774840386
770000,-59.96166001673417,-43.13362034084117,-62.889242396845795
780000,-47.85930543321717,-60.85541771407423,-40.66884030366831
790000,-61.74323172790172,-60.98015803557209,-58.13444536927672
800000,-49.13768756589138,-55.25837654034909,-44.552761785461556
810000,-49.16722749844802,-55.30043722167453,-45.676469058721146
820000,-47.88900547765725,-55.25942210286773,-58.56677790409263
830000,-69.73533880565023,-53.02969685837712,-58.687861404699234
840000,-50.29893585717685,-61.76244610748476,-56.544319982430835
850000,-96.43480073697862,-53.70595265116104,-55.59284776385215
860000,-69.70333937025866,-53.11899039523193,-42.92536044283642
870000,-69.52642345884799,-44.94134661928292,-31.30993133253579
880000,-46.84730680485966,-53.864560000967344,-43.73623031005686
890000,-47.84761816660543,-54.71247101420434,-31.764520089082158
900000,-50.24979497400497,-73.26777611195459,-58.65744556199817
910000,-59.12941462736811,-61.76296821253502,-56.54736378860564
920000,-58.462890687771775,-74.10022895760666,-58.67570941158701
930000,-50.7683150756388,-54.49286890394965,-42.65788769935623
940000,-50.781933422515685,-96.20897925990552,-56.67086666581893
950000,-48.35943529377586,-61.49686894997566,-45.19752349946852
960000,-46.86331334725351,-57.28516985466523,-43.457045695786555
970000,-48.39460218309849,-42.13270632587731,-45.14651390303231
980000,-46.97792535138996,-56.00800788900855,-44.85551287183308
990000,-63.2423552039435,-62.63583893235009,-46.24035502164889
