step,run_0,run_1,run_2,run_3
2048,-0.0033473050832981,-0.0028833543750806,-0.0053709971747593,-0.004116947669535876
4096,-0.0045136091634049,-0.0053629836067557,-0.0063002464521559,-0.006292140613368247
6144,-0.0086215740069746,-0.0086523178499192,-0.0082983470099861,-0.011082556619658134
8192,-0.0080349006995675,-0.0076666293287416,-0.0104426606339984,-0.010747419862309471
10240,-0.009941520250868,-0.0077466638947953,-0.0117430316808167,-0.012504122234531678
12288,-0.0098131294173072,-0.0101153383220662,-0.0104701952150207,-0.012098958168644458
14336,-0.0098283887724392,-0.0095516484434483,-0.0129589638054312,-0.009195564211404416
16384,-0.0130981283902656,-0.009662479974213,-0.0131070460789487,-0.009606604633154348
18432,-0.0110937240489874,-0.0100286650544148,-0.0082676069549052,-0.009607947309268639
20480,-0.0121547672140877,-0.012666912471468,-0.0127084925014059,-0.013211928248347249
22528,-0.0082870081067085,-0.0096110249403864,-0.0120909050456248,-0.009132589740329423
24576,-0.0086330375452234,-0.0107731978758238,-0.0099803263394278,-0.011464536232233513
26624,-0.0070534656551899,-0.0129557597261737,-0.0104552149045048,-0.013752139276766684
28672,-0.0096276338023017,-0.0129647305897378,-0.0104976789938518,-0.009093771722109522
30720,-0.0109418885665945,-0.0107135643585934,-0.0107716991740744,-0.01043955378845567
32768,-0.0104554139921674,-0.0134062307479325,-0.0116937324462924,-0.010919631599972491
34816,-0.0115854603071056,-0.0114171782042831,-0.0097540538932662,-0.012214893201598898
36864,-0.0109405840281397,-0.0128287309213192,-0.0116946185538836,-0.011420487229770515
38912,-0.0118933119767461,-0.0126460767183743,-0.0113646152647561,-0.009511549476883374
40960,-0.0068458391397143,-0.0110870409669587,-0.0120482012236607,-0.008553766469412949
43008,-0.0091970505513018,-0.0114040189757361,-0.0054784332212875,-0.013513866970606614
45056,-0.0124961663488647,-0.0096383938478538,-0.0073784115898888,-0.009596476280421484
47104,-0.0123601783328922,-0.012554996307881,-0.0082963811364606,-0.013858356970013119
49152,-0.0114955711498623,-0.0090735929203219,-0.0061151147048803,-0.010732566107617459
51200,-0.0098735819614375,-0.0124389976743259,-0.0078475925853126,-0.007992562754952814
53248,-0.0109679916567984,-0.0102075070579303,-0.0071548644089489,-0.009259055272559635
55296,-0.0120207787171239,-0.0094940241135191,-0.0107033299478644,-0.00983755987836048
57344,-0.0120241593773243,-0.0096028457541251,-0.0118397157028084,-0.00940467066684505
59392,-0.0103112499418784,-0.0094220996572403,-0.0081880179277504,-0.009697013987170067
61440,-0.0105273342182044,-0.0080519377348537,-0.0120171620859764,-0.009074962460726966
63488,-0.011886086067534,-0.0084060513167059,-0.0105119156825821,-0.00920634040812729
65536,-0.0124784855404868,-0.0111677230466739,-0.0092324917553924,-0.010161944283754564
67584,-0.0092943346098763,-0.0122974462312413,-0.0076807563571492,-0.011637829440587666
69632,-0.010181824164465,-0.0085766902033356,-0.0083338028445723,-0.007899214161443523
71680,-0.0114073652774095,-0.0084569958198699,-0.0104619383186218,-0.012245919008273631
73728,-0.0075175727833993,-0.0081217703656875,-0.0111653350671986,-0.010040423781902064
75776,-0.0087434553031926,-0.0099654996840399,-0.0118511712833424,-0.00797842791507719
77824,-0.0084680038664373,-0.0073744962093769,-0.0078635596655658,-0.0109998757194262
79872,-0.010068924461666,-0.0094594402122311,-0.0095517442474374,-0.006762189463916002
81920,-0.0089772885628917,-0.0085648069056333,-0.0105365831332164,-0.007159002716070973
83968,-0.0122691364507772,-0.0088008840713882,-0.0085130206061876,-0.009686019075161312
86016,-0.008993061716319,-0.0080031164419779,-0.0079627825041825,-0.010280917421914637
88064,-0.0102082431665621,-0.0090112290126853,-0.009410209210182,-0.006590954979765229
90112,-0.0116499047377146,-0.0090979366061219,-0.0085058494660188,-0.00894565611233702
92160,-0.0098431895006797,-0.0073022975062485,-0.0126099251872801,-0.008837942680838751
94208,-0.0088186662527732,-0.010034999725758,-0.0103320615569828,-0.007434877248306293
96256,-0.0111106993776047,-0.0086517840070882,-0.0076277570260572,-0.009381242827657843
98304,-0.0079315304959891,-0.0088027077144943,-0.0089466843710397,-0.010593044907727745
100352,-0.0078907065551902,-0.0081559209080296,-0.0083072991939843,-0.009356769987789448
102400,-0.0088964323091204,-0.0069130477160797,-0.0078186669474234,-0.008474463572201784
104448,-0.0075731506745796,-0.0099355093567282,-0.0070524128343095,-0.00860058826074237
106496,-0.0093575398728717,-0.0092698166910849,-0.0077821348430006,-0.009729677745781373
108544,-0.0073232311486208,-0.0072751826824969,-0.0087951552835875,-0.008227494328457397
110592,-0.0094926151330582,-0.0082006781522068,-0.0073732774471864,-0.008059966082510073
112640,-0.0085789685843337,-0.0092736940248869,-0.0065259426468401,-0.01070584691115073
114688,-0.0076347384034306,-0.0107414400481502,-0.0075902015443716,-0.0077705813935608605
116736,-0.0096229103422956,-0.0074458899369346,-0.0128639513714006,-0.007270665923715569
118784,-0.008309620131331,-0.0084735944648855,-0.0109929473605006,-0.009719685697928072
120832,-0.0099079098770744,-0.0094517973804613,-0.0064126804165425,-0.010675101661763619
122880,-0.0063736297932337,-0.0085599008518329,-0.009300536847877,-0.009414421514884452
