step,run_0,run_1,run_2,run_3,run_4
2048,-0.0033473050832981,-0.0033996327991189,-0.0026709058467531,-0.0048342355134082,-0.003476043135742657
4096,-0.0044403840132872,-0.0061807050136849,-0.0049075844945036,-0.0061629212112165,-0.005435504823981319
6144,-0.0087757494489778,-0.0074002051274874,-0.0067526022728998,-0.0097810523264342,-0.006768551374261733
8192,-0.0090481798339169,-0.0109286905251792,-0.0089061217338894,-0.0081735176747315,-0.009129943612788339
10240,-0.0094680618974962,-0.0093098962577641,-0.0087337168297381,-0.0118633080026484,-0.010537299285351765
12288,-0.0092283987556584,-0.0103393054407206,-0.0122555731082684,-0.0098405546450521,-0.007561982702463865
14336,-0.009966144876671,-0.0121578897116705,-0.0126448471302865,-0.009207924727525,-0.009685673509375192
16384,-0.0102106391423149,-0.0157909063331317,-0.013033307299338,-0.0122810519314953,-0.007392890043411171
18432,-0.0090814426992437,-0.0097625693655572,-0.0089557042039814,-0.0101898893044563,-0.008792498495313338
20480,-0.0101719930360559,-0.0107513126989942,-0.0111732148274313,-0.0118435797150596,-0.010532685536600184
22528,-0.0097671002324204,-0.0109492304909508,-0.0080463983511435,-0.0110126582818338,-0.007348582256236113
24576,-0.0107868105646048,-0.012251054351509,-0.0097946536145173,-0.0096586780782672,-0.009698361875780392
26624,-0.0090302770353446,-0.006555040161038,-0.0112466347782174,-0.0110529273428255,-0.014235778160218615
28672,-0.0097591545032628,-0.0078963276173453,-0.0114588283366174,-0.0067355404025875,-0.015289423121430445
30720,-0.0121898195618996,-0.0111395712548983,-0.0123712264117784,-0.0090818595410382,-0.01041004897415405
32768,-0.0130260375415673,-0.0120707132591633,-0.0123222949478076,-0.0110984329032362,-0.011964936193544417
34816,-0.0138339661527425,-0.0142422275850549,-0.0125916446675546,-0.0125174865621374,-0.011607921362156048
36864,-0.0145418056992639,-0.0147417188200051,-0.01114065859947,-0.0054736649253754,-0.011587732889165637
38912,-0.0136281474507995,-0.0156436581964953,-0.0120965172565775,-0.007247584516881,-0.013160460640210658
40960,-0.0142923904248164,-0.0128851376241073,-0.0108656604163115,-0.0125386838153644,-0.011513574192213128
43008,-0.012373602950538,-0.0176819506537867,-0.0091702744903159,-0.0080910283504636,-0.011212287292437395
45056,-0.0137300743721425,-0.0146183544624364,-0.0099565221884404,-0.0074532034377625,-0.009581700763374102
47104,-0.0151609381631715,-0.0115107298879593,-0.0088276952054002,-0.0101030185920535,-0.00976889898738591
49152,-0.010176237593987,-0.0086385701055405,-0.0081319423174136,-0.0096027842402691,-0.01073743740853388
51200,-0.0104771982441889,-0.0068600490405515,-0.0089193964406149,-0.0095358663893421,-0.01360932337702252
53248,-0.0091215385444229,-0.0091294543126423,-0.0085723360651172,-0.0096802239975659,-0.011158114226418547
55296,-0.0080139543511904,-0.0061663158237934,-0.0086772770097013,-0.0106428852435783,-0.009156598966364981
57344,-0.0107545731269055,-0.0090014411602169,-0.01135287048819,-0.0087959840937401,-0.011077130616467912
59392,-0.0094922993055661,-0.0111757636434049,-0.007824252530554,-0.0089358174605877,-0.005659016099525615
61440,-0.0101245913727325,-0.0067425239816657,-0.0075454946811078,-0.0094912396598374,-0.008014238221221603
63488,-0.0082273171195993,-0.0103826658974867,-0.0103668264113366,-0.0094456697814166,-0.008736649416096042
65536,-0.0124973148238495,-0.0071259002550505,-0.0119416282635938,-0.0083417801608447,-0.007982476181496168
67584,-0.0094999662927875,-0.0080095616329344,-0.0102271316194674,-0.0069821080876863,-0.009563609003089368
69632,-0.0081171620375243,-0.0127833607053617,-0.0076079821461462,-0.0094232818206364,-0.00781241271761246
71680,-0.0080932350261718,-0.009640697974828,-0.0097751248365966,-0.0097666344066965,-0.00977384095895104
73728,-0.0097503789365873,-0.0076188400547835,-0.0089760403228865,-0.0085806899725866,-0.0069845332822296765
75776,-0.0066425165568944,-0.0089579688457888,-0.0087378504467778,-0.007195771523402,-0.00687298452394316
77824,-0.0075350751169025,-0.0075952315513859,-0.0100768668780801,-0.0078732763184234,-0.008998937775322702
79872,-0.0089867778078769,-0.0102559079954517,-0.006536447709368,-0.0107420312575413,-0.0084368429845199
81920,-0.0078842980379704,-0.007503930790699,-0.0081744847484515,-0.0103798782816738,-0.006543050353502622
83968,-0.0094508876296458,-0.0079742315167095,-0.0094500533552491,-0.0097253985979477,-0.007970297589781693
86016,-0.0086383148474851,-0.0089435419627989,-0.0103436221870651,-0.0068301461738883,-0.009883310986333526
88064,-0.0067606610173243,-0.0097317585314158,-0.0087836964565212,-0.0072044597793137,-0.00884798720071558
90112,-0.0079770522490434,-0.0090053619947866,-0.0073546280807931,-0.0068753287669096,-0.008501757061458193
92160,-0.0077121346614148,-0.0090308946571894,-0.0123076491305255,-0.0066447492179577,-0.0105075057981594
94208,-0.008919685697765,-0.0091191296538454,-0.0081537870049942,-0.0082512380206026,-0.0074277409206843
96256,-0.0076090369824669,-0.0063571539372787,-0.0077768897725036,-0.0096907942512189,-0.008741923338675406
98304,-0.0080974605763913,-0.0061520061208284,-0.0060514836688525,-0.0097414128642412,-0.009863615763606504
100352,-0.0088800268509658,-0.0083350931716267,-0.0064415289278258,-0.0095773331733653,-0.009553770341153723
102400,-0.0068498093649395,-0.0068888406807673,-0.0085690061445347,-0.008436679157603,-0.009097144681436475
104448,-0.0084070564553258,-0.0108859929590835,-0.0081668336672009,-0.0088333971623796,-0.011061996839998756
106496,-0.0088182930456241,-0.0071559631869604,-0.0069084574337466,-0.0085839811203186,-0.010247415004414506
108544,-0.0067131259318557,-0.0083310236695979,-0.0087648401342448,-0.0089058356563327,-0.006275547062978148
110592,-0.0103050855366745,-0.0090393902995856,-0.0064970637322403,-0.0078096461307723,-0.008619097238988616
112640,-0.0062684578544576,-0.0098106587684014,-0.0082006909375195,-0.0062861439888365,-0.010641858474264155
114688,-0.0059271543563227,-0.0087528820717125,-0.0095079079852439,-0.0086558418610366,-0.009497776171701843
116736,-0.0078326317277969,-0.0066738573965267,-0.0093989320143009,-0.0082501970726298,-0.005244648967345711
118784,-0.0068785602677962,-0.0097885608964134,-0.0093071030729333,-0.0087538938190846,-0.00719132272497518
120832,-0.0099781704207998,-0.0078886288581998,-0.0075073049840284,-0.0069576423382386,-0.008367061482567805
122880,-0.0061907879760838,-0.0069065149451489,-0.0091850899189012,-0.0068362156875082,-0.00592744545720052
124928,-0.0068743673124117,-0.0080183580488665,-0.0075900110299699,-0.004549737367779,-0.005508550500962883
126976,-0.0085546648726449,-0.0070832184486789,-0.0083792122764862,-0.0081514585006516,-0.0076013881713151935
129024,-0.0060124319803435,-0.007173960271757,-0.0096617853370844,-0.0087336315831635,-0.005928429585765116
131072,-0.0072623397543793,-0.0064343776815803,-0.0084002807503566,-0.0077346514633973,-0.0027359087951481344
133120,-0.0070566388327279,-0.0102251598334987,-0.006175800859637,-0.0070853899611392,-0.00914872641733382
135168,-0.0086467990171513,-0.0054556090413825,-0.0079258497222326,-0.0061494304289226,-0.007816152086888906
137216,-0.0087075191491749,-0.0062676856206962,-0.007471507009177,-0.006276766960218,-0.0067179144025431015
139264,-0.0077970857404579,-0.0101083793269936,-0.0064265537075698,-0.005226473325456,-0.00653483499045251
141312,-0.0074177741989842,-0.0091829915545531,-0.0050325580334174,-0.0079537106037605,-0.004197735950583592
143360,-0.0068073137619649,-0.0080092766947927,-0.0058289461070671,-0.0060607278239331,-0.005606207353412174
145408,-0.008308467491588,-0.008350229205098,-0.0071487177308881,-0.0071393912046914,-0.005630890739848837
147456,-0.0060095547451055,-0.0073038280374021,-0.0076357575977453,-0.0092721186490962,-0.007125673416885548
149504,-0.0078547920842538,-0.0053018186139524,-0.0083449094672687,-0.0052470956303295,-0.006025116291129962
151552,-0.0086355174367781,-0.0059247230063192,-0.0072295600621146,-0.0066838150494731,-0.0040263371702167206
153600,-0.0046011582147912,-0.0066776539737475,-0.0061041289154672,-0.0045976069544849,-0.0069476156058954075
155648,-0.0086090789176523,-0.0088126971560996,-0.0057519377834978,-0.0083193548882263,-0.0030075817718170582
157696,-0.0074800406466238,-0.0071096542902523,-0.0071553938716533,-0.008242934505688,-0.004354778543347493
159744,-0.0069927079610351,-0.0065288582467474,-0.0082608857846935,-0.0056807864086295,-0.004230974357051309
161792,-0.0060222528059966,-0.0048584613177808,-0.007551045922446,-0.0073472471034619,-0.006353635067353025
163840,-0.0056470586932846,-0.0086760603371658,-0.0074899330160405,-0.0055811286889365,-0.003790027512877714
165888,-0.0061427228582033,-0.0054505950392922,-0.0064165212766965,-0.0053019376937299,-0.005628977096057497
167936,-0.0056551038491306,-0.006150256456749,-0.0052085884279222,-0.0085049219749635,-0.005621608506771736
169984,-0.004503573855618,-0.0055911662740982,-0.0056835305134882,-0.0066112711516325,-0.005221586275729351
172032,-0.0037566577273537,-0.0073911362371291,-0.0076843407252454,-0.0084905986572266,-0.004488370838225819
174080,-0.0073273928610433,-0.0091119150412851,-0.0043254943237116,-0.0052295453482656,-0.003365906402177643
176128,-0.0072677478063269,-0.0062850059592165,-0.004463133731042,-0.007241149865149,-8.330047567142173e-05
178176,-0.0058057747490238,-0.0077226788038387,-0.0077790930474293,-0.0071488956680695,-0.0034270604024641215
180224,-0.005362471427361,-0.0070646845066221,-0.0084293165782582,-0.0052898882291628,-0.006385943479835987
182272,-0.0018733522272668,-0.0065587183744355,-0.0074432980429264,-0.0030159050998918,-0.005163591521704802
184320,-0.0064941462158458,-0.0004099415702512,-0.010129306858289,-0.0045993558567715,-0.005418342785560526
186368,-0.0062747204123297,-0.0023418965938617,-0.0044443854843848,-0.0050105390975659,-0.0036541198736813386
188416,-0.0046095469777355,-0.008273404360807,-0.0051755353691987,-0.0086603317147819,-0.004587563191307709
190464,-0.0053947900174534,-0.0054272320274321,-0.0084050758872763,-0.0046483411555527,-0.0059116088596056215
192512,-0.0075657115303329,-0.0053404831080115,-0.0064179176348261,-0.0073145522706909,-0.008782758144661784
194560,-0.0019818683213088,-0.0043192907258344,-0.007233153800189,-0.0050496807452873,-0.0012653543511987665
196608,-0.0088178068428533,-0.0054181516752578,-0.0042619115978595,-0.0107814629598578,-0.005555457952141296
