step,run_0,run_1,run_2
10000,-129.01702513377998,-106.40433914708476,-94.41767518035039
20000,-102.42398479346284,-78.72698921966858,-60.69140953840282
30000,-75.90091503463478,-70.62579794528335,-59.13094792804472
40000,-50.16234429730825,-59.68576739722637,-51.79209532912196
50000,-46.07329131713696,-103.09828714123068,-41.453731201173575
60000,-57.39110921881464,-62.80626684945613,-60.74374099180447
70000,-45.897087984420565,-46.05108737547254,-57.873670643999056
80000,-51.18136977978951,-39.3057325974432,-54.18094330656041
90000,-38.67676591041001,-38.567897338625485,-46.97957735125536
100000,-44.8100261256469,-51.792578669533725,-47.02118167185596
110000,-43.95951122481404,-38.68279017165119,-51.775610023650444
120000,-44.48317665956342,-38.33477170575756,-51.82722819250427
130000,-43.86705374569417,-46.49754312348925,-40.10315626055288
140000,-45.47733399444504,-56.77429540912191,-45.494590736766945
150000,-56.91068860505165,-47.5777228752472,-45.50085279509908
160000,-45.59291784278863,-57.10934832531415,-56.9294385899636
170000,-45.59163149119271,-44.61279284669685,-56.52520010727159
180000,-42.56063194865334,-58.83117610644599,-47.77627786093983
190000,-56.71149730545896,-56.36492349910265,-57.90899500594087
200000,-58.55970895492147,-56.45013978286234,-55.13026502232333
210000,-50.88317471425504,-34.729920532057854,-52.98761413030343
220000,-41.148526658436566,-57.95298270550111,-45.46472931991343
230000,-47.787704362328384,-48.76201746031919,-38.809203145312836
240000,-42.60244915573361,-44.94477005534964,-40.186206355044405
250000,-46.71137729956831,-38.54740664268786,-52.76885972397979
260000,-42.44212947357005,-37.33236437601515,-39.2672326578908
270000,-42.91073742931796,-44.74700556670102,-45.13681031807354
280000,-42.83772177741773,-34.47321072567631,-57.895905211682056
290000,-45.01553175699708,-56.43950821789773,-47.55819110266979
300000,-54.28028696328349,-57.83538524706996,-52.79409588590642
310000,-44.31322071439923,-37.05554553505197,-47.585280963890455
320000,-53.96760025248967,-46.37164492422735,-52.936308955556065
330000,-49.9407068972338,-44.54754942532296,-55.076254887939854
340000,-57.79968960456267,-57.94909003860419,-53.11886504896704
350000,-57.8500623309973,-56.23806539403488,-45.26120261415814
360000,-51.5427850370743,-56.23639540289143,-52.74128960918068
