episode,run_0,run_1,run_2
0,-147.3763946400559,-62.38329021899101,-69.12128724545336
1,-46.60865710631428,-78.05366826863413,-138.62665742000334
2,-103.67828212443747,-140.04069370147178,-61.02125755675661
3,-120.30841125284869,-66.64870950177482,-72.30483519960352
4,-65.40544779496278,-45.10622853569383,-56.85199282593024
5,-46.23867279296386,-76.88582280555408,-248.15797101688923
6,-106.18530392491375,-205.0339659828453,-270.4086890595487
7,-74.67788438797314,-84.40930800481675,-45.70568383668238
8,-67.64028070195818,-90.99050216917811,-119.32504166445644
9,-156.27528153517625,-49.06650877132127,-71.49992040980604
10,-91.81433715361186,-77.34631972843252,-83.91569822187587
11,-128.63346886589142,-60.32582733787369,-170.13590340771322
12,-173.21790318394085,-74.3870425526589,-93.52758769789705
13,-72.53053909414287,-130.28243128535223,-74.36257990709143
14,-74.51557230324323,-101.24392749510224,-73.07003228760354
15,-64.422397731981,-72.29274520338319,-87.79065539514367
16,-52.13080233896842,-84.95461278359555,-77.13453083436232
17,-49.37783815034384,-64.45287055593825,-100.51249660079998
18,-131.40762758111714,-69.61503765385066,-82.30303326137597
19,-113.38427298882269,-111.81455860703906,-101.33112903049488
20,-50.22093708330985,-80.29573909682223,-151.04205867679653
21,-79.79034354324,-86.13243162879664,-65.97200544262711
22,-99.80959800612712,-87.89417850970688,-46.06775270888119
23,-45.32318238073781,-47.63109858651654,-57.497776592268096
24,-109.36512992952254,-47.85955767832206,-68.80944134838518
25,-54.84992729570144,-103.6577711321655,-233.06828197466425
26,-109.63460029715048,-102.54343429212544,-47.55619944578014
27,-163.82550161760105,-63.93521930615924,-93.24854883181322
28,-44.59709065279547,-54.86460388693492,-55.72089184337973
29,-137.3915959511075,-125.67341427167857,-107.30909628400056
30,-35.9004381199961,-54.83008179178756,-70.6781800369619
31,-134.76930136394117,-50.42593042871188,-194.1927507258336
32,-150.0672487761079,-64.54380874577194,-62.080802838731984
33,-109.37274814819884,-62.47200546719,-71.59016462923137
34,-116.32976992304155,-54.31075574114787,-118.62291309983254
35,-65.65274351910355,-152.85151663637225,-123.51996289823293
36,-58.13652287393064,-158.16976333414306,-172.8690252915693
37,-90.73218625884732,-71.88338345007456,-88.79477981484163
38,-46.702642650232,-80.62010261105586,-137.46745657877966
39,-176.92171832062584,-71.56616922714163,-92.11306628796414
40,-122.85186425034502,-47.45774258093162,-57.38729962343144
41,-85.73906831098294,-54.387351578652144,-70.6224549063362
42,-81.42049788205415,-134.06580644217573,-92.79756108875253
43,-57.76175043941389,-79.94486788614998,-116.8293293379798
44,-90.89237761549865,-69.08780482384175,-112.33794181537286
45,-119.04321386713866,-157.57356920684515,-68.69885895146824
46,-134.2752870264258,-67.90603793178542,-87.86381099275249
47,-46.21301095834323,-58.30419631529546,-127.4689242294051
48,-74.06000668352755,-138.19905137496033,-108.53397173761965
49,-76.85807471137373,-134.98489588421154,-165.5683869955773
50,-72.3443880673749,-192.10198325359428,-52.15266329935416
51,-53.57832713022872,-69.65842817795557,-140.8145701802744
52,-49.79164905863979,-64.11547533359095,-96.68446947760664
53,-86.62194582948771,-70.02826114867341,-110.98175262397483
54,-138.02567174219183,-128.73680238220325,-154.43416674753092
55,-58.14595081622714,-99.54644740056672,-150.87049075167945
56,-148.92182695064085,-101.77228533449023,-40.928130784931824
57,-76.91129228875857,-58.94265213547448,-48.68448425968692
58,-100.23919451405656,-106.90984957056249,-65.8784367077806
59,-138.33806286758534,-86.59651181157179,-78.15002758197733
60,-100.87342854156664,-99.2912764214378,-70.72315891380997
61,-108.57744572175318,-107.7893228429922,-123.53689002979274
62,-64.51641971436894,-143.15509080863893,-72.07837756856944
63,-46.18545842925506,-47.41474886037857,-96.83390568368429
64,-68.22103525885288,-93.77432265954644,-56.557785487491834
65,-97.30253893421248,-67.20711742782005,-110.53415549922974
66,-108.8856537309729,-73.53072340155647,-91.30066509164007
67,-79.43631262373759,-113.16150973880546,-99.56186053219257
68,-78.62520918730296,-122.45722743597231,-93.4376439740455
69,-123.48953576557278,-89.77897126108354,-67.55902021935009
70,-132.44972093409484,-89.50419210062576,-86.21973191081196
71,-71.83387816544769,-47.64241484338971,-117.17396856460394
72,-80.91514987327724,-65.7020323625851,-91.46994337707602
73,-117.38645293703648,-103.1879129367884,-56.72980633393914
74,-147.0152173181145,-56.932952870768375,-91.9255308398617
75,-115.35680570130886,-54.0198529348683,-88.92926153469023
76,-119.71707669806187,-97.8832562999332,-95.99713270594413
77,-75.88042703998215,-79.55615346850301,-79.60936444196099
78,-91.68653128142174,-75.27533310655808,-85.68057821793127
79,-49.78778983559084,-79.96154735956884,-77.73978462908134
80,-74.63284178038967,-54.36392753104448,-68.13366053960652
81,-132.9631988228611,-101.5544390847833,-69.92857663814368
