step,run_0,run_1,run_2,run_3,run_4
10000,-304.28968050514004,-328.5092363394981,-96.11380367937964,-110.08649807345684,-328.8496778739417
20000,-223.9707279162939,-209.92141873716707,-408.40856553673376,-249.7832692400604,-271.58230679298117
30000,-64.10916117489101,-83.15047075737073,-162.63193961031703,-226.86940076590736,-67.47890766698833
40000,-93.9812510542018,-162.78057227617745,-67.33291363839764,-64.69052349561474,-66.52666367303678
50000,-68.15038979284313,-38.38431957799642,-63.77902940997014,-28.24352778160773,-62.01521843661833
60000,-32.94712369682875,-43.408653670441815,-33.677676138687524,-55.22771111719946,-31.870847735548686
70000,-63.56209139655418,-42.78108954861644,-60.03579636155379,-67.86778998663785,-66.40786066906769
80000,-48.228032041722855,-60.464312523882406,-60.950994724738905,-33.30269590984993,-32.70006944202866
90000,-58.03213998381149,-60.09810800373486,-58.85495891907851,-48.63870560481119,-31.17136408977997
100000,-28.53398264382813,-40.45894599208944,-56.46498384650256,-46.99387252224791,-30.266550012494918
110000,-53.78915000656646,-59.75203396720684,-40.83099023568237,-29.13699074582093,-30.55118505486859
120000,-25.26535637002113,-28.58075395850098,-29.79772883303349,-47.203314011130814,-31.06498151910311
130000,-37.79158167700416,-9.183183119745008,-29.97201036559771,-28.689874402226245,-47.29317831831419
140000,-28.996451746074023,-26.24055759358752,-26.12816091344534,-9.753513510819314,-44.64455920546319
150000,-8.949714122349695,-9.5471595022946,-12.21019748052634,-25.80908349386839,-27.244899054840708
160000,-85.06703893482737,-27.46783666309271,-27.490685135871875,-28.13981801473515,-46.80846900576998
170000,-30.669660451343923,-47.25550963736855,-45.87233294803974,-31.074042101987025,-32.3248790933592
180000,-14.47134128348024,-46.92569807061955,-25.655509494494293,-27.572973032291305,-9.430020497235333
190000,-34.763628628680905,-9.532608495183014,-40.7603809755123,-10.61436884545935,-49.23446359367529
200000,-28.929328071404,-40.75252573543772,-11.490331251640807,-25.25076071233904,-27.51258857400991
210000,-29.45342796345443,-9.213529845578664,-40.23094485115675,-24.691236536857275,-12.58720638038601
220000,-30.53685278747825,-46.68031281938369,-10.58655974699651,-8.70513456261421,-9.975446988655106
230000,-43.39110188091409,-59.57062673834924,-24.194994114174968,-8.869330702178,-8.788707753790378
240000,-30.16273275795775,-45.53991380372422,-11.710030579803622,-8.990198885303169,-26.767195506700823
250000,-44.63190157450354,-27.731023884216484,-42.46208000690503,-8.633486973407724,-42.848523575138856
260000,-8.478800850172906,-40.75252573543772,-11.689984349695557,-45.38681423883838,-9.8341347859402
270000,-26.27192624901023,-60.31020610217022,-75.66784394999603,-42.18345997734264,-9.991746809005058
280000,-95.08990504012696,-9.113493200238514,-30.49981268691821,-27.13842816634068,-45.35706171161338
290000,-7.965403570850986,-8.75020324599802,-26.770621716997464,-9.098120226498752,-44.15329520478073
300000,-39.314565544785125,-8.758022454802093,-40.75766958965296,-7.75179055671137,-44.2566518499105
310000,-7.805241518283097,-26.34133676119912,-11.624835882283293,-26.06009341077106,-7.686975586194287
320000,-9.05228326791809,-8.531662549101345,-27.581538342883213,-24.5205881933748,-25.877236564691493
330000,-27.61354024626687,-25.549499787388623,-42.48157382020948,-23.944844321086176,-44.2884410848158
340000,-26.377048233064787,-26.759455422303187,-27.64337797723932,-24.0501149147162,-7.672379086861548
350000,-85.55173191065892,-24.853480250979825,-27.67253387264329,-24.641061996343293,-44.26759123081932
360000,-25.831823293495624,-9.198435986907633,-46.22547383588776,-26.80799715461104,-8.639258077868883
370000,-8.230004065230876,-56.059009367746285,-9.087203056507912,-9.570459294021042,-26.74426299390584
380000,-26.30603284745012,-26.752261647104287,-10.143222205950222,-26.820139521400016,-7.936952770385746
390000,-8.352241343811079,-24.83201412783784,-10.339853407808006,-8.612442560344046,-24.03256292568352
400000,-27.78610105576002,-8.915264942204303,-23.559517423809503,-9.2873010060343,-25.68214106389669
410000,-8.598365857764616,-25.778268365771584,-26.19985194148201,-7.855964010115933,-26.862401735645964
420000,-23.74543628221048,-26.19822677128513,-43.01457393036155,-25.448045294327155,-7.567717824036127
430000,-8.157062696367925,-40.75252573543772,-27.623493237063386,-26.31907243929108,-8.642441250420145
440000,-9.036984957532878,-25.535284716311725,-40.752388729876856,-8.017069546748278,-8.029810492519031
450000,-101.38218502763456,-25.635604788784047,-27.912298529239443,-8.302051952791093,-24.1435536023598
460000,-8.857802353397643,-9.092600295632778,-8.425783972568405,-25.23071790365279,-25.931336113915908
470000,-25.29151400963984,-8.438148361183844,-8.345786796951852,-25.526764185355532,-7.605306266873497
480000,-8.320660516219874,-27.36865237158956,-9.04754939403906,-25.84988265852735,-24.72807922656627
490000,-25.252792936353767,-9.04411631043616,-8.856198682842699,-24.68556730230489,-7.8459317607610535
