step,run_0,run_1,run_2,run_3,run_4
10000,-84.86186198433037,-141.84252200721718,-272.2161711173311,-85.39736510180799,-120.39540423793348
20000,-86.86885115814621,-292.4024615360087,-60.02198252568539,-83.50317071238092,-110.50015479522837
30000,-67.55797907049842,-163.30006125110697,-63.000449534322186,-65.81083962936778,-131.59449005269272
40000,-77.29051283185335,-75.50667423978518,-50.222836137458486,-258.54049205895296,-67.59141392215913
50000,-47.53999937413953,-51.12468478156341,-53.27351366611482,-35.265690711215555,-57.9213060625442
60000,-78.0823091605691,-52.46931469782656,-47.88558142359045,-46.37902538823468,-55.433148508310694
70000,-44.74220880151472,-60.76626660222411,-38.47360829606065,-65.62394791527194,-80.16134171262732
80000,-210.6394309615905,-52.97306197399688,-143.53156769368013,-46.94548348285056,-76.62196237498163
90000,-126.5103527463624,-49.11270729093132,-53.43361210835066,-59.40659360451503,-48.41195443896998
100000,-98.19655233256844,-61.49111300535499,-89.43353685954293,-85.0404962448469,-65.80322498066172
110000,-70.8122899832484,-55.75927866294738,-50.88264971834655,-33.61716127235998,-98.72608487374143
120000,-110.6621542767954,-46.13192940815178,-72.75958633684618,-44.75537721200413,-41.943195100791655
130000,-44.319834140507226,-51.59313203067619,-55.06527247894286,-69.50728249922649,-44.70420682327021
140000,-58.06438172511039,-43.2411937409922,-43.82541468208552,-42.62419458002806,-53.25438801807631
150000,-58.06860127386148,-50.27511986832379,-52.20893229640146,-68.43729697750832,-52.38512061808126
160000,-45.5664182412437,-53.635403013806325,-43.60294018138436,-69.12066232646897,-43.92630763413715
170000,-45.1101660609416,-72.52944082606743,-49.84003492188623,-48.03605867724504,-55.51409437403525
180000,-86.58673019482899,-62.03379914664575,-52.58612550026342,-43.749885937686,-46.92573228140719
190000,-64.03263691549962,-40.6259998078114,-57.4677533929197,-45.03344982395292,-59.107333818674505
200000,-56.82283624868579,-70.83449370354151,-44.80859085636909,-50.62271911186335,-44.39709953539453
210000,-211.54073959717968,-39.669399950445104,-52.82605885463191,-41.20051007157025,-9.165710773900773
220000,-64.87965355078958,-71.98993044338329,-52.24224208078879,-40.86995770776144,-36.08868012428369
230000,-56.929709037464775,-75.11601057346567,-43.52588649425657,-35.11763804251177,-47.04867531815134
240000,-53.05060637633309,-205.08971265913,-272.6166161477228,-50.470436631628,-40.65725076437829
250000,-48.846483581765526,-63.84456399401938,-68.28245449450692,-34.77635037711508,-41.37818903258922
260000,-48.78819135967669,-63.1072941515979,-48.35310608347351,-44.536219440453806,-52.70825213662265
270000,-55.490900721773805,-43.28510669079669,-51.8510595378532,-54.49054333451505,-45.05274748049555
280000,-56.32523582503322,-73.04436872940671,-53.2074238724804,-48.21898845727309,-59.54530375036438
290000,-46.68290697229197,-80.12870017086277,-51.47854895202721,-51.00540239462249,-44.57566142324119
300000,-41.107821399855,-63.25439228302075,-65.40535499387687,-47.24965717123336,-54.99820305781397
310000,-43.72448254654208,-41.54868951201952,-42.89546490780316,-42.56372251850146,-56.857643031634225
320000,-70.63559999473128,-61.759435502547376,-43.71322610227347,-51.080791030582006,-57.61512646261653
330000,-44.058997943043366,-45.97589528643002,-52.05314004293649,-48.682828679684114,-43.78229020769997
340000,-54.05796614295732,-65.953671009573,-58.52116302118017,-46.488406305057495,-63.8049374133648
350000,-56.81080780089564,-76.97443733487958,-69.14902611752422,-40.73577256231485,-51.09354503214166
360000,-44.07514686733028,-73.37750611037589,-51.57529596277355,-45.09462580527945,-51.51753192847437
370000,-40.4793876673256,-58.468583073692514,-52.224506669671726,-55.204152418977294,-51.57209668248137
380000,-54.355120167148655,-39.49828838198237,-38.49414928261194,-68.49159706319556,-40.6834076306393
390000,-205.9483097769084,-47.2554977346632,-50.41614784765468,-72.59427411121283,-34.098904836645744
400000,-54.82217164060897,-57.28037213963806,-51.253558543335146,-76.67847561086317,-49.60105952975162
410000,-54.60912760248429,-46.482188099383805,-41.227464055493904,-46.93457320589742,-32.725885535837406
420000,-46.93121712180165,-37.808842442907576,-40.11693727275404,-57.88601059148986,-37.663994434895315
430000,-179.61564351792538,-45.92790623712845,-44.00977836612139,-64.72738038353569,-32.68355353843493
440000,-45.69168344128393,-38.68355466116172,-48.89162758934253,-46.24698487393546,-46.57781468987621
450000,-54.71667192406897,-56.74690713288978,-44.42638864167856,-40.20341996204223,-51.541709880318294
460000,-43.91180688712618,-39.55260637614222,-40.01177571742535,-56.39044248485064,-43.117258145269844
470000,-48.21692608045905,-53.16915371226836,-40.19382800206774,-53.67685687690808,-44.16798625036154
480000,-57.54770181697143,-71.32015787901025,-52.74725166827997,-49.563712036695975,-54.51790285948161
490000,-44.57530000233008,-65.53547408662254,-43.03793989241168,-40.12962248568428,-36.05702006757078
