step,run_0,run_1,run_2,run_3,run_4
10000,True,False,True,True,False
20000,False,False,False,True,True
30000,True,True,True,True,True
40000,True,False,True,True,True
50000,False,False,True,True,True
60000,True,True,False,True,False
70000,True,True,True,True,True
80000,True,True,True,True,True
90000,True,True,True,True,True
100000,False,False,True,True,False
110000,True,True,True,True,True
120000,True,True,True,True,True
130000,True,False,True,True,True
140000,True,True,False,True,True
150000,False,False,False,False,False
160000,True,True,False,False,True
170000,True,True,True,True,False
180000,True,True,False,False,False
190000,True,False,True,False,False
200000,False,False,True,True,False
210000,False,False,False,False,False
220000,True,False,False,False,False
230000,False,True,False,True,False
240000,False,False,False,False,False
250000,False,True,True,False,True
260000,False,False,False,False,False
270000,False,False,False,True,False
280000,False,False,False,True,False
290000,False,False,False,False,False
300000,True,True,False,True,False
310000,False,True,False,False,True
320000,False,False,False,False,False
330000,False,True,False,False,False
340000,True,True,False,False,False
350000,False,False,False,False,False
360000,True,False,False,False,False
370000,False,False,False,True,False
380000,False,True,False,True,False
390000,False,False,False,False,False
400000,False,False,False,False,False
410000,False,False,False,False,False
420000,False,False,False,False,False
430000,False,False,False,False,False
440000,False,False,False,False,False
450000,False,False,False,False,False
460000,False,False,False,False,False
470000,False,False,False,False,False
480000,False,False,False,False,False
490000,False,False,False,False,False
