step,run_0,run_1,run_2,run_3,run_4
10000,-138.65224970308626,-165.3648960413393,-259.7746611899062,-117.27189134561986,-234.77823120133795
20000,-88.92860091148312,-78.67353755024934,-90.12088708215288,-249.03992890814783,-217.90086073270993
30000,-47.86024605530126,-75.05419068410747,-62.05383807526346,-66.61360881099652,-174.64787056011392
40000,-279.9837935826925,-59.672559112471696,-59.24508882736264,-83.22062830683828,-218.0770474262647
50000,-67.42089945425053,-41.02869226933579,-60.08775352045411,-62.3587692843331,-142.8356051112088
60000,-65.32856681521358,-34.30003767234236,-35.67366496548099,-58.144032132181344,-49.56975786721231
70000,-57.92156965173858,-57.77629017253473,-36.62313362004822,-53.011557227267005,-63.45233532805072
80000,-41.265551227832304,-52.900716516004245,-38.88928125831482,-36.27834687689782,-46.45824095559817
90000,-63.52892351008728,-47.51988631739175,-55.45231119816152,-32.26744457924532,-41.43921038211651
100000,-63.85909027303132,-51.74633839477031,-56.21227981068365,-59.60060433017065,-66.93544875684573
110000,-66.24857557788273,-55.79638255739848,-35.35302180509911,-33.79215678376013,-41.83899873850767
120000,-74.59836510213377,-57.140336985253896,-54.0661979689016,-32.3734774366861,-41.741676664822236
130000,-50.60050291301454,-35.86048251262094,-55.06669036959627,-32.154791930256,-54.564007982099184
140000,-41.69763756952624,-35.3895958946369,-52.14384981264489,-28.153923406156192,-28.944767059675552
150000,-66.56055944609218,-51.73618892369232,-55.97917218462413,-53.46649703673661,-156.77008276232144
160000,-54.201845664006655,-56.01918018291832,-55.82166609825816,-45.31137659303327,-55.447387435574015
170000,-35.8124259974375,-35.106292467661575,-53.12198444902191,-35.45188957492549,-47.516518755567894
180000,-35.59608496053595,-48.72017332674751,-56.86250372350852,-55.67575481277957,-147.81494202169432
190000,-46.91346489490128,-58.20033764335988,-45.27944126137324,-56.25296171787405,-117.3832787261114
200000,-36.05531551314962,-50.613120883919535,-44.177967173140686,-56.2501900433381,-46.373686558147824
210000,-18.603133746873404,-48.18974269306075,-54.69991553626345,-39.59994925515567,-66.37048303435445
220000,-59.47777233168539,-56.148993472108295,-34.34547851881266,-66.35234503299512,-232.52890940185455
230000,-61.650154175594565,-35.28836081548273,-55.48710477775076,-35.787601520587884,-48.06505959178061
240000,-44.554057261170016,-35.46059412643352,-48.62204953840995,-55.79419777359434,-62.34143058990941
250000,-65.07976373630561,-43.6868186497415,-43.46189230014721,-30.00501002745341,-59.39729297577608
260000,-62.53750395097687,-33.47383537716866,-50.5996207425398,-49.68020295059327,-68.63691821959762
270000,-54.033421199877935,-47.71979301618472,-50.516342782070765,-56.21097036017087,-63.750448399433374
280000,-65.95057516973044,-58.81203418293346,-55.53012118408703,-30.57044642461798,-190.27852793411586
290000,-43.43087737025698,-47.94790156632256,-55.51770683451565,-46.004383615835934,-192.64900870353443
300000,-42.97704388160699,-59.64977904036209,-60.73622119022878,-60.977305509834025,-67.1891016685172
310000,-63.05917120622291,-48.39461121912749,-54.57585862384585,-36.195965746154215,-60.77487298923947
320000,-31.105364582786088,-54.52245200613993,-50.42351532225953,-45.525250813300055,-44.24891442186817
330000,-52.703551584966334,-55.53073600849143,-51.256446365357945,-42.42273502763816,-172.6472659079572
340000,-151.86541507300365,-46.80735245903651,-61.70950380347713,-55.59324549357965,-108.21593376946562
350000,-31.73749106853907,-34.19903596381332,-47.01482246590691,-43.96893968275853,-43.96723218804317
360000,-44.74156737928795,-32.25733770469757,-60.16436206355158,-56.69532819908283,-139.24594992446453
370000,-32.16389566161356,-47.622040540222535,-60.901874639242834,-31.27714974032281,-139.28268387667055
380000,-42.77962945111369,-59.21296253302658,-53.952326077979365,-55.42534682305551,-45.3971957155382
390000,-263.4843809918044,-53.632859265352,-53.59868385313296,-46.36405793040947,-198.05066864280928
400000,-45.63065388594643,-31.84486562016972,-61.119813720212846,-50.08185468299726,-192.4413711707206
410000,-54.687557538416655,-33.163478864161625,-50.45764557601484,-36.346088888126125,-197.10449216253565
420000,-42.90888214767742,-47.280654814942864,-39.75399500748704,-30.602971485359426,-207.1368911888779
430000,-32.45264516855249,-33.06443438294275,-47.906199428325,-44.73276339266864,-62.05165031368834
440000,-46.43137299607192,-41.10906594131703,-35.45808717081342,-36.26818749232947,-193.31064437672666
450000,-32.37299742674518,-41.40557415857097,-61.1431438889656,-41.92631438683002,-178.66466735048945
460000,-65.50250134831393,-48.13090022551994,-35.460404944377146,-55.77012164447381,-62.32061726868133
470000,-45.914183910755696,-32.113532930240815,-53.72573188518733,-45.275924390845546,-217.47776575462882
480000,-57.82591809945304,-60.18754196443044,-35.71074997236019,-42.54205012274912,-194.21051002018146
490000,-36.78872485645152,-47.227535090953616,-35.64871030381939,-33.3291395945385,-200.30731010606428
500000,-46.27570767255036,-56.7138822426324,-39.52263727298277,-44.17067998598128,-272.0595653359288
510000,-45.700778395166566,-42.25025471593858,-52.50289982122992,-34.292388652016136,-179.4761165114494
520000,-43.57666481358744,-45.51986569871707,-34.96768647681317,-52.04543242911872,-188.72654102092866
530000,-153.9404112847185,-29.84420060054132,-34.80053974239762,-51.85682037410122,-50.52047158177068
540000,-31.607238404400427,-43.79379706774971,-49.63628905508003,-24.297412295891625,-111.53488772524271
550000,-42.82095868352671,-53.44552725273985,-48.8703840984833,-31.955419395338662,-12.209929082627118
560000,-40.520764184384966,-43.06219290084957,-49.630909824220765,-45.443575447130414,-110.88861686936667
570000,-42.51552786144552,-29.016726822404024,-35.592611375055384,-47.80537816441914,-60.72093327426339
580000,-52.08738241286476,-54.50138857616666,-45.47957205303408,-43.159700981296176,-53.70845324878662
590000,-29.988161501161542,-35.78966904088228,-48.08865572009316,-43.98639677733358,-27.81077583361808
600000,-42.63257848691241,-31.80610086085144,-47.8972042340954,-46.13819676160203,-11.929443742153996
610000,-44.47600111670687,-29.666719407673675,-46.17623398251371,-46.03940948685244,-34.12741354282417
620000,-21.47808030541193,-42.56100133025772,-49.42078586148656,-9.992292227468631,-39.67039378613008
630000,-62.15018768145078,-50.04101037107984,-46.35582595957624,-44.14559450206203,-83.27807743015303
640000,-42.88250494844624,-51.89742073513155,-30.78510898597124,-48.834775062834034,-28.35913322701767
650000,-43.03958564362171,-32.92459541218094,-30.84125135023717,-30.073055577247693,-89.01383266253396
660000,-56.500808986302445,-33.11580333760139,-46.93866095287082,-49.34609373340093,-119.13636905793656
670000,-46.44589378091029,-44.829220515684256,-31.85991851584859,-32.17609409576781,-12.132414508024507
680000,-44.5716180533371,-42.66867660525597,-43.83485420047231,-29.66722149381623,-30.036651872615348
690000,-33.38718484957256,-42.3985593224464,-30.077832970182182,-30.8266600986381,-89.49751886502682
700000,-45.11267884697513,-44.51608694551885,-46.51838769586561,-25.61830459977013,-34.276589214249725
710000,-43.37561940094508,-25.144160061593027,-47.25795255541563,-48.97351515907515,-33.645548491383174
720000,-46.628496973572254,-10.616872436460833,-49.557902383869646,-30.221050703506023,-48.815128066052154
730000,-53.063084460348776,-44.44119996875787,-31.393437745852182,-9.778871697199774,-88.07430523115892
740000,-31.654857819244462,-45.20183432468281,-50.17891508549173,-49.58731703215081,-9.856783522447785
750000,-47.2117598311866,-54.39758163733031,-32.3141325691362,-34.49161074612078,-36.106059618461444
760000,-42.901380166658576,-44.70032826244352,-179.0002700022273,-44.94599571853287,-53.16456991034019
770000,-46.006994348497,-45.87737418327741,-47.74844386470351,-50.40485776425692,-53.902155442213655
780000,-47.51830368842368,-29.499893457137368,-34.022288895955235,-34.33196756167022,-33.292826244522644
790000,-31.635282270011807,-45.33810017212428,-33.005809348294434,-33.63299254617904,-23.737282689163006
800000,-44.13838567750243,-42.27036579786687,-46.755160239868914,-48.73335893002175,-23.592760789644597
810000,-38.06289612265318,-52.08835911123744,-49.96044731062084,-47.34889013818146,-53.796731319592666
820000,-31.45718225333556,-42.57228549906524,-31.63456685290298,-34.46585823121622,-9.79263556860632
830000,-42.883440960966325,-29.6941716496683,-31.57736333973143,-29.56592192930934,-9.721633124466278
840000,-50.46104885875607,-44.928270306638886,-30.849989300603177,-32.708619841468234,-41.97743186208562
850000,-45.3713536049996,-44.75954761784365,-47.3888941415658,-48.00151603597401,-85.07995737318971
860000,-43.99431246180548,-43.98658491877281,-53.35620287023924,-44.736479899325104,-48.276747022139766
870000,-42.12618961668652,-44.75694426450924,-31.693384741265213,-49.01969642973916,-50.002489764316266
880000,-49.127892198277735,-33.89020665339909,-48.37576015473497,-32.312743857596615,-45.133594314299074
890000,-43.21857464485222,-41.51637845585448,-48.19666241506471,-30.74210142466378,-23.156319955671176
900000,-38.2587420499769,-41.5195314910368,-35.777586541214866,-32.58492983959968,-50.13441398748375
910000,-38.12997516821778,-43.59424818985842,-35.320728471660914,-47.37109933993189,-34.11121476725068
920000,-47.78301953776248,-9.568902868618874,-32.659296654103926,-48.78679358561861,-45.56775896306337
930000,-42.82415992503893,-45.73174786380943,-49.52481692879152,-34.308398491275646,-49.85090243477648
940000,-39.99524170177059,-28.933704457576404,-29.64394938388952,-29.953324953057585,-49.371361282121626
950000,-31.39197026221376,-33.34953985731869,-34.04884333969723,-43.8293486905181,-50.03669744590857
960000,-31.44101984601889,-52.56004639263596,-29.995301074139203,-25.96408682186154,-35.70836257489451
970000,-50.66277127720194,-42.117838039870136,-35.16964624072419,-33.433386895406976,-130.83440170606454
980000,-35.149202656037,-32.54769821273557,-45.60508694792525,-34.09606117841428,-35.48530109352523
990000,-44.0649733930012,-33.613953684068576,-48.08774392664496,-32.649287440695176,-42.93782136402868
1000000,-47.6141042615337,-32.24716150352227,-34.575413577413194,-35.314053139421574,-36.580821718661916
1010000,-48.02348532228079,-43.92849854986929,-30.37075402457406,-25.926309976206376,-27.768790544815403
1020000,-50.71593415671141,-25.484319959339107,-76.61862109518339,-26.35607589281917,-24.708558982052715
1030000,-44.936438182514856,-52.03475910158664,-10.3374580831388,-42.86264527518283,-26.178244510573727
1040000,-9.430780287113343,-32.70684558399627,-10.87712694334738,-48.147445595387794,-50.10404585638653
1050000,-11.489457365022984,-51.79391198141683,-46.56886880683204,-10.41580515482921,-13.560704455968667
1060000,-11.421948627906888,-40.829356189347536,-38.59036650312677,-26.20187687352362,-14.090546237069384
1070000,-42.82415992503893,-33.866696304148554,-12.584508446690045,-10.199960325111638,-28.281560109578137
1080000,-9.408205230058584,-28.63494200783396,-12.98064253572048,-15.16355975983662,-25.06408606171958
1090000,-27.69614172655384,-22.33800356273068,-17.587636206265437,-24.743318152352145,-9.987681772788596
1100000,-24.772400203180567,-34.78311445906975,-10.46965992427093,-13.430795786677196,-9.841635845045882
1110000,-25.250024491995053,-9.699173641187707,-28.66017974186343,-10.46173320030929,-12.617697984203835
1120000,-9.510586788249007,-10.059456483934513,-24.087043782771687,-25.2296380752848,-12.08713936444037
1130000,-42.92077528934391,-9.786871979542328,-24.3962381137511,-24.71273880132753,-27.341406102966967
1140000,-40.73021703497346,-22.58358768133268,-9.733365147989774,-10.401435939280882,-25.934606751525507
1150000,-10.569832760166706,-40.24384630457745,-10.006048290582475,-25.41389025771519,-14.588146661970537
1160000,-42.82415992503893,-47.62096602257424,-9.58638929250361,-24.42316826361678,-25.99523025591248
1170000,-41.6932038120063,-25.875147497629992,-9.826067004073767,-49.80087907259474,-10.011937255811251
1180000,-132.4540893380756,-12.12601137102967,-9.693628731762296,-23.986797688171112,-12.503426350648528
1190000,-44.31439100993667,-24.77871455484509,-24.34755402456693,-23.696065353646187,-48.17420962601033
1200000,-10.860161052437348,-28.35474644331143,-9.916314812744876,-11.856790846505248,-9.755429587251518
1210000,-41.12649037107524,-9.677931864459865,-9.889317246752734,-25.225651162590516,-23.5841450607791
1220000,-35.48709930380301,-9.709243870589336,-26.631356815412698,-10.41547448385615,-25.08797487203333
1230000,-23.87756385661457,-23.18664416317982,-12.13125289635938,-27.535231900575795,-12.007261274490428
1240000,-25.94398768877133,-8.7515848574487,-9.337111860894831,-11.392444527122624,-23.67141389351268
1250000,-11.121407077575869,-24.841172621941645,-23.114502907872595,-10.69703920560566,-12.014829000617151
1260000,-11.528824628747476,-9.43695583935853,-12.909100944816707,-25.547931778556343,-25.723161519359277
1270000,-93.26022084797404,-8.782372235293503,-23.953657757941134,-11.69011539207736,-24.056708624063045
1280000,-9.98903406768824,-23.28476894830297,-11.374226476299516,-12.0031898875126,-78.98755518400434
1290000,-22.79396005954805,-54.8105180877501,-11.420942001320215,-23.83258467569044,-43.21071741890064
1300000,-23.293792099778607,-10.9829753657892,-9.362832885043725,-9.26601508583232,-49.271503708340774
1310000,-41.05767764553194,-35.80632746261891,-9.94514088813967,-10.08870185693297,-26.800903096637338
1320000,-9.747008291158444,-40.96871311065488,-24.080090487831622,-9.688133893217929,-23.9298082761425
1330000,-12.39805513972389,-8.797772717344445,-25.970870691401466,-25.435360613188084,-25.418000879835663
