step,run_0,run_1,run_2,run_3,run_4
2048,-2.8493455171585085,-2.838829220831394,-2.8384527578949927,-2.845927171781659,-2.830033237859607
4096,-2.860837970301509,-2.841863715648651,-2.8422388855367897,-2.8545549750328063,-2.8242433041334154
6144,-2.869535445421934,-2.847395749017596,-2.8519917357712985,-2.8601868566125632,-2.8305456954985857
8192,-2.873436963558197,-2.84435194581747,-2.856439390778541,-2.864501537010073,-2.832949660718441
10240,-2.8741239834576846,-2.845114208385348,-2.8577039148658514,-2.8610922366380693,-2.8318299897015096
12288,-2.8714493669569494,-2.845121353119612,-2.8602704755961894,-2.8592577315866947,-2.8259039133787156
14336,-2.8679435454308986,-2.845960411801934,-2.856902962550521,-2.8574032332748174,-2.8226268477737904
16384,-2.863542187958956,-2.8410724498331548,-2.863877298682928,-2.8578318659216166,-2.8259747948497536
18432,-2.8642209351062773,-2.841219426691532,-2.874692677333951,-2.8581823732703926,-2.829138420522213
20480,-2.8650124207139016,-2.839536280557513,-2.8771548233926296,-2.8571535564959047,-2.835022633895278
22528,-2.864219025895,-2.842347700893879,-2.871454881131649,-2.853854652121663,-2.8432725816965103
24576,-2.858593897894025,-2.8456670220941307,-2.8631846342235803,-2.8525896996259688,-2.8534366436302663
26624,-2.8547199934720995,-2.842818170785904,-2.8603250339627264,-2.847969448566437,-2.854945597797632
28672,-2.853323668986559,-2.839455049484968,-2.861002108827233,-2.8447781328111885,-2.8538065485656263
30720,-2.8485315050929785,-2.8322936195880173,-2.849548318609595,-2.8450816843658684,-2.857029937952757
32768,-2.8411270901560783,-2.8246108919382094,-2.847038186341524,-2.8454634606838227,-2.856696682050824
34816,-2.841968398913741,-2.819316353276372,-2.844930170103908,-2.8501289047300817,-2.85478922650218
36864,-2.83965286500752,-2.809744602441788,-2.835877351090312,-2.847457943111658,-2.852745923772454
38912,-2.8351854145526887,-2.805053159594536,-2.823267799243331,-2.845902568101883,-2.8509405378252266
40960,-2.8354316603392364,-2.7975450925529004,-2.816948256641626,-2.842198670655489,-2.8414161376655103
43008,-2.8354909289628267,-2.7943613797426226,-2.809477774426341,-2.842605846002698,-2.8324617106467485
45056,-2.8342480909079315,-2.793590770661831,-2.803585517778993,-2.840268462523818,-2.832553058490157
47104,-2.83219111263752,-2.7893011599779127,-2.802567175775766,-2.8415587283670902,-2.8279327396303415
49152,-2.827397544309497,-2.787445714697242,-2.7967597138136626,-2.8404131457209587,-2.8171118542551996
51200,-2.82309341840446,-2.783630322292447,-2.79594780318439,-2.841201587021351,-2.8041429832577704
53248,-2.816312389820814,-2.783969198912382,-2.7907023068517445,-2.8429750271141527,-2.798839670419693
55296,-2.8164306532591583,-2.779766597598792,-2.784417176991701,-2.8384057696908718,-2.7937046702951194
57344,-2.815641691163182,-2.773202507942915,-2.777466520667076,-2.8395915616303684,-2.789734351634979
59392,-2.810629829019308,-2.7702273525297643,-2.7742931809276343,-2.8477049618959427,-2.787679002806544
61440,-2.809545040875673,-2.773582560569048,-2.774876591190696,-2.8500217750668524,-2.7842759605497123
63488,-2.810126117616892,-2.777002273872495,-2.779337883740664,-2.8562128987163304,-2.7823265850543977
65536,-2.801467323675752,-2.778891018405557,-2.7777925841510296,-2.85820206142962,-2.781881935149431
67584,-2.792641381174326,-2.7735427130013703,-2.7756648186594246,-2.8561062812805176,-2.780042112618685
69632,-2.785550519824028,-2.771016250923276,-2.774488821625709,-2.8568682316690683,-2.7714344136416913
71680,-2.779702961817384,-2.7669946987181904,-2.769269844517112,-2.858569848164916,-2.766865811869502
73728,-2.779267067834735,-2.759824399650097,-2.766444826871157,-2.864814278483391,-2.76305765658617
75776,-2.7810212202370166,-2.7513707242906094,-2.760065910592675,-2.8650480285286903,-2.765599388256669
77824,-2.7768546883016825,-2.748504961654544,-2.754694140702486,-2.863972896710038,-2.7674996685236692
79872,-2.7690334748476744,-2.747883693873882,-2.755297340452671,-2.866272225230932,-2.7672116078436373
81920,-2.7628774642944336,-2.7450041379779577,-2.7546234622597696,-2.869111820310354,-2.7651344127953053
83968,-2.7581912137568,-2.744089774414897,-2.759067315980792,-2.8691045638173818,-2.763270127400756
86016,-2.7499700032174585,-2.742101177573204,-2.755104349926114,-2.864531058073044,-2.7653898797929286
88064,-2.743173897638917,-2.7355342648923395,-2.750882988423109,-2.86371478587389,-2.769546219334006
90112,-2.738964175805449,-2.730982921272516,-2.747393184155226,-2.860479879006744,-2.770336239412427
92160,-2.7345286715775727,-2.7274002742022274,-2.740182740986348,-2.853915992751717,-2.76751474365592
94208,-2.7355371318757533,-2.7276302091777325,-2.734453372657299,-2.850129154324532,-2.7620790779590605
96256,-2.731567429751158,-2.721165677905083,-2.729814302921296,-2.8471611205488445,-2.762428331375122
98304,-2.7287532877177,-2.7132469817996023,-2.72655070759356,-2.843756722286344,-2.7599388264119624
100352,-2.7267937008291483,-2.707493129000068,-2.720111965760589,-2.8401547193527223,-2.757069756090641
102400,-2.7277929238975047,-2.7020620491355656,-2.714882971718908,-2.8357969712466,-2.756600124016404
104448,-2.729047130420804,-2.694673930481076,-2.7090187333524227,-2.830033588409424,-2.755799056217074
106496,-2.7349520213902,-2.6871802173554897,-2.7011942572891714,-2.825811062380672,-2.754112224280834
108544,-2.7355026721954347,-2.680735601484776,-2.699387183412909,-2.821050490438938,-2.7517570201307535
110592,-2.7361905951052905,-2.679789302870631,-2.6983876448124646,-2.8165739186108114,-2.746079855039716
112640,-2.7376316927373407,-2.678564827144146,-2.6991666454821823,-2.815655235573649,-2.7405540201812983
114688,-2.7330800224095584,-2.673333686962724,-2.6963246360421183,-2.8088712066411974,-2.738947584480047
116736,-2.7353382553905248,-2.668043028190732,-2.6979408100247384,-2.8051006443798543,-2.733874759450555
118784,-2.7385199446231128,-2.663701838627458,-2.699456798285246,-2.80631957128644,-2.7289181921631096
120832,-2.733610177412629,-2.661899970471859,-2.6962955933064223,-2.8064696777611973,-2.7246856365352867
122880,-2.734587782621384,-2.661096676811576,-2.6902455277740955,-2.801452131569385,-2.7248208936303855
124928,-2.7348650120198728,-2.6574590656906367,-2.6905663549900054,-2.807131954655051,-2.7199606794863938
126976,-2.7345035318285227,-2.651189975067973,-2.6925155974924566,-2.8035868126899004,-2.714193284139037
