step,run_0,run_1,run_2,run_3,run_4
10000,-120.15694670532616,-89.39580468457541,-99.50227560802394,-128.13154826617392,-115.04980627469666
20000,-367.1478089916081,-360.0892466824042,-111.67386765340082,-55.0227071206124,-95.8517361970043
30000,-212.3723780451977,-57.76917164423395,-64.45450769052988,-70.32255677222066,-63.93388590372395
40000,-13.480127027367166,-50.22900302100262,-42.87634246168046,-68.8288605514908,-38.49588351449429
50000,-59.41401416551207,-41.822575669914784,-35.46170621301983,-36.39269389102176,-45.01745837541105
60000,-98.88857445124208,-53.62603790589448,-55.04569457161819,-36.60857646590559,-32.09451490903572
70000,-56.50578478618753,-111.56051567464324,-57.774463155220126,-51.11571305035479,-60.86660818398654
80000,-36.62148115179952,-69.21076909303657,-11.771759597365662,-34.45066872653647,-56.624553329245416
90000,-100.89708437089196,-80.05456145515754,-36.21341784990921,-31.40543764662723,-44.13762646716964
100000,-118.04802509388776,-87.16924572189491,-72.2068768005121,-28.570557625751185,-45.761431798840064
110000,-49.44754691085936,-58.67442890042146,-55.07443570314604,-33.04848090337873,-59.686197573270626
120000,-44.26982073102529,-62.230993120329885,-37.79502666518019,-47.06687646976869,-17.629145245217977
130000,-60.5185537990448,-70.78885798776722,-46.54600808660251,-34.03319762227958,-59.485436229233024
140000,-40.15389235741822,-43.0007771810408,-36.59796307208243,-54.48245797602668,-54.86939384502543
150000,-49.95494254058369,-69.79895847787961,-56.32523034587713,-50.03064159331477,-38.19427022750371
160000,-61.74823453037035,-64.36168254979182,-305.8045923407322,-34.949515437589184,-55.7188396338477
170000,-40.82658943819531,-60.39241280977196,-32.53935091003915,-47.60168644993387,-35.191184878949066
180000,-43.03890341249337,-66.82279308436136,-56.05126903507969,-34.70742792071533,-35.22856650938326
190000,-71.06018283153054,-41.99252619615263,-63.22224522041076,-31.90355577559157,-61.97560297889067
200000,-54.01463582614475,-252.7207936472388,-35.24180918669319,-32.21346791674855,-34.85870930947782
210000,-169.66023084090705,-58.39212864210032,-60.18320470633833,-55.60815142553094,-61.948364970980506
220000,-42.13968136339666,-63.33492110536082,-341.3758572877145,-36.224213750341136,-36.02138580739114
230000,-81.90489948532945,-60.84280416497299,-43.638874437826935,-55.02694262088706,-52.03862539503337
240000,-35.18716643188658,-43.66101783920247,-36.15518519120968,-34.07002595408012,-51.823813024529315
250000,-49.052343513349015,-184.10963895383304,-346.76468739278863,-36.03752862072628,-53.19124039280497
260000,-81.09806045441847,-58.09791746814461,-35.99138665336466,-47.33926302914124,-60.114497222106
270000,-232.33239648585555,-73.49623361243881,-56.2372011682704,-55.66334589470536,-60.13200389526264
280000,-50.07439711634324,-62.30228076882944,-35.70850702815889,-31.50807152572182,-56.18298966299252
290000,-34.64047382980654,-62.5730170038802,-56.226300309845534,-40.65904154460807,-61.05914489816614
300000,-192.33549627143017,-69.94551452087178,-59.55395006779471,-55.10438514004319,-58.687172786494465
310000,-85.31336338487185,-278.5704787439811,-61.05978609558856,-37.30060410275389,-59.244986690192036
320000,-47.1822110041344,-93.12675723790088,-61.03488521802485,-55.31935417225206,-55.68385371305481
330000,-229.2403476100368,-88.912969471795,-35.14305842194824,-39.92282541867486,-36.856552485071475
340000,-173.71866431987772,-86.12271727221784,-42.73943955036016,-38.85535845830482,-55.49415529499291
350000,-54.81612460268356,-56.80423953835232,-43.500039899810375,-47.066996788616166,-47.678405865491214
360000,-48.22395233780905,-51.77872448817467,-56.42668662839837,-37.53886187755236,-60.85307105911487
370000,-47.30617566384995,-138.4204263419523,-53.49812508662747,-45.7114815559299,-58.99468790194348
380000,-32.618025598307064,-209.7263014541997,-61.39302871115718,-53.99634313213211,-54.10301658226607
390000,-42.41231913209776,-73.75514532865215,-42.74931682847469,-40.09446478473768,-36.964250368310445
400000,-66.80530361129257,-63.95940287297428,-43.82394242157165,-57.38196428634237,-46.83548952563369
410000,-236.1673789646773,-63.03466437558795,-37.57693583769251,-56.53261565350514,-37.0640423301241
420000,-31.481689240225624,-82.68097547959962,-43.57512750248893,-51.997267867885576,-32.25776331156712
430000,-96.3750222396198,-229.2078497283217,-36.17818726827628,-30.54039512821672,-54.78712443359419
440000,-51.30088152419936,-79.609737479248,-35.87358268029803,-34.884310173714375,-31.159534210784983
450000,-96.61754628935546,-206.36413572231345,-37.5789726287822,-32.47297801302269,-61.10266245552482
460000,-21.61906257862924,-314.12155517689763,-43.64024277226479,-48.68672612106485,-32.316014649691866
470000,-52.43771348885792,-75.22693564653646,-56.00147176986625,-38.35359052266283,-31.283953934000863
480000,-42.48150931885692,-90.84012645451097,-61.99731687264775,-40.54872938295711,-67.50016347776872
490000,-189.48424864603413,-187.3469067173983,-60.51565391587377,-40.10118614761377,-60.363790476769665
500000,-50.52072706777543,-298.4608380924902,-36.04505917061278,-47.99839914697195,-63.32882239313102
