episode,run_0,run_1,run_2,run_3,run_4
0,-187.95547558687272,-151.6053065955913,-138.64534592891468,-196.51438152990036,-163.9227441065533
1,-161.2635144985964,-164.04328392221646,-149.24492695075492,-16.24528397843851,-233.47854402952566
2,-141.8466553763133,-150.8451867475354,-157.1021408669038,-131.5719273636289,-259.7262456533679
3,-128.20828178708362,-157.11119070394642,-157.97606356978338,-146.7387635451778,-181.72132194788017
4,-134.8955707589729,-28.09256654111277,-160.6476359786716,-115.7537363924827,-177.31549685997265
5,-122.35789817752853,-183.6457324819389,-149.1524875968824,-124.7987614583026,-15.906043111553373
6,-54.00898531620593,-230.47759074903104,-171.46597977893353,-118.64896239846404,-164.92885943525897
7,-142.54929117237037,-153.48576701411503,-151.93905402849842,-154.75752290986543,-115.54295429658404
8,-120.20665112361688,-119.2331369946689,-34.004229482283215,-158.35599193539608,-137.49621763964012
9,-171.096404002109,-185.17627294783188,-149.78565252902308,-118.5424373537595,-10.556033679595641
10,-213.11907726012905,-155.0876672302847,-114.14516659529762,-132.207407351675,-117.34151891011086
11,-255.8389332960969,-168.02555368014913,-25.824246504969864,-114.71708245864164,-132.61827499923666
12,-274.2212738033857,-161.89161825633045,-150.1825941535153,-125.20369668876585,-164.36000881616792
13,-167.52664076238847,-149.16260906266126,-138.11880602054356,-133.06158157117935,-156.8302036944366
14,-135.6859123999527,-123.2129216462928,-113.2695694871492,-192.1264901628702,-111.74315020464674
15,-134.99524999323685,-189.77613145210023,-129.81413242285754,-163.0280767510054,-125.6096372803513
16,-42.43903621959187,-114.24044916032084,-131.52944897257743,-155.2192436716677,-12.638547648999573
17,-253.8412866424329,-151.63220556953524,-113.35440905256344,-162.8745166205974,-167.90874178904016
18,-114.87505100080904,-137.71100289741028,-185.841470189855,-152.61722352036264,-153.31048117672387
19,-115.45444216902207,-134.37978698346353,-188.3440967190957,-116.69167484803438,-126.56453053980957
20,-170.39833697176593,-148.52600781180118,-120.5438741794797,-154.06437346433722,-134.60537379574902
21,-127.12526440340211,-125.73106626211197,-157.7251131097804,-131.4493609055565,-130.04889941399966
22,-116.84091102734492,-27.087233882164124,-144.17366324078955,-168.34974815954757,-237.28164435804968
